Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,82.0,82.0,109.0,147.0,1.6,92.0,2.0,15.0,50.0,734.25,0.025000001009000468,267964.0,275.82070007324216,60.00339599609375,694.9375
1,1,1,2018,75.0,78.5,100.0,139.0,1.8,93.0,2.0,14.0,50.0,734.25,0.025000001009000468,267964.0,275.82070007324216,60.00339599609375,694.9375
2,1,1,2018,54.0,70.33333333333333,79.0,107.0,1.5,77.0,2.0,9.0,50.0,734.25,0.025000001009000468,267964.0,275.82070007324216,60.00339599609375,694.9375
3,1,1,2018,35.0,61.5,60.0,69.0,1.1,68.0,2.0,7.0,50.0,736.6875,0.025000000778000804,268200.0,275.8867999267578,60.0054279937744,779.75
4,1,1,2018,31.0,55.4,51.0,51.0,0.9,64.0,2.0,6.0,50.0,736.6875,0.025000000778000804,268200.0,275.8867999267578,60.0054279937744,779.75
5,1,1,2018,23.0,50.0,52.0,53.0,0.9,62.0,2.0,5.0,50.0,736.6875,0.025000000778000804,268200.0,275.8867999267578,60.0054279937744,779.75
6,1,1,2018,19.0,45.57142857142857,39.0,39.0,0.7,53.0,3.0,4.0,50.0,738.5,0.025000000792000446,267780.0,275.9094998168945,60.0035239944458,771.5
7,1,1,2018,14.0,41.625,31.0,31.0,0.6,45.0,8.0,3.0,50.0,738.5,0.025000000792000446,267780.0,275.9094998168945,60.0035239944458,771.5
8,1,1,2018,13.0,38.444444444444436,28.0,28.0,0.6,45.0,9.0,3.0,50.0,738.5,0.025000000792000446,267780.0,275.9094998168945,60.0035239944458,771.5
9,1,1,2018,11.0,35.7,29.0,29.0,0.5,33.0,21.0,5.0,50.0,739.9375,0.025000001020001248,268000.0,275.89369995117187,60.0035239944458,685.5
10,1,1,2018,6.0,33.0,17.0,17.0,0.5,27.0,30.0,6.0,50.0,739.9375,0.025000001020001248,268000.0,275.89369995117187,60.0035239944458,685.5
11,1,1,2018,14.0,31.41666666666667,20.0,16.0,0.5,26.0,33.0,6.0,50.0,739.9375,0.025000001020001248,268000.0,275.89369995117187,60.0035239944458,685.5
12,1,1,2018,12.0,29.923076923076927,17.0,23.0,0.4,23.0,41.0,5.0,50.0,737.625,0.025000001294000075,268252.0,275.85690002441396,60.00143999481201,685.0
13,1,1,2018,16.0,28.92857142857143,23.0,30.0,0.5,25.0,45.0,8.0,50.0,737.625,0.025000001294000075,268252.0,275.85690002441396,60.00143999481201,685.0
14,1,1,2018,23.0,28.53333333333333,37.0,37.0,0.6,31.0,40.0,11.0,50.0,737.625,0.025000001294000075,268252.0,275.85690002441396,60.00143999481201,685.0
15,1,1,2018,27.0,28.4375,52.0,54.0,0.7,33.0,38.0,11.0,50.0,738.0625,0.025000001652000472,268468.0,275.8529998779297,60.00158399200439,685.0
16,1,1,2018,37.0,28.94117647058824,59.0,68.0,0.9,44.0,31.0,11.0,50.0,738.0625,0.025000001652000472,268468.0,275.8529998779297,60.00158399200439,685.0
17,1,1,2018,50.0,30.11111111111111,69.0,84.0,1.6,61.0,14.0,17.0,50.0,738.0625,0.025000001652000472,268468.0,275.8529998779297,60.00158399200439,685.0
18,1,1,2018,64.0,31.894736842105264,86.0,112.0,2.0,82.0,2.0,20.0,50.0,735.75,0.025000001602999863,268604.0,275.82389984130856,60.001659996032714,685.0
19,1,1,2018,71.0,33.85,95.0,137.0,2.0,83.0,2.0,20.0,50.0,735.75,0.025000001602999863,268604.0,275.82389984130856,60.001659996032714,685.0
20,1,1,2018,65.0,35.333333333333336,95.0,140.0,2.0,78.0,2.0,20.0,50.0,735.75,0.025000001602999863,268604.0,275.82389984130856,60.001659996032714,685.0
21,1,1,2018,61.0,36.5,91.0,131.0,2.0,70.0,2.0,20.0,50.0,734.4375,0.025000001613000408,268980.0,275.8060998535156,60.00156799316406,685.0
22,1,1,2018,54.0,37.26086956521739,83.0,116.0,1.2,55.0,9.0,13.0,50.0,734.4375,0.025000001613000408,268980.0,275.8060998535156,60.00156799316406,685.0
23,1,1,2018,42.0,37.458333333333336,59.0,66.0,0.7,45.0,13.0,7.0,50.0,734.4375,0.025000001613000408,268980.0,275.8060998535156,60.00156799316406,685.0
0,2,1,2018,37.0,37.44,58.0,66.0,0.8,49.0,10.0,7.0,50.0,739.8125,0.025000001761000604,269504.0,275.8304998779296,60.00237999725342,695.5
1,2,1,2018,36.0,37.384615384615394,53.0,56.0,0.8,53.0,4.0,6.0,50.0,739.8125,0.025000001761000604,269504.0,275.8304998779296,60.00237999725342,695.5
2,2,1,2018,39.0,37.444444444444436,55.0,52.0,0.9,49.0,8.0,7.0,50.0,739.8125,0.025000001761000604,269504.0,275.8304998779296,60.00237999725342,695.5
3,2,1,2018,44.0,37.67857142857143,61.0,65.0,1.2,62.0,2.0,9.0,50.0,736.75,0.02500000084800087,269544.0,275.88399993896485,60.00975999450686,779.4375
4,2,1,2018,77.0,39.03448275862068,103.0,96.0,1.5,63.0,2.0,14.0,50.0,736.75,0.02500000084800087,269544.0,275.88399993896485,60.00975999450686,779.4375
5,2,1,2018,47.0,39.3,65.0,64.0,1.7,61.0,2.0,16.0,50.0,736.75,0.02500000084800087,269544.0,275.88399993896485,60.00975999450686,779.4375
