Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,50.0,50.0,70.0,90.0,1.2,54.0,2.0,2.0,50.0,734.1875,0.02500000093699992,267236.0,275.82079986572256,60.00285999298096,694.0625
1,1,1,2018,51.0,50.5,72.0,94.0,1.3,53.0,2.0,2.0,50.0,734.1875,0.02500000093699992,267236.0,275.82079986572256,60.00285999298096,694.0625
2,1,1,2018,52.0,51.0,71.0,92.0,1.5,49.0,2.0,2.0,50.0,734.1875,0.02500000093699992,267236.0,275.82079986572256,60.00285999298096,694.0625
3,1,1,2018,58.0,52.75,79.0,73.0,1.9,53.0,2.0,3.0,50.0,736.25,0.02500000075700134,267516.0,275.8816000366211,60.00504399108887,778.875
4,1,1,2018,51.0,52.4,72.0,94.0,1.9,45.0,2.0,2.0,50.0,736.25,0.02500000075700134,267516.0,275.8816000366211,60.00504399108887,778.875
5,1,1,2018,50.0,52.0,70.0,85.0,1.9,47.0,2.0,2.5,50.0,736.25,0.02500000075700134,267516.0,275.8816000366211,60.00504399108887,778.875
6,1,1,2018,49.0,51.57142857142857,68.0,76.0,1.8,49.0,2.0,3.0,50.0,738.125,0.02500000073600002,266992.0,275.9072998046874,60.00343199157715,771.625
7,1,1,2018,54.0,51.875,74.0,90.0,1.9,47.0,2.0,4.0,50.0,738.125,0.02500000073600002,266992.0,275.9072998046874,60.00343199157715,771.625
8,1,1,2018,65.0,53.33333333333334,88.0,109.0,1.9,47.0,2.0,5.0,50.0,738.125,0.02500000073600002,266992.0,275.9072998046874,60.00343199157715,771.625
9,1,1,2018,57.0,53.7,78.0,100.0,1.6,40.0,2.0,3.0,50.0,739.875,0.025000000942001117,267288.0,275.89479980468747,60.00291199493408,685.5
10,1,1,2018,50.0,53.36363636363637,69.0,80.0,1.2,47.0,6.0,6.0,50.0,739.875,0.025000000942001117,267288.0,275.89479980468747,60.00291199493408,685.5
11,1,1,2018,34.0,51.75,51.0,52.0,0.9,46.0,13.0,7.0,50.0,739.875,0.025000000942001117,267288.0,275.89479980468747,60.00291199493408,685.5
12,1,1,2018,32.0,50.230769230769226,56.0,61.0,0.8,42.0,20.0,7.0,50.0,737.375,0.02500000116799958,267492.0,275.85609985351556,60.000959991455076,685.0
13,1,1,2018,22.0,48.214285714285715,41.0,41.0,0.5,29.0,32.0,7.0,50.0,737.375,0.02500000116799958,267492.0,275.85609985351556,60.000959991455076,685.0
14,1,1,2018,15.0,46.0,30.0,30.0,0.3,19.0,43.0,3.0,50.0,737.375,0.02500000116799958,267492.0,275.85609985351556,60.000959991455076,685.0
15,1,1,2018,14.0,44.0,53.0,56.0,0.3,18.0,47.0,3.0,50.0,737.0,0.02500000134300068,267780.0,275.8463000488281,60.00177599334717,685.0
16,1,1,2018,11.0,42.058823529411775,73.0,95.0,0.2,18.0,47.0,2.0,50.0,737.0,0.02500000134300068,267780.0,275.8463000488281,60.00177599334717,685.0
17,1,1,2018,17.0,40.66666666666666,98.0,146.0,0.4,31.0,32.0,2.0,50.0,737.0,0.02500000134300068,267780.0,275.8463000488281,60.00177599334717,685.0
18,1,1,2018,30.0,40.10526315789474,144.0,238.0,0.7,53.0,7.0,2.0,50.0,734.875,0.02500000135600008,267868.0,275.81779998779297,60.00186799621582,685.0
19,1,1,2018,19.0,39.05,64.0,78.0,0.7,48.0,8.0,4.0,50.0,734.875,0.02500000135600008,267868.0,275.81779998779297,60.00186799621582,685.0
20,1,1,2018,50.0,39.57142857142857,96.0,142.0,0.9,54.0,2.0,2.0,50.0,734.875,0.02500000135600008,267868.0,275.81779998779297,60.00186799621582,685.0
21,1,1,2018,40.0,39.59090909090909,77.0,103.0,0.8,52.0,2.0,2.0,50.0,734.5,0.02500000150600076,268300.0,275.8089999389648,60.001203994750966,685.0
22,1,1,2018,37.0,39.47826086956522,55.0,59.0,1.0,52.0,2.0,2.0,50.0,734.5,0.02500000150600076,268300.0,275.8089999389648,60.001203994750966,685.0
23,1,1,2018,62.0,40.41666666666666,84.0,82.0,1.7,55.0,3.0,5.0,50.0,734.5,0.02500000150600076,268300.0,275.8089999389648,60.001203994750966,685.0
0,2,1,2018,42.0,40.48,80.0,109.0,1.6,50.0,2.0,3.0,50.0,739.875,0.025000001585001128,268844.0,275.83440002441404,60.00422399139404,694.75
1,2,1,2018,46.0,40.692307692307686,64.0,68.0,1.4,48.0,2.0,2.0,50.0,739.875,0.025000001585001128,268844.0,275.83440002441404,60.00422399139404,694.75
