Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,91.0,91.0,120.0,152.0,2.0,78.0,2.0,5.0,50.0,735.75,0.02500000108600036,268340.0,275.82829986572256,60.00415199279785,694.5625
1,1,1,2018,78.0,84.5,104.0,153.0,2.0,77.0,2.0,5.0,50.0,735.75,0.02500000108600036,268340.0,275.82829986572256,60.00415199279785,694.5625
2,1,1,2018,70.0,79.66666666666667,97.0,144.0,2.1,87.0,2.0,6.0,50.0,735.75,0.02500000108600036,268340.0,275.82829986572256,60.00415199279785,694.5625
3,1,1,2018,66.0,76.25,89.0,113.0,2.0,83.0,2.0,7.0,50.0,737.9375,0.02500000087499991,268380.0,275.892200012207,60.006159996032714,778.3125
4,1,1,2018,48.0,70.6,66.0,80.0,1.7,72.0,2.0,6.0,50.0,737.9375,0.02500000087499991,268380.0,275.892200012207,60.006159996032714,778.3125
5,1,1,2018,35.0,64.66666666666667,54.0,58.0,1.4,65.0,2.0,5.0,50.0,737.9375,0.02500000087499991,268380.0,275.892200012207,60.006159996032714,778.3125
6,1,1,2018,29.0,59.57142857142857,49.0,49.0,1.3,63.0,2.0,4.0,50.0,740.125,0.025000000896999608,267992.0,275.911600036621,60.0042199935913,768.3125
7,1,1,2018,24.0,55.125,44.0,44.0,1.2,60.0,2.0,4.0,50.0,740.125,0.025000000896999608,267992.0,275.911600036621,60.0042199935913,768.3125
8,1,1,2018,16.0,50.77777777777778,34.0,34.0,1.1,58.0,2.0,3.0,50.0,740.125,0.025000000896999608,267992.0,275.911600036621,60.0042199935913,768.3125
9,1,1,2018,18.0,47.5,35.0,35.0,1.2,54.0,5.0,3.0,50.0,741.25,0.02500000111900084,268152.0,275.89690002441404,60.004167991638184,685.5
10,1,1,2018,18.0,44.81818181818182,39.0,39.0,1.1,45.0,13.0,3.0,50.0,741.25,0.02500000111900084,268152.0,275.89690002441404,60.004167991638184,685.5
11,1,1,2018,14.0,42.25,31.0,31.0,1.1,34.0,26.0,4.0,50.0,741.25,0.02500000111900084,268152.0,275.89690002441404,60.004167991638184,685.5
12,1,1,2018,17.0,40.307692307692314,39.0,39.0,1.3,33.0,31.0,7.0,50.0,739.125,0.02500000141200051,268448.0,275.86259979248047,60.00215999603272,685.0
13,1,1,2018,27.0,39.357142857142854,53.0,56.0,1.4,39.0,28.0,11.0,50.0,739.125,0.02500000141200051,268448.0,275.86259979248047,60.00215999603272,685.0
14,1,1,2018,34.0,39.0,56.0,62.0,1.6,39.0,29.0,12.0,50.0,739.125,0.02500000141200051,268448.0,275.86259979248047,60.00215999603272,685.0
15,1,1,2018,41.0,39.125,64.0,77.0,1.7,43.0,27.0,13.0,50.0,740.0,0.025000001981001347,268612.0,275.86079986572264,60.00213999176025,685.0
16,1,1,2018,51.0,39.8235294117647,70.0,85.0,2.2,53.0,21.0,17.0,50.0,740.0,0.025000001981001347,268612.0,275.86079986572264,60.00213999176025,685.0
17,1,1,2018,67.0,41.333333333333336,90.0,112.0,2.3,70.0,8.0,18.0,50.0,740.0,0.025000001981001347,268612.0,275.86079986572264,60.00213999176025,685.0
18,1,1,2018,81.0,43.42105263157895,108.0,148.0,2.3,82.0,2.0,18.0,50.0,737.625,0.02500000187000074,269012.0,275.8335998535156,60.00212399291992,685.0
19,1,1,2018,80.0,45.25,106.0,155.0,2.3,83.0,2.0,18.0,50.0,737.625,0.02500000187000074,269012.0,275.8335998535156,60.00212399291992,685.0
20,1,1,2018,75.0,46.66666666666666,102.0,154.0,2.3,79.0,2.0,18.0,50.0,737.625,0.02500000187000074,269012.0,275.8335998535156,60.00212399291992,685.0
21,1,1,2018,77.0,48.04545454545455,103.0,155.0,2.3,76.0,2.0,14.0,50.0,735.8125,0.02500000170000084,269144.0,275.81369995117177,60.00211599731446,685.0
22,1,1,2018,69.0,48.95652173913044,94.0,138.0,2.2,66.0,2.0,6.0,50.0,735.8125,0.02500000170000084,269144.0,275.81369995117177,60.00211599731446,685.0
23,1,1,2018,60.0,49.41666666666666,81.0,108.0,1.7,60.0,2.0,3.0,50.0,735.8125,0.02500000170000084,269144.0,275.81369995117177,60.00211599731446,685.0
0,2,1,2018,45.0,49.24,63.0,71.0,1.4,56.0,2.0,3.0,50.0,740.8125,0.025000001787001267,269660.0,275.8330999755859,60.001983993530274,696.3125
1,2,1,2018,37.0,48.769230769230774,54.0,58.0,1.2,55.0,2.0,2.0,50.0,740.8125,0.025000001787001267,269660.0,275.8330999755859,60.001983993530274,696.3125
