Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,60.0,60.0,81.0,86.0,1.3,74.0,2.0,2.0,50.0,734.6875,0.02500000104399957,268160.0,275.825,60.00380799102784,694.875
1,1,1,2018,60.0,60.0,81.0,98.0,1.7,78.0,2.0,2.0,50.0,734.6875,0.02500000104399957,268160.0,275.825,60.00380799102784,694.875
2,1,1,2018,63.0,61.0,85.0,93.0,1.7,77.0,2.0,2.0,50.0,734.6875,0.02500000104399957,268160.0,275.825,60.00380799102784,694.875
3,1,1,2018,39.0,55.5,56.0,61.0,1.1,62.0,2.0,2.0,50.0,737.0625,0.025000000817000868,268272.0,275.89,60.00581999206543,780.0
4,1,1,2018,27.0,49.8,50.0,50.0,1.0,61.0,2.0,2.0,50.0,737.0625,0.025000000817000868,268272.0,275.89,60.00581999206543,780.0
5,1,1,2018,28.0,46.16666666666666,48.0,48.0,1.0,59.0,2.0,2.0,50.0,737.0625,0.025000000817000868,268272.0,275.89,60.00581999206543,780.0
6,1,1,2018,22.0,42.714285714285715,41.0,41.0,0.9,57.0,2.0,2.0,50.0,738.6875,0.02500000083900057,267872.0,275.9105999755859,60.00383599090576,771.6875
7,1,1,2018,22.0,40.125,44.0,44.0,0.9,54.0,2.0,2.0,50.0,738.6875,0.02500000083900057,267872.0,275.9105999755859,60.00383599090576,771.6875
8,1,1,2018,19.0,37.77777777777778,51.0,51.0,0.8,52.0,2.0,2.0,50.0,738.6875,0.02500000083900057,267872.0,275.9105999755859,60.00383599090576,771.6875
9,1,1,2018,9.0,34.9,24.0,20.0,0.7,48.0,9.0,2.0,50.0,740.25,0.025000001070000232,268064.0,275.89549987792964,60.0037559967041,685.5
10,1,1,2018,6.0,32.27272727272727,29.0,29.0,0.6,38.0,25.0,4.0,50.0,740.25,0.025000001070000232,268064.0,275.89549987792964,60.0037559967041,685.5
11,1,1,2018,13.0,30.66666666666667,40.0,40.0,0.6,37.0,29.0,5.0,50.0,740.25,0.025000001070000232,268064.0,275.89549987792964,60.0037559967041,685.5
12,1,1,2018,9.0,29.0,22.0,22.0,0.6,31.0,36.0,4.0,50.0,738.0625,0.025000001362999902,268336.0,275.86,60.00180799102783,685.0
13,1,1,2018,10.0,27.642857142857146,17.0,17.0,0.5,29.0,42.0,4.0,50.0,738.0625,0.025000001362999902,268336.0,275.86,60.00180799102783,685.0
14,1,1,2018,22.0,27.266666666666666,38.0,38.0,0.7,37.0,37.0,9.0,50.0,738.0625,0.025000001362999902,268336.0,275.86,60.00180799102783,685.0
15,1,1,2018,23.0,27.0,48.0,48.0,0.9,43.0,32.0,10.0,50.0,738.75,0.025000001822000368,268524.0,275.85759979248047,60.00186399078369,685.0
16,1,1,2018,43.0,27.94117647058824,67.0,83.0,1.4,53.0,25.0,13.0,50.0,738.75,0.025000001822000368,268524.0,275.85759979248047,60.00186399078369,685.0
17,1,1,2018,55.0,29.444444444444446,75.0,95.0,2.03166666666663,71.0,10.0,15.0,50.0,738.75,0.025000001822000368,268524.0,275.85759979248047,60.00186399078369,685.0
18,1,1,2018,66.0,31.36842105263158,89.0,113.0,2.03166666666663,77.0,2.0,15.0,50.0,736.375,0.02500000174099952,268816.0,275.82910003662107,60.00187999725342,685.0
19,1,1,2018,65.0,33.05,88.0,113.0,2.03166666666663,73.0,2.0,10.0,50.0,736.375,0.02500000174099952,268816.0,275.82910003662107,60.00187999725342,685.0
20,1,1,2018,72.0,34.904761904761905,96.0,117.0,2.03166666666663,72.0,2.0,7.0,50.0,736.375,0.02500000174099952,268816.0,275.82910003662107,60.00187999725342,685.0
21,1,1,2018,68.0,36.40909090909091,91.0,128.0,1.9,65.0,4.0,6.0,50.0,734.8125,0.0250000016680006,269048.0,275.80989990234366,60.00187199401857,685.0
22,1,1,2018,68.0,37.78260869565217,91.0,110.0,1.4,66.0,2.0,6.0,50.0,734.8125,0.0250000016680006,269048.0,275.80989990234366,60.00187199401857,685.0
23,1,1,2018,37.0,37.75,60.0,70.0,0.7,40.0,19.0,3.0,50.0,734.8125,0.0250000016680006,269048.0,275.80989990234366,60.00187199401857,685.0
0,2,1,2018,32.0,37.52,48.0,48.0,0.6,38.0,20.0,3.0,50.0,740.3125,0.025000001790000132,269568.0,275.83209991455084,60.00217599487305,696.0
1,2,1,2018,31.0,37.269230769230774,44.0,40.0,0.6,36.0,19.0,2.0,50.0,740.3125,0.025000001790000132,269568.0,275.83209991455084,60.00217599487305,696.0
2,2,1,2018,30.0,37.0,43.0,38.0,0.6,36.0,9.0,2.0,50.0,740.3125,0.025000001790000132,269568.0,275.83209991455084,60.00217599487305,696.0
3,2,1,2018,35.0,36.92857142857143,50.0,40.0,0.7,41.0,5.0,2.0,50.0,736.625,0.02500000085300021,269660.0,275.8826998901367,60.009159996032714,779.875
4,2,1,2018,31.5,36.74137931034483,45.0,36.0,0.85,43.0,4.0,2.0,50.0,736.625,0.02500000085300021,269660.0,275.8826998901367,60.009159996032714,779.875
5,2,1,2018,28.0,36.45,40.0,32.0,1.0,45.0,3.0,2.0,50.0,736.625,0.02500000085300021,269660.0,275.8826998901367,60.009159996032714,779.875
6,2,1,2018,30.0,35.45,43.0,41.0,1.0,46.0,2.0,2.0,50.0,749.375,0.02500000089900009,269428.0,275.90619995117186,60.00629999542236,738.5625
7,2,1,2018,43.0,34.88333333333333,60.0,60.0,1.2,50.0,2.0,2.0,50.0,749.375,0.02500000089900009,269428.0,275.90619995117186,60.00629999542236,738.5625
8,2,1,2018,50.0,34.45,69.0,88.0,1.8,58.0,2.0,2.0,50.0,749.375,0.02500000089900009,269428.0,275.90619995117186,60.00629999542236,738.5625
9,2,1,2018,52.0,34.88333333333333,71.0,90.0,1.8,58.0,2.0,2.0,50.0,744.25,0.025000000791000204,269528.0,275.9004000854492,60.008251991271976,685.5
10,2,1,2018,50.0,35.65,69.0,59.0,1.4,56.0,8.0,8.0,50.0,744.25,0.025000000791000204,269528.0,275.9004000854492,60.008251991271976,685.5
11,2,1,2018,29.0,35.68333333333333,41.0,37.0,0.9,40.0,24.0,8.0,50.0,744.25,0.025000000791000204,269528.0,275.9004000854492,60.008251991271976,685.5
12,2,1,2018,21.0,35.65,30.0,22.0,0.6,31.0,37.0,7.0,50.0,743.125,0.02500000064600073,269660.0,275.89139984130856,60.0043039932251,685.0
13,2,1,2018,26.0,35.78333333333333,39.0,39.0,0.7,31.0,39.0,9.0,50.0,743.125,0.02500000064600073,269660.0,275.89139984130856,60.0043039932251,685.0
14,2,1,2018,22.0,35.88333333333333,49.0,49.0,0.6,34.0,39.0,8.0,50.0,743.125,0.02500000064600073,269660.0,275.89139984130856,60.0043039932251,685.0
15,2,1,2018,14.0,36.05,41.0,41.0,0.5,29.0,45.0,7.0,50.0,741.125,0.025000000567000358,269660.0,275.8705999755859,60.006131996154785,685.0
16,2,1,2018,18.0,36.45,46.0,46.0,0.4,29.0,46.0,6.0,50.0,741.125,0.025000000567000358,269660.0,275.8705999755859,60.006131996154785,685.0
17,2,1,2018,8.0,36.28333333333333,45.0,45.0,0.4,27.0,47.0,5.0,50.0,741.125,0.025000000567000358,269660.0,275.8705999755859,60.006131996154785,685.0
18,2,1,2018,8.0,36.25,40.0,40.0,0.4,31.0,41.0,5.0,50.0,740.0,0.025000000602001325,269660.0,275.85540008544916,60.007955993652345,685.0
19,2,1,2018,10.0,36.25,45.0,45.0,0.4,34.0,37.0,5.0,50.0,740.0,0.025000000602001325,269660.0,275.85540008544916,60.007955993652345,685.0
20,2,1,2018,16.0,36.05,43.0,43.0,0.4,31.0,39.0,4.0,50.0,740.0,0.025000000602001325,269660.0,275.85540008544916,60.007955993652345,685.0
21,2,1,2018,8.0,35.55,39.0,39.0,0.3,24.0,50.0,3.0,50.0,739.375,0.02500000065900013,269660.0,275.8457998657226,60.004067993164064,685.0
22,2,1,2018,5.0,34.28333333333333,31.0,31.0,0.3,25.0,50.0,3.0,50.0,739.375,0.02500000065900013,269660.0,275.8457998657226,60.004067993164064,685.0
23,2,1,2018,6.0,32.65,42.0,42.0,0.2,23.0,51.0,3.0,50.0,739.375,0.02500000065900013,269660.0,275.8457998657226,60.004067993164064,685.0
