Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,43.0,43.0,60.0,49.0,1.6,38.0,11.0,6.0,50.0,733.5,0.025000001094000416,267704.0,275.79489990234373,60.001723991394044,694.625
1,1,1,2018,41.0,42.0,58.0,44.0,1.6,34.0,14.0,6.0,50.0,733.5,0.025000001094000416,267704.0,275.79489990234373,60.001723991394044,694.625
2,1,1,2018,44.0,42.66666666666666,61.0,52.0,1.7,43.0,6.0,5.0,50.0,733.5,0.025000001094000416,267704.0,275.79489990234373,60.001723991394044,694.625
3,1,1,2018,48.0,44.0,66.0,52.0,1.7,45.0,4.0,5.0,50.0,737.1875,0.025000000912001358,268300.0,275.86959991455075,60.00373999786377,773.75
4,1,1,2018,44.0,44.0,61.0,49.0,1.9,49.0,2.0,6.0,50.0,737.1875,0.025000000912001358,268300.0,275.86959991455075,60.00373999786377,773.75
5,1,1,2018,38.0,43.0,54.0,41.0,1.6,37.0,9.0,5.0,50.0,737.1875,0.025000000912001358,268300.0,275.86959991455075,60.00373999786377,773.75
6,1,1,2018,33.0,41.57142857142857,47.0,37.0,1.5,38.0,7.0,4.0,50.0,739.5625,0.025000000918000937,267852.0,275.904100036621,60.003591995239255,765.6875
7,1,1,2018,35.0,40.75,50.0,43.0,1.4,35.0,10.0,4.0,50.0,739.5625,0.025000000918000937,267852.0,275.904100036621,60.003591995239255,765.6875
8,1,1,2018,36.0,40.22222222222222,51.0,50.0,1.7,43.0,4.0,5.0,50.0,739.5625,0.025000000918000937,267852.0,275.904100036621,60.003591995239255,765.6875
9,1,1,2018,44.0,40.6,61.0,64.0,1.9,47.0,6.0,7.0,50.0,740.3125,0.025000001131000003,268108.0,275.8817999267577,60.00476399230957,685.4375
10,1,1,2018,57.0,42.09090909090909,78.0,71.0,2.1,41.0,15.0,11.0,50.0,740.3125,0.025000001131000003,268108.0,275.8817999267577,60.00476399230957,685.4375
11,1,1,2018,62.0,43.75,84.0,74.0,2.0,40.0,23.0,12.0,50.0,740.3125,0.025000001131000003,268108.0,275.8817999267577,60.00476399230957,685.4375
12,1,1,2018,58.0,44.846153846153854,79.0,67.0,1.9,44.0,27.0,10.0,50.0,737.5,0.02500000114499964,268356.0,275.84609985351557,60.00114399719239,685.0
