Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,39.0,39.0,56.0,62.0,1.5,47.0,2.0,5.0,50.0,732.1875,0.02500000093400106,267316.0,275.795,60.001407997131345,694.5625
1,1,1,2018,44.0,41.5,61.0,65.0,1.4,48.0,2.0,4.0,50.0,732.1875,0.02500000093400106,267316.0,275.795,60.001407997131345,694.5625
2,1,1,2018,41.0,41.333333333333336,58.0,58.0,1.4,41.0,3.0,3.0,50.0,732.1875,0.02500000093400106,267316.0,275.795,60.001407997131345,694.5625
3,1,1,2018,42.0,41.5,59.0,58.0,1.2,42.0,3.0,3.0,50.0,735.1875,0.02500000072799996,268296.0,275.8688998413086,60.00323599243164,778.4375
4,1,1,2018,40.0,41.2,56.0,50.0,1.0,39.0,6.0,3.0,50.0,735.1875,0.02500000072799996,268296.0,275.8688998413086,60.00323599243164,778.4375
5,1,1,2018,28.0,39.0,41.0,41.0,0.9,39.0,6.0,3.0,50.0,735.1875,0.02500000072799996,268296.0,275.8688998413086,60.00323599243164,778.4375
6,1,1,2018,28.0,37.42857142857143,40.0,35.0,0.9,32.0,13.0,3.0,50.0,737.8125,0.025000000691000373,267800.0,275.90509979248037,60.00233599090576,770.125
7,1,1,2018,25.0,35.875,36.0,29.0,0.7,28.0,20.0,3.0,50.0,737.8125,0.025000000691000373,267800.0,275.90509979248037,60.00233599090576,770.125
8,1,1,2018,17.0,33.77777777777778,36.0,36.0,0.8,32.0,14.0,3.0,50.0,737.8125,0.025000000691000373,267800.0,275.90509979248037,60.00233599090576,770.125
9,1,1,2018,19.0,32.3,32.0,32.0,0.8,27.0,23.0,5.0,50.0,738.5,0.025000000876000152,268128.0,275.88119995117194,60.003751991271976,685.4375
10,1,1,2018,15.0,30.72727272727273,28.0,28.0,0.6,20.0,34.0,5.0,50.0,738.5,0.025000000876000152,268128.0,275.88119995117194,60.003751991271976,685.4375
11,1,1,2018,16.0,29.5,23.0,21.0,0.5,14.0,47.0,4.0,50.0,738.5,0.025000000876000152,268128.0,275.88119995117194,60.003751991271976,685.4375
12,1,1,2018,10.0,28.0,18.0,20.0,0.4,9.0,58.0,2.0,50.0,735.75,0.02500000101399981,268324.0,275.8404000854492,60.000103996276856,685.0
13,1,1,2018,5.0,26.357142857142854,19.0,19.0,0.3,7.0,62.0,2.0,50.0,735.75,0.02500000101399981,268324.0,275.8404000854492,60.000103996276856,685.0
14,1,1,2018,7.0,25.066666666666666,20.0,18.0,0.3,6.0,65.0,2.0,50.0,735.75,0.02500000101399981,268324.0,275.8404000854492,60.000103996276856,685.0
15,1,1,2018,8.0,24.0,20.0,17.0,0.3,8.0,64.0,2.0,50.0,734.9375,0.02500000103900023,268612.0,275.82910003662107,60.00019199371338,685.0
16,1,1,2018,8.0,23.058823529411764,19.0,16.0,0.4,12.0,60.0,2.0,50.0,734.9375,0.02500000103900023,268612.0,275.82910003662107,60.00019199371338,685.0
17,1,1,2018,9.0,22.277777777777782,18.0,17.0,0.4,12.0,58.0,2.0,50.0,734.9375,0.02500000103900023,268612.0,275.82910003662107,60.00019199371338,685.0
18,1,1,2018,13.0,21.78947368421053,39.0,39.0,0.8500000000000001,28.0,9.0,5.5,50.0,733.0,0.025000001072000712,267876.0,275.8016000366211,60.000527992248536,685.0
19,1,1,2018,16.0,21.5,55.0,59.0,1.3,44.0,17.0,9.0,50.0,733.0,0.025000001072000712,267876.0,275.8016000366211,60.000527992248536,685.0
20,1,1,2018,43.0,22.523809523809533,60.0,54.0,0.9,29.0,25.0,5.0,50.0,733.0,0.025000001072000712,267876.0,275.8016000366211,60.000527992248536,685.0
21,1,1,2018,33.0,23.0,47.0,46.0,1.1,26.0,27.0,8.0,50.0,732.4375,0.0250000013190005,269136.0,275.787200012207,60.000103996276856,685.0
22,1,1,2018,32.0,23.39130434782609,50.0,50.0,1.1,28.0,20.0,6.0,50.0,732.4375,0.0250000013190005,269136.0,275.787200012207,60.000103996276856,685.0
23,1,1,2018,33.0,23.79166666666667,54.0,58.0,1.2,30.0,16.0,8.0,50.0,732.4375,0.0250000013190005,269136.0,275.787200012207,60.000103996276856,685.0
0,2,1,2018,40.0,24.44,56.0,57.0,1.1,27.0,16.0,6.0,50.0,737.125,0.02500000153000094,269580.0,275.8126998901367,60.00173599243164,692.9375
1,2,1,2018,36.0,24.884615384615387,51.0,48.0,1.2,25.0,18.0,5.0,50.0,737.125,0.02500000153000094,269580.0,275.8126998901367,60.00173599243164,692.9375
2,2,1,2018,35.0,25.259259259259263,52.0,53.0,1.2,26.0,16.0,4.0,50.0,737.125,0.02500000153000094,269580.0,275.8126998901367,60.00173599243164,692.9375
3,2,1,2018,36.0,25.642857142857146,51.0,52.0,1.3,26.0,14.0,4.0,50.0,737.5625,0.025000001081001016,269580.0,275.88649993896485,60.010035995483406,776.75
4,2,1,2018,37.0,26.03448275862069,54.0,57.0,1.4,34.0,9.0,3.0,50.0,737.5625,0.025000001081001016,269580.0,275.88649993896485,60.010035995483406,776.75
5,2,1,2018,42.0,26.566666666666666,59.0,57.0,1.4,37.0,4.0,2.0,50.0,737.5625,0.025000001081001016,269580.0,275.88649993896485,60.010035995483406,776.75
6,2,1,2018,44.0,26.73333333333333,61.0,66.0,1.5,39.0,2.0,2.0,50.0,745.125,0.02500000110300072,269324.0,275.90269989013666,60.0084999923706,749.5625
7,2,1,2018,48.0,26.86666666666667,66.0,50.0,0.9,35.0,7.0,2.0,50.0,745.125,0.02500000110300072,269324.0,275.90269989013666,60.0084999923706,749.5625
8,2,1,2018,27.0,26.4,39.0,34.0,0.9,38.0,4.0,3.0,50.0,745.125,0.02500000110300072,269324.0,275.90269989013666,60.0084999923706,749.5625
9,2,1,2018,30.0,26.0,45.0,45.0,0.9,29.0,16.0,4.0,50.0,740.75,0.025000000640999533,269560.0,275.8814999389648,60.00909999847412,685.5
10,2,1,2018,27.0,25.566666666666666,39.0,37.0,0.7,26.0,23.0,5.0,50.0,740.75,0.025000000640999533,269560.0,275.8814999389648,60.00909999847412,685.5
11,2,1,2018,20.0,25.3,29.0,28.0,0.4,17.0,38.0,4.0,50.0,740.75,0.025000000640999533,269560.0,275.8814999389648,60.00909999847412,685.5
12,2,1,2018,12.0,24.766666666666666,17.0,15.0,0.3,10.0,54.0,2.0,50.0,739.3125,0.025000000586999586,269580.0,275.86549987792966,60.007031997680656,685.0
13,2,1,2018,10.0,24.266666666666666,18.0,10.0,0.2,9.0,56.0,2.0,50.0,739.3125,0.025000000586999586,269580.0,275.86549987792966,60.007031997680656,685.0
14,2,1,2018,8.0,23.966666666666665,18.0,10.0,0.2,9.0,58.0,2.0,50.0,739.3125,0.025000000586999586,269580.0,275.86549987792966,60.007031997680656,685.0
15,2,1,2018,10.0,23.66666666666667,18.0,10.5,0.2,10.0,58.0,2.0,50.0,737.875,0.025000000522000715,269580.0,275.849700012207,60.007175994873045,685.0
16,2,1,2018,7.0,23.4,18.0,11.0,0.2,12.0,57.0,2.0,50.0,737.875,0.025000000522000715,269580.0,275.849700012207,60.007175994873045,685.0
17,2,1,2018,8.0,23.13333333333333,17.0,12.0,0.2,15.0,53.0,2.0,50.0,737.875,0.025000000522000715,269580.0,275.849700012207,60.007175994873045,685.0
18,2,1,2018,4.0,22.93333333333333,31.0,31.0,0.6,30.0,35.0,4.0,50.0,736.875,0.025000000563001255,269580.0,275.835,60.00665999603272,685.0
19,2,1,2018,15.0,23.266666666666666,47.0,47.0,0.9,35.0,28.0,10.0,50.0,736.875,0.025000000563001255,269580.0,275.835,60.00665999603272,685.0
20,2,1,2018,40.0,24.36666666666667,56.0,40.0,0.6,27.0,35.0,4.0,50.0,736.875,0.025000000563001255,269580.0,275.835,60.00665999603272,685.0
21,2,1,2018,23.0,24.86666666666667,33.0,28.0,0.4,18.0,56.0,2.0,50.0,736.875,0.02500000081199967,269580.0,275.8273999023437,60.003555992126465,685.0
22,2,1,2018,11.0,24.966666666666665,20.0,16.0,0.3,11.0,63.0,2.0,50.0,736.875,0.02500000081199967,269580.0,275.8273999023437,60.003555992126465,685.0
23,2,1,2018,8.0,24.93333333333333,21.0,18.0,0.2,8.0,66.0,2.0,50.0,736.875,0.02500000081199967,269580.0,275.8273999023437,60.003555992126465,685.0
0,3,1,2018,7.0,24.73333333333333,20.0,14.0,0.2,7.0,64.0,2.0,50.0,737.6875,0.02500000221399963,269580.0,275.8210998535156,60.00535999298096,693.875
1,3,1,2018,3.0,24.3,19.0,10.0,0.2,8.0,60.0,2.0,50.0,737.6875,0.02500000221399963,269580.0,275.8210998535156,60.00535999298096,693.875
2,3,1,2018,3.0,22.966666666666665,18.0,6.0,0.2,8.0,59.0,2.0,50.0,737.6875,0.02500000221399963,269580.0,275.8210998535156,60.00535999298096,693.875
3,3,1,2018,3.0,21.966666666666665,17.0,10.0,0.2,11.0,54.0,2.0,50.0,741.1875,0.02500000256100111,269580.0,275.85839996337893,60.007471992492675,757.8125
4,3,1,2018,3.0,21.0,16.0,8.0,0.3,13.0,50.0,2.0,50.0,741.1875,0.02500000256100111,269580.0,275.85839996337893,60.007471992492675,757.8125
5,3,1,2018,5.0,20.066666666666666,17.0,17.0,0.4,15.0,40.0,2.0,50.0,741.1875,0.02500000256100111,269580.0,275.85839996337893,60.007471992492675,757.8125
6,3,1,2018,6.0,18.933333333333334,15.5,15.5,0.55,20.5,33.0,2.0,50.0,740.1875,0.025000002723000944,268820.0,275.8779000854492,60.00923999786377,762.0
7,3,1,2018,7.0,17.966666666666665,14.0,14.0,0.7,26.0,26.0,2.0,50.0,740.1875,0.025000002723000944,268820.0,275.8779000854492,60.00923999786377,762.0
8,3,1,2018,5.0,16.966666666666665,20.0,20.0,0.8,39.0,16.0,2.0,50.0,740.1875,0.025000002723000944,268820.0,275.8779000854492,60.00923999786377,762.0
9,3,1,2018,10.0,16.1,22.0,22.0,0.6,33.0,26.0,2.0,50.0,742.25,0.025000002747001128,268860.0,275.86799987792966,60.00619999694824,685.4375
10,3,1,2018,6.0,15.066666666666665,21.0,21.0,0.5,20.0,41.0,3.0,50.0,742.25,0.025000002747001128,268860.0,275.86799987792966,60.00619999694824,685.4375
11,3,1,2018,11.0,14.033333333333333,17.0,17.0,0.4,14.0,50.0,2.0,50.0,742.25,0.025000002747001128,268860.0,275.86799987792966,60.00619999694824,685.4375
12,3,1,2018,6.0,12.766666666666667,19.0,15.8,0.2,7.0,61.0,2.0,50.0,740.0,0.0250000021139998,269052.0,275.8522998046875,60.00665599822998,685.0
13,3,1,2018,9.0,11.466666666666667,19.0,14.6,0.2,5.0,62.0,2.0,50.0,740.0,0.0250000021139998,269052.0,275.8522998046875,60.00665599822998,685.0
14,3,1,2018,7.0,10.8,19.0,13.4,0.2,5.0,61.0,2.0,50.0,740.0,0.0250000021139998,269052.0,275.8522998046875,60.00665599822998,685.0
15,3,1,2018,6.0,10.0,19.0,12.2,0.2,7.0,61.0,2.0,50.0,739.3125,0.02500000209300034,269580.0,275.84350006103506,60.010035995483406,685.0
16,3,1,2018,8.0,9.366666666666667,18.0,11.0,0.2,10.0,57.0,2.0,50.0,739.3125,0.02500000209300034,269580.0,275.84350006103506,60.010035995483406,685.0
17,3,1,2018,5.0,8.866666666666667,20.0,20.0,0.3,17.0,49.0,2.0,50.0,739.3125,0.02500000209300034,269580.0,275.84350006103506,60.010035995483406,685.0
18,3,1,2018,9.0,8.766666666666667,38.0,38.0,0.6,28.0,36.0,5.0,50.0,734.9375,0.025000000776000317,269580.0,275.81940002441405,60.005487991333005,685.0
19,3,1,2018,19.0,9.066666666666666,51.0,51.0,0.9,36.0,24.0,5.0,50.0,734.9375,0.025000000776000317,269580.0,275.81940002441405,60.005487991333005,685.0
20,3,1,2018,34.0,9.933333333333334,49.0,36.0,0.7,24.0,31.0,3.0,50.0,734.9375,0.025000000776000317,269580.0,275.81940002441405,60.005487991333005,685.0
21,3,1,2018,21.0,10.3,34.0,34.0,0.7,23.0,32.0,5.0,50.0,734.4375,0.0250000007560011,269580.0,275.8135998535156,60.0083639984131,685.0
22,3,1,2018,24.0,10.866666666666667,34.0,31.0,0.7,24.0,32.0,4.0,50.0,734.4375,0.0250000007560011,269580.0,275.8135998535156,60.0083639984131,685.0
23,3,1,2018,25.0,11.433333333333335,36.0,31.0,0.7,32.0,23.0,4.0,50.0,734.4375,0.0250000007560011,269580.0,275.8135998535156,60.0083639984131,685.0
0,4,1,2018,21.0,12.0,30.0,23.5,0.5,22.0,40.0,2.0,50.0,750.6875,0.0250000008770004,268540.0,275.81850006103514,60.005459991455076,688.0
1,4,1,2018,9.0,11.8,17.0,16.0,0.2,11.0,54.0,2.0,50.0,750.6875,0.0250000008770004,268540.0,275.81850006103514,60.005459991455076,688.0
2,4,1,2018,8.0,10.733333333333333,23.0,23.0,0.2,12.0,50.0,2.0,50.0,750.6875,0.0250000008770004,268540.0,275.81850006103514,60.005459991455076,688.0
3,4,1,2018,7.0,10.2,18.0,18.0,0.2,10.0,53.0,2.0,50.0,752.8125,0.025000000683000314,269580.0,275.84619995117185,60.00921199798584,710.25
4,4,1,2018,9.0,10.133333333333333,15.0,15.0,0.4,13.0,52.5,2.0,50.0,752.8125,0.025000000683000314,269580.0,275.84619995117185,60.00921199798584,710.25
5,4,1,2018,9.0,10.166666666666666,16.0,12.0,0.3,11.0,52.0,2.0,50.0,752.8125,0.025000000683000314,269580.0,275.84619995117185,60.00921199798584,710.25
6,4,1,2018,13.0,10.366666666666667,19.0,16.0,0.2,16.0,46.0,2.0,50.0,754.875,0.0250000006980002,268904.0,275.8641000366211,60.00327599334717,707.5
7,4,1,2018,6.0,10.466666666666667,15.0,15.0,0.3,15.0,45.0,2.0,50.0,754.875,0.0250000006980002,268904.0,275.8641000366211,60.00327599334717,707.5
8,4,1,2018,8.0,10.633333333333333,23.0,23.0,0.6,25.0,31.0,3.0,50.0,754.875,0.0250000006980002,268904.0,275.8641000366211,60.00327599334717,707.5
9,4,1,2018,15.0,11.033333333333333,27.0,27.0,0.4,22.0,38.0,2.0,50.0,754.5,0.025000000723000616,268716.0,275.8575,60.00347999572754,685.5
10,4,1,2018,12.0,11.333333333333336,27.0,27.0,0.4,19.0,42.0,3.0,50.0,754.5,0.025000000723000616,268716.0,275.8575,60.00347999572754,685.5
11,4,1,2018,11.0,11.533333333333333,17.0,13.0,0.3,10.0,53.0,2.0,50.0,754.5,0.025000000723000616,268716.0,275.8575,60.00347999572754,685.5
12,4,1,2018,10.0,11.666666666666664,18.0,10.0,0.2,9.0,56.0,2.0,50.0,753.5,0.025000000806000084,268564.0,275.8464999389648,60.00649599456787,685.0
13,4,1,2018,8.0,11.7,18.0,13.0,0.2,8.0,58.0,2.0,50.0,753.5,0.025000000806000084,268564.0,275.8464999389648,60.00649599456787,685.0
14,4,1,2018,6.0,11.733333333333333,18.0,9.0,0.2,6.0,59.0,2.0,50.0,753.5,0.025000000806000084,268564.0,275.8464999389648,60.00649599456787,685.0
15,4,1,2018,5.0,11.566666666666665,19.0,9.0,0.2,7.0,60.0,2.0,50.0,752.5,0.02500000085799955,268564.0,275.8367999267578,60.00459199523926,685.0
16,4,1,2018,10.0,11.7,18.0,12.0,0.2,9.0,57.0,2.0,50.0,752.5,0.02500000085799955,268564.0,275.8367999267578,60.00459199523926,685.0
17,4,1,2018,6.0,11.533333333333333,16.0,16.0,0.2,13.0,52.0,2.0,50.0,752.5,0.02500000085799955,268564.0,275.8367999267578,60.00459199523926,685.0
18,4,1,2018,7.0,11.566666666666665,25.0,25.0,0.3,16.0,48.0,2.0,50.0,751.0625,0.02500000087399968,268324.0,275.82190002441405,60.000643997192384,685.0
19,4,1,2018,7.0,11.5,25.0,25.0,0.6,26.0,36.0,3.0,50.0,751.0625,0.02500000087399968,268324.0,275.82190002441405,60.000643997192384,685.0
20,4,1,2018,18.0,11.866666666666667,43.0,43.0,0.8,44.0,14.0,4.0,50.0,751.0625,0.02500000087399968,268324.0,275.82190002441405,60.000643997192384,685.0
21,4,1,2018,25.0,12.5,39.0,39.0,1.0,32.0,22.0,8.0,50.0,748.5625,0.0250000009350013,268216.0,275.79589996337893,60.000223991394044,685.0
22,4,1,2018,33.0,13.333333333333336,47.0,34.0,0.7,22.0,29.0,3.0,50.0,748.5625,0.0250000009350013,268216.0,275.79589996337893,60.000223991394044,685.0
