Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,153.0,153.0,203.0,196.0,2.4,90.0,3.0,10.0,50.0,736.375,0.02500000121100061,268532.0,275.81959991455074,60.003583992004394,694.4375
1,1,1,2018,157.0,155.0,207.0,182.0,2.2,89.0,3.0,9.0,50.0,736.375,0.02500000121100061,268532.0,275.81959991455074,60.003583992004394,694.4375
2,1,1,2018,144.0,151.33333333333334,191.0,181.0,2.4,86.0,3.0,8.0,50.0,736.375,0.02500000121100061,268532.0,275.81959991455074,60.003583992004394,694.4375
3,1,1,2018,150.0,151.0,200.0,195.0,2.3,83.0,3.0,7.0,50.0,739.625,0.02500000104700029,268700.0,275.88959991455084,60.00575199127197,772.8125
4,1,1,2018,148.0,150.4,197.0,177.0,2.2,81.0,3.0,10.0,50.0,739.625,0.02500000104700029,268700.0,275.88959991455084,60.00575199127197,772.8125
5,1,1,2018,117.0,144.83333333333334,153.0,144.0,2.2,74.0,3.0,10.0,50.0,739.625,0.02500000104700029,268700.0,275.88959991455084,60.00575199127197,772.8125
6,1,1,2018,101.5,138.64285714285714,133.5,136.0,2.05,70.0,2.5,8.0,50.0,741.875,0.025000001077000053,268324.0,275.9108999633789,60.00439999389648,763.1875
7,1,1,2018,86.0,132.0625,114.0,128.0,1.9,66.0,2.0,6.0,50.0,741.875,0.025000001077000053,268324.0,275.9108999633789,60.00439999389648,763.1875
8,1,1,2018,103.0,128.83333333333334,135.0,118.0,2.0,66.0,3.0,6.0,50.0,741.875,0.025000001077000053,268324.0,275.9108999633789,60.00439999389648,763.1875
9,1,1,2018,109.0,126.85,143.0,141.0,2.2,64.0,4.0,6.0,50.0,742.625,0.025000001369001344,268476.0,275.8929000854492,60.005487991333005,685.5
10,1,1,2018,86.0,123.13636363636364,114.0,110.0,1.8,60.0,5.0,10.0,50.0,742.625,0.025000001369001344,268476.0,275.8929000854492,60.005487991333005,685.5
11,1,1,2018,60.0,117.875,81.0,92.0,1.9,54.0,14.0,17.0,50.0,742.625,0.025000001369001344,268476.0,275.8929000854492,60.005487991333005,685.5
12,1,1,2018,74.0,114.5,99.0,102.0,2.4,57.0,23.0,23.0,50.0,739.8125,0.025000001361001285,268788.0,275.85910003662104,60.002251991271976,685.0
13,1,1,2018,92.0,112.89285714285714,121.0,125.0,2.4,63.0,23.0,23.0,50.0,739.8125,0.025000001361001285,268788.0,275.85910003662104,60.002251991271976,685.0
14,1,1,2018,86.0,111.1,114.0,133.0,2.4,64.0,24.0,23.0,50.0,739.8125,0.025000001361001285,268788.0,275.85910003662104,60.002251991271976,685.0
15,1,1,2018,89.0,109.71875,118.0,124.0,2.4,70.0,20.0,23.0,50.0,740.125,0.025000001733999702,268912.0,275.8545999145508,60.00193199157715,685.0
16,1,1,2018,71.0,107.44117647058823,95.0,112.0,2.4,62.0,22.0,23.0,50.0,740.125,0.025000001733999702,268912.0,275.8545999145508,60.00193199157715,685.0
17,1,1,2018,75.0,105.63888888888887,100.0,103.0,1.6,57.0,20.0,23.0,50.0,740.125,0.025000001733999702,268912.0,275.8545999145508,60.00193199157715,685.0
18,1,1,2018,78.0,104.18421052631581,104.0,102.0,1.5,72.0,5.0,23.0,50.0,738.0,0.025000001658000055,269196.0,275.83029998779296,60.001955993652345,685.0
19,1,1,2018,76.0,102.775,101.0,122.0,1.4,76.0,2.0,20.0,50.0,738.0,0.025000001658000055,269196.0,275.83029998779296,60.001955993652345,685.0
