location,longitude,latitude
东四,116.417,39.929
天坛,116.407,39.886
官园,116.339,39.929
万寿西宫,116.352,39.878
奥体中心,116.397,39.982
农展馆,116.461,39.937
万柳,116.287,39.987
北部新区,116.174,40.09
丰台花园,116.279,39.863
云岗,116.146,39.824
古城,116.184,39.914
房山,116.136,39.742
大兴,116.404,39.718
亦庄,116.506,39.795
通州,116.663,39.886
顺义,116.655,40.127
昌平,116.23,40.217
门头沟,116.106,39.937
平谷,117.1,40.143
怀柔,116.628,40.328
密云,116.832,40.37
延庆,115.972,40.453
定陵,116.22,40.292
八达岭,115.988,40.365
密云水库,116.911,40.499
东高村,117.12,40.1
永乐店,116.783,39.712
琉璃河,116,39.58
前门,116.395,39.899
永定门内,116.394,39.876
西直门北,116.349,39.954
南三环,116.368,39.856
东四环,116.483,39.939
