year,month,day,hour,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,original_lat,original_lon,nearest_lat,nearest_lon,distance,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2018,1,1,0,60.0,60.0,81.0,86.0,1.3,74.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,265.71002,99753.0,-2.4344254e-06,0.0,-0.11733246,-1.6333208,1.6375297682430972,175.89111563156777
2018,1,1,1,60.0,60.0,81.0,98.0,1.7,78.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,265.71002,99753.0,-2.4344254e-06,0.0,-0.11733246,-1.6333208,1.6375297682430972,175.89111563156777
2018,1,1,2,63.0,61.0,85.0,93.0,1.7,77.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,272.09503,99843.06,-4.384754e-05,0.0,-1.2026091,-1.2154026,1.7098164016904185,135.30314440387903
2018,1,1,3,39.0,55.5,56.0,61.0,1.1,62.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,272.09503,99843.06,-4.384754e-05,0.0,-1.2026091,-1.2154026,1.7098164016904185,135.30314440387903
2018,1,1,4,27.0,49.8,50.0,50.0,1.0,61.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,272.09503,99843.06,-4.384754e-05,0.0,-1.2026091,-1.2154026,1.7098164016904185,135.30314440387903
2018,1,1,5,28.0,46.16666666666666,48.0,48.0,1.0,59.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,275.64685,99625.625,-9.960368e-05,0.0,-1.5219078,0.57681745,1.627550835557938,110.75718200345898
2018,1,1,6,22.0,42.71428571428572,41.0,41.0,0.9,57.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,275.64685,99625.625,-9.960368e-05,0.0,-1.5219078,0.57681745,1.627550835557938,110.75718200345898
2018,1,1,7,22.0,40.125,44.0,44.0,0.9,54.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,275.64685,99625.625,-9.960368e-05,0.0,-1.5219078,0.57681745,1.627550835557938,110.75718200345898
2018,1,1,8,19.0,37.77777777777778,51.0,51.0,0.8,52.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,272.34525,99691.56,-4.314333e-05,0.0,-2.154746,0.852166,2.317135562730847,111.57796829104373
2018,1,1,9,9.0,34.9,24.0,20.0,0.7,48.0,9.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,272.34525,99691.56,-4.314333e-05,0.0,-2.154746,0.852166,2.317135562730847,111.57796829104373
2018,1,1,10,6.0,32.27272727272727,29.0,29.0,0.6,38.0,25.0,4.0,39.886,116.407,40.0,116.47,13.75539777778883,272.34525,99691.56,-4.314333e-05,0.0,-2.154746,0.852166,2.317135562730847,111.57796829104373
2018,1,1,11,13.0,30.66666666666667,40.0,40.0,0.6,37.0,29.0,5.0,39.886,116.407,40.0,116.47,13.75539777778883,269.3051,99833.81,-1.9609897e-06,0.0,-1.7771568,0.50927675,1.8486884810256168,105.99062258650079
2018,1,1,12,9.0,29.0,22.0,22.0,0.6,31.0,36.0,4.0,39.886,116.407,40.0,116.47,13.75539777778883,269.3051,99833.81,-1.9609897e-06,0.0,-1.7771568,0.50927675,1.8486884810256168,105.99062258650079
2018,1,1,13,10.0,27.642857142857142,17.0,17.0,0.5,29.0,42.0,4.0,39.886,116.407,40.0,116.47,13.75539777778883,269.3051,99833.81,-1.9609897e-06,0.0,-1.7771568,0.50927675,1.8486884810256168,105.99062258650079
2018,1,1,14,22.0,27.266666666666666,38.0,38.0,0.7,37.0,37.0,9.0,39.886,116.407,40.0,116.47,13.75539777778883,268.7453,99975.19,-1.4192183e-06,0.0,-0.8696337,-0.13261986,0.8796878988835243,98.67084786090817
2018,1,1,15,23.0,27.0,48.0,48.0,0.9,43.0,32.0,10.0,39.886,116.407,40.0,116.47,13.75539777778883,268.7453,99975.19,-1.4192183e-06,0.0,-0.8696337,-0.13261986,0.8796878988835243,98.67084786090817
2018,1,1,16,43.0,27.94117647058824,67.0,83.0,1.4,53.0,25.0,13.0,39.886,116.407,40.0,116.47,13.75539777778883,268.7453,99975.19,-1.4192183e-06,0.0,-0.8696337,-0.13261986,0.8796878988835243,98.67084786090817
2018,1,1,17,55.0,29.444444444444446,75.0,95.0,2.03166666666663,71.0,10.0,15.0,39.886,116.407,40.0,116.47,13.75539777778883,267.2234,100040.31,-1.2263436e-06,0.0,-0.73309326,-0.9074249,1.1665529036427955,141.0658405885444
2018,1,1,18,66.0,31.36842105263158,89.0,113.0,2.03166666666663,77.0,2.0,15.0,39.886,116.407,40.0,116.47,13.75539777778883,267.2234,100040.31,-1.2263436e-06,0.0,-0.73309326,-0.9074249,1.1665529036427955,141.0658405885444
2018,1,1,19,65.0,33.05,88.0,113.0,2.03166666666663,73.0,2.0,10.0,39.886,116.407,40.0,116.47,13.75539777778883,267.2234,100040.31,-1.2263436e-06,0.0,-0.73309326,-0.9074249,1.1665529036427955,141.0658405885444
2018,1,1,20,72.0,34.904761904761905,96.0,117.0,2.03166666666663,72.0,2.0,7.0,39.886,116.407,40.0,116.47,13.75539777778883,265.04846,100116.625,-1.0931062e-06,0.0,-0.25780773,-1.5262127,1.5478339805318408,170.4121111060146
2018,1,1,21,68.0,36.40909090909091,91.0,128.0,1.9,65.0,4.0,6.0,39.886,116.407,40.0,116.47,13.75539777778883,265.04846,100116.625,-1.0931062e-06,0.0,-0.25780773,-1.5262127,1.5478339805318408,170.4121111060146
2018,1,1,22,68.0,37.78260869565217,91.0,110.0,1.4,66.0,2.0,6.0,39.886,116.407,40.0,116.47,13.75539777778883,265.04846,100116.625,-1.0931062e-06,0.0,-0.25780773,-1.5262127,1.5478339805318408,170.4121111060146
2018,1,1,23,37.0,37.75,60.0,70.0,0.7,40.0,19.0,3.0,39.886,116.407,40.0,116.47,13.75539777778883,265.30157,100377.44,-1.5154728e-06,0.0,-0.045464516,-1.5051823,1.5058687786286042,178.26988856648444
2018,1,2,0,32.0,37.52,48.0,48.0,0.6,38.0,20.0,3.0,39.886,116.407,40.0,116.47,13.75539777778883,265.30157,100377.44,-1.5154728e-06,0.0,-0.045464516,-1.5051823,1.5058687786286042,178.26988856648444
2018,1,2,1,31.0,37.26923076923077,44.0,40.0,0.6,36.0,19.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,265.30157,100377.44,-1.5154728e-06,0.0,-0.045464516,-1.5051823,1.5058687786286042,178.26988856648444
2018,1,2,2,30.0,37.0,43.0,38.0,0.6,36.0,9.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,272.88712,100532.625,-3.666825e-05,0.0,-0.11072922,-1.4855328,1.4896538725615587,175.73714806293685
2018,1,2,3,35.0,36.92857142857143,50.0,40.0,0.7,41.0,5.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,272.88712,100532.625,-3.666825e-05,0.0,-0.11072922,-1.4855328,1.4896538725615587,175.73714806293685
2018,1,2,4,31.5,36.74137931034483,45.0,36.0,0.85,43.0,4.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,272.88712,100532.625,-3.666825e-05,0.0,-0.11072922,-1.4855328,1.4896538725615587,175.73714806293685
2018,1,2,5,28.0,36.45,40.0,32.0,1.0,45.0,3.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,274.603,100360.875,-8.844229e-05,0.0,0.7807997,-2.474965,2.5952071059445507,197.5093957571061
2018,1,2,6,30.0,35.45,43.0,41.0,1.0,46.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,274.603,100360.875,-8.844229e-05,0.0,0.7807997,-2.474965,2.5952071059445507,197.5093957571061
2018,1,2,7,43.0,34.88333333333333,60.0,60.0,1.2,50.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,274.603,100360.875,-8.844229e-05,0.0,0.7807997,-2.474965,2.5952071059445507,197.5093957571061
2018,1,2,8,50.0,34.45,69.0,88.0,1.8,58.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,271.41357,100426.69,-4.036643e-05,0.0,-0.08422756,-2.2810183,2.28257283931936,177.88529002306836
2018,1,2,9,52.0,34.88333333333333,71.0,90.0,1.8,58.0,2.0,2.0,39.886,116.407,40.0,116.47,13.75539777778883,271.41357,100426.69,-4.036643e-05,0.0,-0.08422756,-2.2810183,2.28257283931936,177.88529002306836
2018,1,2,10,50.0,35.65,69.0,59.0,1.4,56.0,8.0,8.0,39.886,116.407,40.0,116.47,13.75539777778883,271.41357,100426.69,-4.036643e-05,0.0,-0.08422756,-2.2810183,2.28257283931936,177.88529002306836
2018,1,2,11,29.0,35.68333333333333,41.0,37.0,0.9,40.0,24.0,8.0,39.886,116.407,40.0,116.47,13.75539777778883,270.51276,100653.5,-3.393142e-06,0.0,0.5405583,-2.1005,2.1689406459603475,194.43176737864653
2018,1,2,12,21.0,35.65,30.0,22.0,0.6,31.0,37.0,7.0,39.886,116.407,40.0,116.47,13.75539777778883,270.51276,100653.5,-3.393142e-06,0.0,0.5405583,-2.1005,2.1689406459603475,194.43176737864653
2018,1,2,13,26.0,35.78333333333333,39.0,39.0,0.7,31.0,39.0,9.0,39.886,116.407,40.0,116.47,13.75539777778883,270.51276,100653.5,-3.393142e-06,0.0,0.5405583,-2.1005,2.1689406459603475,194.43176737864653
2018,1,2,14,22.0,35.88333333333333,49.0,49.0,0.6,34.0,39.0,8.0,39.886,116.407,40.0,116.47,13.75539777778883,268.47766,100812.81,-4.014706e-06,0.0,0.28372228,-2.516982,2.5329225650407077,186.43141533290446
2018,1,2,15,14.0,36.05,41.0,41.0,0.5,29.0,45.0,7.0,39.886,116.407,40.0,116.47,13.75539777778883,268.47766,100812.81,-4.014706e-06,0.0,0.28372228,-2.516982,2.5329225650407077,186.43141533290446
2018,1,2,16,18.0,36.45,46.0,46.0,0.4,29.0,46.0,6.0,39.886,116.407,40.0,116.47,13.75539777778883,268.47766,100812.81,-4.014706e-06,0.0,0.28372228,-2.516982,2.5329225650407077,186.43141533290446
2018,1,2,17,8.0,36.28333333333333,45.0,45.0,0.4,27.0,47.0,5.0,39.886,116.407,40.0,116.47,13.75539777778883,267.60974,100873.19,-3.892579e-06,0.0,0.36421967,-2.646101,2.6710496944489646,187.83716841055204
2018,1,2,18,8.0,36.25,40.0,40.0,0.4,31.0,41.0,5.0,39.886,116.407,40.0,116.47,13.75539777778883,267.60974,100873.19,-3.892579e-06,0.0,0.36421967,-2.646101,2.6710496944489646,187.83716841055204
2018,1,2,19,10.0,36.25,45.0,45.0,0.4,34.0,37.0,5.0,39.886,116.407,40.0,116.47,13.75539777778883,267.60974,100873.19,-3.892579e-06,0.0,0.36421967,-2.646101,2.6710496944489646,187.83716841055204
2018,1,2,20,16.0,36.05,43.0,43.0,0.4,31.0,39.0,4.0,39.886,116.407,40.0,116.47,13.75539777778883,265.79974,100901.25,-2.8447494e-06,0.0,0.5691902,-1.9580822,2.039132998539546,196.2084922687082
2018,1,2,21,8.0,35.55,39.0,39.0,0.3,24.0,50.0,3.0,39.886,116.407,40.0,116.47,13.75539777778883,265.79974,100901.25,-2.8447494e-06,0.0,0.5691902,-1.9580822,2.039132998539546,196.2084922687082
2018,1,2,22,5.0,34.28333333333333,31.0,31.0,0.3,25.0,50.0,3.0,39.886,116.407,40.0,116.47,13.75539777778883,265.79974,100901.25,-2.8447494e-06,0.0,0.5691902,-1.9580822,2.039132998539546,196.2084922687082
2018,1,2,23,6.0,32.65,42.0,42.0,0.2,23.0,51.0,3.0,39.886,116.407,40.0,116.47,13.75539777778883,264.58838,100979.0,-2.4761994e-06,0.0,0.6593758,-1.7038097,1.8269493532771317,201.15647977601566
2018,1,3,0,3.0,30.55,31.0,31.0,0.2,20.0,52.0,3.0,39.886,116.407,40.0,116.47,13.75539777778883,264.58838,100979.0,-2.4761994e-06,0.0,0.6593758,-1.7038097,1.8269493532771317,201.15647977601566
2018,1,3,1,3.0,28.48333333333333,19.0,19.0,0.2,21.0,48.0,3.0,39.886,116.407,40.0,116.47,13.75539777778883,264.58838,100979.0,-2.4761994e-06,0.0,0.6593758,-1.7038097,1.8269493532771317,201.15647977601566
2018,1,3,2,3.0,26.18333333333333,32.0,32.0,0.3,24.0,44.0,4.0,39.886,116.407,40.0,116.47,13.75539777778883,270.23846,100999.56,-3.5320045e-05,0.0,0.9438944,-3.1054678,3.245745968985897,196.90643758098253
2018,1,3,3,4.0,24.05,34.0,34.0,0.3,17.0,51.0,4.0,39.886,116.407,40.0,116.47,13.75539777778883,270.23846,100999.56,-3.5320045e-05,0.0,0.9438944,-3.1054678,3.245745968985897,196.90643758098253
2018,1,3,4,6.0,21.98333333333333,23.0,23.0,0.3,23.0,44.0,5.0,39.886,116.407,40.0,116.47,13.75539777778883,270.23846,100999.56,-3.5320045e-05,0.0,0.9438944,-3.1054678,3.245745968985897,196.90643758098253
2018,1,3,5,4.0,20.883333333333333,18.0,18.0,0.3,25.0,40.0,6.0,39.886,116.407,40.0,116.47,13.75539777778883,272.44293,100690.44,-7.654169e-05,0.0,1.0801702,-3.1560955,3.3358217077788033,198.89345435128004
2018,1,3,6,9.0,20.116666666666667,16.0,16.0,0.4,25.0,40.0,6.0,39.886,116.407,40.0,116.47,13.75539777778883,272.44293,100690.44,-7.654169e-05,0.0,1.0801702,-3.1560955,3.3358217077788033,198.89345435128004
2018,1,3,7,15.0,19.58333333333333,27.0,27.0,0.4,29.0,36.0,6.0,39.886,116.407,40.0,116.47,13.75539777778883,272.44293,100690.44,-7.654169e-05,0.0,1.0801702,-3.1560955,3.3358217077788033,198.89345435128004
2018,1,3,8,13.0,19.016666666666666,27.0,27.0,0.5,37.0,28.0,6.0,39.886,116.407,40.0,116.47,13.75539777778883,271.03857,100672.0,-3.76065e-05,0.0,0.8571726,-1.155406,1.4386479385265736,216.5709804762416
2018,1,3,9,12.0,18.25,29.0,29.0,0.4,30.0,36.0,4.0,39.886,116.407,40.0,116.47,13.75539777778883,271.03857,100672.0,-3.76065e-05,0.0,0.8571726,-1.155406,1.4386479385265736,216.5709804762416
2018,1,3,10,9.0,17.5,37.0,37.0,0.4,25.0,43.0,5.0,39.886,116.407,40.0,116.47,13.75539777778883,271.03857,100672.0,-3.76065e-05,0.0,0.8571726,-1.155406,1.4386479385265736,216.5709804762416
2018,1,3,11,12.0,16.966666666666665,48.0,48.0,0.4,20.0,49.0,5.0,39.886,116.407,40.0,116.47,13.75539777778883,268.16534,100705.375,-2.1621154e-06,0.0,1.5041571,-1.7208433,2.285561253748256,221.15610197914367
2018,1,3,12,7.0,16.2,59.0,68.0,0.3,16.0,51.0,5.0,39.886,116.407,40.0,116.47,13.75539777778883,268.16534,100705.375,-2.1621154e-06,0.0,1.5041571,-1.7208433,2.285561253748256,221.15610197914367
2018,1,3,13,8.0,15.033333333333331,45.0,45.0,0.4,18.0,53.0,5.0,39.886,116.407,40.0,116.47,13.75539777778883,268.16534,100705.375,-2.1621154e-06,0.0,1.5041571,-1.7208433,2.285561253748256,221.15610197914367
2018,1,3,14,10.0,13.7,34.0,34.0,0.3,18.0,55.0,4.0,39.886,116.407,40.0,116.47,13.75539777778883,267.20312,100741.19,-2.5644722e-06,0.0,0.59921277,-1.8825788,1.975641384953381,197.65593949138378
2018,1,3,15,11.0,12.333333333333336,31.0,31.0,0.3,19.0,56.0,4.0,39.886,116.407,40.0,116.47,13.75539777778883,267.20312,100741.19,-2.5644722e-06,0.0,0.59921277,-1.8825788,1.975641384953381,197.65593949138378
2018,1,3,16,11.0,11.033333333333331,26.0,26.0,0.3,21.0,52.0,4.5,39.886,116.407,40.0,116.47,13.75539777778883,267.20312,100741.19,-2.5644722e-06,0.0,0.59921277,-1.8825788,1.975641384953381,197.65593949138378
2018,1,3,17,6.0,10.266666666666667,32.0,32.0,0.4,33.0,39.0,5.0,39.886,116.407,40.0,116.47,13.75539777778883,265.97803,100696.94,-2.5040208e-06,0.0,0.3329817,-1.9403353,1.9686995425815947,189.73769834652643
2018,1,3,18,15.0,10.066666666666666,47.0,47.0,0.5,45.0,30.0,5.0,39.886,116.407,40.0,116.47,13.75539777778883,265.97803,100696.94,-2.5040208e-06,0.0,0.3329817,-1.9403353,1.9686995425815947,189.73769834652643
