timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,BORN [AQ],33.91,3.08,0.27,3.57,5.75,25.04,6.78,88.54,1012.2
2016-01-02,BORN [AQ],35.07,2.55,0.21,2.98,4.41,21.58,10.74,88.74,995.68
2016-01-03,BORN [AQ],39.48,2.54,0.22,2.91,3.69,22.53,8.31,87.32,989.16
2016-01-04,BORN [AQ],34.98,2.47,0.23,2.99,4.18,27.55,8.95,85.74,981.05
2016-01-05,BORN [AQ],25.56,6.62,0.61,7.46,7.44,17.34,5.81,94.68,983.48
2016-01-06,BORN [AQ],18.83,5.97,0.51,7.75,14.02,21.16,7.15,90.08,992.68
2016-01-07,BORN [AQ],34.08,3.44,0.34,3.99,4.61,24.54,7.4,81.36,989.19
2016-01-08,BORN [AQ],36.42,2.44,0.22,2.92,4.14,22.79,6.61,89.42,997.45
2016-01-09,BORN [AQ],37.31,1.74,0.17,2.14,3.11,17.2,9.7,84.71,987.4
2016-01-10,BORN [AQ],35.92,2.54,0.27,3.01,3.9,21.77,6.54,81.76,983.95
2016-01-11,BORN [AQ],27.55,6.89,0.6,7.93,8.56,16.78,5.22,90.0,982.44
2016-01-12,BORN [AQ],27.38,3.69,0.34,4.34,6.3,34.04,5.45,79.12,1000.68
2016-01-13,BORN [AQ],33.49,4.65,0.49,5.31,6.21,25.12,4.68,81.2,1012.68
2016-01-14,BORN [AQ],31.45,4.17,0.41,4.91,6.68,16.68,3.25,78.93,1008.8
2016-01-15,BORN [AQ],32.08,3.97,0.46,4.59,6.2,22.19,2.71,80.2,1021.32
2016-01-16,BORN [AQ],20.21,7.91,0.96,9.29,13.64,30.34,0.5,88.63,1028.27
2016-01-17,BORN [AQ],19.97,7.43,0.71,9.28,15.39,28.32,4.6,90.78,1021.83
2016-01-18,BORN [AQ],29.1,3.91,0.39,4.53,8.84,19.45,3.8,85.88,1011.47
2016-01-19,BORN [AQ],12.88,12.94,1.06,15.11,25.92,34.21,-1.71,84.81,1015.41
2016-01-20,BORN [AQ],23.29,7.61,0.84,8.61,19.92,25.39,-0.03,81.04,1018.22
2016-01-21,BORN [AQ],30.46,2.75,0.24,3.36,8.91,14.04,6.86,76.94,1018.4
2016-01-22,BORN [AQ],29.21,4.31,0.38,4.98,7.07,28.45,8.62,90.98,1016.31
2016-01-23,BORN [AQ],32.19,3.12,0.28,3.61,7.15,39.93,7.99,93.83,1027.45
2016-01-24,BORN [AQ],30.1,3.01,0.26,3.57,7.73,21.1,11.82,95.62,1025.17
2016-01-25,BORN [AQ],31.69,3.1,0.29,3.66,6.93,27.54,9.75,88.26,1019.46
2016-01-26,BORN [AQ],36.55,2.11,0.23,2.58,4.49,35.68,10.2,89.25,1015.61
2016-01-27,BORN [AQ],35.93,2.99,0.3,3.51,4.63,27.25,10.68,89.99,1009.78
2016-01-28,BORN [AQ],37.73,3.67,0.38,4.2,5.3,28.86,6.35,81.26,1023.33
2016-01-29,BORN [AQ],42.45,2.07,0.19,2.5,5.0,44.52,10.96,88.8,1018.07
2016-01-30,BORN [AQ],39.8,2.89,0.32,3.35,4.77,28.14,7.4,80.08,1010.63
2016-01-31,BORN [AQ],36.56,3.1,0.29,3.6,5.71,37.83,10.46,88.48,1009.79
2016-02-01,BORN [AQ],36.82,2.64,0.24,3.16,6.47,52.06,11.4,84.71,1016.55
2016-02-02,BORN [AQ],37.17,3.17,0.33,3.72,5.67,40.63,7.89,73.49,1015.98
2016-02-03,BORN [AQ],31.09,3.91,0.39,4.6,6.09,34.41,4.94,79.39,1023.31
2016-02-04,BORN [AQ],33.5,4.01,0.37,4.67,6.34,25.92,10.1,87.1,1025.78
2016-02-05,BORN [AQ],37.35,2.4,0.23,2.94,4.67,17.5,10.05,90.84,1016.92
2016-02-06,BORN [AQ],40.71,1.75,0.22,2.14,5.33,27.25,9.8,88.56,995.28
2016-02-07,BORN [AQ],37.93,2.07,0.21,2.53,4.36,38.0,7.65,81.45,991.67
2016-02-08,BORN [AQ],40.57,2.13,0.23,2.64,5.66,64.79,7.82,71.82,989.21
2016-02-09,BORN [AQ],38.83,3.26,0.34,3.91,5.39,39.32,4.97,82.58,988.77
2016-02-10,BORN [AQ],25.84,5.86,0.53,6.99,9.04,29.14,4.79,83.83,997.92
2016-02-11,BORN [AQ],23.26,5.96,0.37,7.61,14.44,29.1,2.33,88.99,1002.18
2016-02-12,BORN [AQ],29.22,3.99,0.26,4.83,8.12,19.61,5.68,88.06,992.35
2016-02-13,BORN [AQ],28.05,5.07,0.28,5.94,12.44,19.34,4.58,91.07,983.88
2016-02-14,BORN [AQ],24.5,4.46,0.27,5.35,16.11,29.71,3.43,81.86,996.76
2016-02-15,BORN [AQ],27.09,5.77,0.44,6.7,8.65,22.31,1.72,76.24,1025.49
2016-02-16,BORN [AQ],24.89,6.01,0.52,7.17,10.86,27.99,2.26,76.33,1032.0
2016-02-17,BORN [AQ],35.9,2.49,0.23,3.04,4.9,14.96,6.19,83.71,1014.05
2016-02-18,BORN [AQ],30.95,6.25,0.56,7.06,10.41,26.36,3.7,81.79,1014.15
2016-02-19,BORN [AQ],35.19,3.39,0.31,3.99,5.67,28.72,4.64,90.62,1014.62
2016-02-20,BORN [AQ],38.61,2.61,0.25,3.13,5.73,42.85,10.69,88.47,1011.02
2016-02-21,BORN [AQ],39.24,2.49,0.21,2.99,6.52,52.24,11.43,89.79,1011.98
2016-02-22,BORN [AQ],36.58,4.65,0.45,5.42,7.38,27.11,8.15,86.11,1009.44
2016-02-23,BORN [AQ],25.43,5.93,0.64,6.99,10.48,30.92,3.61,84.44,1016.7
2016-02-24,BORN [AQ],18.88,8.63,0.75,10.45,17.83,37.93,1.22,82.38,1016.15
2016-02-25,BORN [AQ],19.15,9.46,0.92,11.12,17.25,27.29,1.05,76.8,1015.84
2016-02-26,BORN [AQ],28.18,4.53,0.42,5.29,14.94,22.32,5.46,63.59,1006.91
2016-02-27,BORN [AQ],26.53,6.08,0.61,7.19,19.49,26.54,4.4,61.19,1008.35
2016-02-28,BORN [AQ],32.8,4.03,0.27,4.75,9.83,16.28,3.9,67.73,1019.37
2016-02-29,BORN [AQ],27.23,5.34,0.33,6.68,9.3,19.21,3.5,75.73,1025.36
2016-03-01,BORN [AQ],36.78,3.55,0.31,4.23,5.97,27.05,9.65,87.03,1010.92
2016-03-02,BORN [AQ],38.45,2.81,0.3,3.52,5.91,42.12,6.19,74.63,1001.46
