timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,BRS8 [AQ],29.44,6.65,0.5,7.79,7.97,24.76,6.22,89.86,1005.21
2016-01-02,BRS8 [AQ],29.39,6.22,0.56,7.37,7.17,17.92,9.7,95.46,988.87
2016-01-03,BRS8 [AQ],34.71,5.69,0.41,6.54,5.33,19.85,7.59,89.63,981.47
2016-01-04,BRS8 [AQ],28.9,7.13,0.51,8.34,6.42,19.13,8.02,89.17,973.26
2016-01-05,BRS8 [AQ],16.97,13.68,1.1,16.2,12.24,21.47,7.45,91.92,976.85
2016-01-06,BRS8 [AQ],12.92,10.85,0.94,15.38,14.18,23.0,6.78,92.76,986.36
2016-01-07,BRS8 [AQ],31.56,5.83,0.56,6.83,5.33,23.26,7.06,81.77,982.01
2016-01-08,BRS8 [AQ],28.46,9.21,0.71,10.48,8.82,30.52,6.11,84.86,990.08
2016-01-09,BRS8 [AQ],31.83,5.21,0.44,6.07,5.55,15.55,7.87,89.78,979.24
2016-01-10,BRS8 [AQ],29.12,6.91,0.61,8.03,7.02,21.17,5.35,86.1,976.4
2016-01-11,BRS8 [AQ],22.01,11.2,0.93,14.42,12.13,21.83,5.34,92.65,976.1
2016-01-12,BRS8 [AQ],26.26,4.93,0.62,6.08,6.57,33.06,5.78,79.57,993.79
2016-01-13,BRS8 [AQ],30.45,7.88,0.7,9.31,7.61,26.37,4.41,83.3,1005.34
2016-01-14,BRS8 [AQ],30.29,6.52,0.65,7.65,7.02,18.75,3.32,78.37,1002.81
2016-01-15,BRS8 [AQ],31.26,6.1,0.48,7.17,6.14,22.08,3.42,78.7,1015.57
2016-01-16,BRS8 [AQ],14.39,13.06,1.65,19.07,18.03,37.05,2.56,85.08,1021.97
2016-01-17,BRS8 [AQ],17.87,9.51,0.95,12.44,18.35,32.01,4.27,96.71,1015.21
2016-01-18,BRS8 [AQ],23.17,6.94,0.7,8.37,12.52,22.71,4.19,86.56,1005.35
2016-01-19,BRS8 [AQ],6.05,17.15,2.15,29.28,37.52,53.59,-0.06,82.96,1009.63
2016-01-20,BRS8 [AQ],9.78,17.21,1.75,26.44,35.2,47.88,-1.16,86.96,1012.33
2016-01-21,BRS8 [AQ],22.62,6.17,0.58,7.63,15.92,23.68,4.88,89.92,1011.05
2016-01-22,BRS8 [AQ],28.37,5.97,0.42,7.22,7.94,35.53,8.94,93.12,1008.43
2016-01-23,BRS8 [AQ],29.38,6.75,0.57,7.81,9.96,44.66,9.09,91.2,1019.48
2016-01-24,BRS8 [AQ],27.0,6.1,0.49,7.22,10.78,26.75,13.06,92.26,1017.16
2016-01-25,BRS8 [AQ],28.78,5.54,0.45,6.63,8.54,29.02,10.62,83.09,1011.32
2016-01-26,BRS8 [AQ],34.42,4.24,0.36,5.12,5.12,21.61,9.96,88.82,1005.91
2016-01-27,BRS8 [AQ],34.49,4.99,0.44,5.95,5.37,23.2,10.62,85.76,1001.19
2016-01-28,BRS8 [AQ],35.49,6.42,0.56,7.4,6.47,30.47,6.62,80.87,1015.2
2016-01-29,BRS8 [AQ],39.16,4.31,0.3,5.15,5.86,37.45,10.53,92.28,1008.66
2016-01-30,BRS8 [AQ],37.33,4.95,0.47,5.78,5.51,32.33,6.45,75.46,1003.33
2016-01-31,BRS8 [AQ],33.72,5.72,0.39,6.65,7.14,44.44,9.04,94.69,1002.13
2016-02-01,BRS8 [AQ],37.08,3.73,0.29,4.58,6.83,57.49,10.7,82.83,1008.17
