timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,CHBR [AQ],34.63,2.29,0.2,2.6,5.17,24.46,6.78,88.54,1012.2
2016-01-02,CHBR [AQ],35.36,2.04,0.16,2.31,4.13,21.61,10.74,88.74,995.68
2016-01-03,CHBR [AQ],39.93,1.83,0.16,2.05,3.3,22.04,8.31,87.32,989.16
2016-01-04,CHBR [AQ],35.62,1.65,0.15,1.96,3.77,26.55,8.95,85.74,981.05
2016-01-05,CHBR [AQ],26.19,5.73,0.52,6.23,7.2,17.01,5.81,94.68,983.48
2016-01-06,CHBR [AQ],19.64,4.85,0.34,5.95,12.69,18.92,7.15,90.08,992.68
2016-01-07,CHBR [AQ],34.47,2.8,0.26,3.15,4.2,23.99,7.4,81.36,989.19
2016-01-08,CHBR [AQ],36.92,1.68,0.15,1.96,3.77,22.76,6.61,89.42,997.45
2016-01-09,CHBR [AQ],37.64,1.2,0.11,1.43,2.78,17.16,9.7,84.71,987.4
2016-01-10,CHBR [AQ],36.65,1.67,0.18,1.94,3.42,21.33,6.54,81.76,983.95
2016-01-11,CHBR [AQ],27.62,6.33,0.48,7.04,8.32,15.86,5.22,90.0,982.44
2016-01-12,CHBR [AQ],27.53,3.23,0.28,3.65,5.94,33.24,5.45,79.12,1000.68
2016-01-13,CHBR [AQ],33.73,3.94,0.41,4.37,5.9,25.07,4.68,81.2,1012.68
2016-01-14,CHBR [AQ],31.72,3.5,0.31,3.99,6.05,15.56,3.25,78.93,1008.8
2016-01-15,CHBR [AQ],32.36,3.26,0.36,3.65,5.54,20.93,2.71,80.2,1021.32
2016-01-16,CHBR [AQ],19.86,7.34,0.81,8.43,12.52,27.95,0.5,88.63,1028.27
2016-01-17,CHBR [AQ],21.17,6.22,0.56,7.59,14.05,26.19,4.6,90.78,1021.83
2016-01-18,CHBR [AQ],29.75,3.03,0.28,3.39,8.24,18.56,3.8,85.88,1011.47
2016-01-19,CHBR [AQ],14.12,11.71,0.95,13.13,24.7,32.51,-1.71,84.81,1015.41
2016-01-20,CHBR [AQ],23.77,6.77,0.75,7.4,19.43,24.58,-0.03,81.04,1018.22
2016-01-21,CHBR [AQ],30.69,2.22,0.17,2.6,8.63,13.5,6.86,76.94,1018.4
2016-01-22,CHBR [AQ],29.3,3.67,0.3,4.08,6.76,28.08,8.62,90.98,1016.31
2016-01-23,CHBR [AQ],32.81,2.36,0.2,2.66,6.71,39.19,7.99,93.83,1027.45
2016-01-24,CHBR [AQ],30.61,2.33,0.18,2.67,7.33,20.5,11.82,95.62,1025.17
