timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,DUMB [AQ],30.75,4.32,0.12,4.65,5.03,22.32,3.23,82.08,1004.43
2016-01-02,DUMB [AQ],21.68,4.23,0.06,4.66,4.18,8.11,7.1,90.75,993.06
2016-01-03,DUMB [AQ],26.49,3.72,0.06,4.06,2.51,4.47,7.12,91.22,979.58
2016-01-04,DUMB [AQ],27.96,3.2,0.04,3.52,2.53,6.19,6.62,91.01,974.25
2016-01-05,DUMB [AQ],20.5,3.36,0.04,3.76,4.41,10.04,5.68,89.0,981.88
2016-01-06,DUMB [AQ],14.38,6.01,0.1,6.68,5.37,10.25,5.76,91.57,985.87
2016-01-07,DUMB [AQ],25.57,3.91,0.1,4.35,5.27,13.45,4.58,89.72,976.48
2016-01-08,DUMB [AQ],24.9,6.44,0.19,7.07,7.24,23.23,0.56,97.37,985.22
2016-01-09,DUMB [AQ],24.07,4.6,0.06,5.02,6.84,11.0,2.0,97.61,978.05
2016-01-10,DUMB [AQ],27.96,2.07,0.09,2.32,2.2,5.8,3.33,95.28,963.66
2016-01-11,DUMB [AQ],26.52,2.06,0.07,2.38,2.08,6.03,4.15,93.82,971.73
2016-01-12,DUMB [AQ],23.87,2.53,0.11,2.85,3.83,12.02,3.91,88.32,989.89
2016-01-13,DUMB [AQ],26.37,5.27,0.17,5.78,4.55,16.85,1.12,93.11,999.37
2016-01-14,DUMB [AQ],34.12,2.01,0.13,2.23,2.51,15.13,1.33,81.83,1002.3
2016-01-15,DUMB [AQ],32.56,2.31,0.13,2.55,3.02,22.01,1.54,84.52,1013.42
2016-01-16,DUMB [AQ],26.72,8.26,0.33,9.67,6.87,14.74,-1.14,96.25,1020.57
2016-01-17,DUMB [AQ],27.38,6.04,0.16,6.55,5.7,9.13,0.47,90.3,1014.4
2016-01-18,DUMB [AQ],8.74,14.3,0.61,23.05,23.03,31.26,0.7,99.49,1006.2
2016-01-19,DUMB [AQ],4.38,20.77,0.5,27.88,22.96,32.9,1.56,98.76,1009.44
2016-01-20,DUMB [AQ],7.06,18.39,0.5,24.43,21.67,30.32,2.0,98.42,1011.46
2016-01-21,DUMB [AQ],20.23,7.39,0.21,8.21,13.58,17.9,2.77,94.41,1005.78
2016-01-22,DUMB [AQ],30.6,2.71,0.07,3.0,3.83,22.97,8.23,89.77,997.03
2016-01-23,DUMB [AQ],35.17,1.89,0.05,2.1,4.83,35.68,8.16,88.25,1010.24
2016-01-24,DUMB [AQ],32.94,1.52,0.03,1.73,4.91,25.24,11.23,95.44,1006.6
2016-01-25,DUMB [AQ],32.51,1.52,0.06,1.75,6.26,26.5,9.57,86.97,998.84
2016-01-26,DUMB [AQ],35.2,1.25,0.05,1.47,1.64,9.15,8.37,92.77,987.55
2016-01-27,DUMB [AQ],36.82,1.65,0.09,1.9,1.93,11.39,4.31,92.05,990.1
2016-01-28,DUMB [AQ],39.58,1.11,0.04,1.31,2.15,17.43,5.94,88.69,998.78
