timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,ESK [AQ],32.65,1.61,0.03,1.66,4.44,17.73,1.25,86.66,985.13
2016-01-02,ESK [AQ],22.91,2.79,0.02,2.93,3.63,7.49,6.69,89.51,972.77
2016-01-03,ESK [AQ],30.76,1.88,0.01,1.94,2.09,3.28,6.14,92.13,959.85
2016-01-04,ESK [AQ],28.1,2.05,0.03,2.15,3.8,7.63,5.47,92.19,953.74
2016-01-05,ESK [AQ],21.39,2.5,0.0,2.63,1.59,3.68,4.64,96.11,959.22
2016-01-06,ESK [AQ],16.0,4.14,0.02,4.35,4.97,8.19,5.14,91.4,965.87
2016-01-07,ESK [AQ],27.14,2.34,0.03,2.43,4.5,12.69,3.72,88.14,956.28
2016-01-08,ESK [AQ],28.59,1.14,0.01,1.18,2.94,15.04,-0.25,97.11,964.64
2016-01-09,ESK [AQ],25.6,2.4,0.0,2.54,3.52,4.77,0.52,98.05,957.07
2016-01-10,ESK [AQ],27.22,1.4,0.0,1.45,2.25,4.65,2.27,91.85,944.89
2016-01-11,ESK [AQ],29.55,0.96,0.0,1.01,2.79,5.29,2.33,96.46,952.44
2016-01-12,ESK [AQ],24.49,1.61,0.01,1.73,3.46,9.18,2.32,91.32,967.2
2016-01-13,ESK [AQ],32.21,0.92,0.01,0.96,2.45,12.92,0.21,94.14,978.39
2016-01-14,ESK [AQ],35.48,0.92,0.02,0.98,2.08,11.63,-0.39,84.34,979.23
2016-01-15,ESK [AQ],35.91,0.94,0.02,0.96,2.8,20.45,-0.0,81.01,991.15
2016-01-16,ESK [AQ],33.84,0.99,0.06,1.02,2.65,9.22,-2.91,93.12,999.14
2016-01-17,ESK [AQ],29.06,2.13,0.01,2.23,5.06,7.69,-0.99,92.11,993.46
2016-01-18,ESK [AQ],19.02,3.08,0.18,3.2,14.98,19.93,0.6,97.61,984.88
2016-01-19,ESK [AQ],24.39,1.06,0.01,1.09,6.33,9.07,0.99,95.82,987.92
2016-01-20,ESK [AQ],22.99,1.73,0.01,1.82,9.01,12.76,0.65,97.47,990.31
2016-01-21,ESK [AQ],18.69,6.28,0.16,6.71,16.85,18.88,1.24,91.95,986.43
2016-01-22,ESK [AQ],30.51,1.59,0.01,1.64,3.45,18.18,6.59,92.4,978.83
2016-01-23,ESK [AQ],35.17,0.86,0.0,0.88,4.42,31.46,6.72,92.7,991.19
2016-01-24,ESK [AQ],33.94,0.63,0.0,0.66,4.09,26.02,9.24,99.32,988.32
2016-01-25,ESK [AQ],32.72,0.91,0.03,0.95,5.3,15.29,8.67,89.52,980.71
2016-01-26,ESK [AQ],36.74,0.43,0.0,0.45,1.49,10.89,7.56,92.67,970.22
2016-01-27,ESK [AQ],35.47,0.61,0.0,0.68,1.56,9.51,4.37,91.7,969.28
2016-01-28,ESK [AQ],39.78,0.44,0.0,0.46,1.94,17.08,4.58,90.19,980.54
2016-01-29,ESK [AQ],40.14,0.36,0.01,0.38,2.83,29.04,6.31,81.49,971.98
2016-01-30,ESK [AQ],39.01,0.24,0.0,0.26,2.07,25.05,0.67,86.98,970.82
2016-01-31,ESK [AQ],35.33,0.63,0.0,0.67,1.41,8.21,2.29,96.86,972.48
2016-02-01,ESK [AQ],41.04,0.4,0.01,0.43,3.34,37.39,6.96,81.46,970.79
2016-02-02,ESK [AQ],38.81,0.2,0.0,0.21,2.51,34.18,3.15,78.31,974.26
2016-02-03,ESK [AQ],28.91,0.5,0.0,0.55,1.84,15.03,1.99,89.48,987.95
2016-02-04,ESK [AQ],34.84,0.72,0.0,0.75,1.87,7.68,5.72,92.58,989.7
2016-02-05,ESK [AQ],38.24,0.53,0.0,0.55,2.12,11.45,6.0,94.77,977.31
2016-02-06,ESK [AQ],37.87,0.9,0.01,1.02,2.23,8.0,3.67,92.91,959.28
2016-02-07,ESK [AQ],36.57,0.36,0.0,0.38,2.44,23.74,3.57,89.29,948.7
2016-02-08,ESK [AQ],35.49,0.4,0.0,0.44,1.38,7.84,4.53,91.58,944.63
2016-02-09,ESK [AQ],31.21,0.92,0.0,0.97,2.32,14.29,2.73,93.18,952.21
2016-02-10,ESK [AQ],34.07,0.59,0.02,0.62,2.08,17.7,1.81,84.29,966.74
2016-02-11,ESK [AQ],32.16,0.59,0.01,0.63,2.3,12.16,0.25,86.47,972.26
2016-02-12,ESK [AQ],25.08,2.17,0.01,2.58,7.29,15.59,0.72,91.75,968.92
2016-02-13,ESK [AQ],30.69,0.64,0.01,0.76,5.21,13.85,0.96,94.95,965.12
2016-02-14,ESK [AQ],36.04,0.6,0.01,0.66,1.48,7.13,-0.08,82.42,976.64
2016-02-15,ESK [AQ],33.25,1.03,0.03,1.12,1.75,11.91,-0.84,72.31,999.58
2016-02-16,ESK [AQ],35.72,0.87,0.05,0.92,2.86,10.11,1.68,89.51,993.87
2016-02-17,ESK [AQ],37.51,0.6,0.01,0.63,2.05,10.29,2.34,94.06,981.85
2016-02-18,ESK [AQ],34.26,1.09,0.0,1.19,5.15,24.4,-0.65,94.28,982.43
2016-02-19,ESK [AQ],38.23,0.66,0.0,0.7,2.88,15.91,4.01,92.41,975.43
2016-02-20,ESK [AQ],43.7,0.28,0.0,0.31,2.38,23.11,3.88,86.65,970.29
2016-02-21,ESK [AQ],44.99,0.32,0.0,0.34,1.92,15.57,4.27,90.08,971.1
2016-02-22,ESK [AQ],35.61,0.7,0.01,0.74,3.31,29.13,2.85,82.38,976.94
2016-02-23,ESK [AQ],33.59,1.12,0.04,1.22,2.69,23.12,-0.05,79.59,988.87
2016-02-24,ESK [AQ],34.83,0.84,0.02,0.92,2.0,8.72,-1.66,84.64,988.93
