timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,MACK [AQ],31.66,1.53,0.08,1.65,3.59,16.41,6.6,87.76,1009.63
2016-01-02,MACK [AQ],33.91,1.46,0.06,1.59,3.1,14.09,10.32,89.31,993.67
2016-01-03,MACK [AQ],36.12,1.52,0.07,1.62,2.8,17.1,8.2,85.24,986.85
2016-01-04,MACK [AQ],32.67,1.55,0.07,1.67,2.96,20.45,8.8,80.64,978.82
2016-01-05,MACK [AQ],24.42,2.63,0.14,2.8,3.79,7.86,7.53,87.03,982.03
2016-01-06,MACK [AQ],17.24,3.98,0.36,4.51,9.05,13.7,7.16,89.1,991.34
2016-01-07,MACK [AQ],33.82,1.23,0.08,1.32,2.41,19.1,7.12,80.0,987.88
2016-01-08,MACK [AQ],29.61,1.83,0.1,1.94,3.26,20.04,6.05,86.58,995.5
2016-01-09,MACK [AQ],34.5,1.44,0.08,1.56,2.3,11.9,8.69,84.85,984.72
2016-01-10,MACK [AQ],29.49,1.71,0.1,1.83,2.93,15.65,6.08,77.87,982.14
2016-01-11,MACK [AQ],23.62,3.06,0.15,3.46,5.15,10.21,5.61,90.58,981.4
2016-01-12,MACK [AQ],29.82,1.24,0.06,1.34,3.57,33.33,6.07,74.42,1000.15
2016-01-13,MACK [AQ],33.72,1.85,0.12,1.98,2.94,18.74,4.54,78.06,1011.22
2016-01-14,MACK [AQ],32.3,2.1,0.17,2.29,3.54,12.35,3.58,77.1,1008.37
2016-01-15,MACK [AQ],33.37,1.97,0.18,2.07,3.28,20.78,3.12,80.1,1021.05
2016-01-16,MACK [AQ],17.88,3.65,0.37,4.02,6.75,18.01,1.02,91.74,1027.34
2016-01-17,MACK [AQ],24.31,2.96,0.18,3.19,8.64,17.64,4.46,93.48,1020.13
2016-01-18,MACK [AQ],27.31,2.46,0.14,2.6,6.97,12.51,4.25,87.16,1009.66
2016-01-19,MACK [AQ],16.06,5.91,0.42,6.37,22.38,26.09,-0.9,82.79,1014.4
2016-01-20,MACK [AQ],17.22,8.12,0.42,8.58,24.01,27.81,-1.39,83.98,1017.0
