timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,NWBV [AQ],20.88,10.79,0.47,12.59,9.92,25.67,3.2,93.74,1001.61
2016-01-02,NWBV [AQ],20.95,7.51,0.34,8.69,9.71,18.71,7.81,97.18,985.06
2016-01-03,NWBV [AQ],25.26,9.09,0.29,10.06,7.24,13.7,6.56,96.1,974.8
2016-01-04,NWBV [AQ],21.71,10.98,0.35,12.43,9.82,22.54,5.68,97.85,967.09
2016-01-05,NWBV [AQ],11.12,13.93,0.52,17.16,14.28,23.29,6.98,96.75,970.71
2016-01-06,NWBV [AQ],7.97,14.01,0.62,21.42,23.21,32.43,6.17,94.49,980.01
2016-01-07,NWBV [AQ],25.77,5.95,0.28,6.94,6.22,20.4,5.13,86.84,972.91
2016-01-08,NWBV [AQ],21.34,13.0,0.63,15.33,9.67,27.36,4.25,88.11,982.15
2016-01-09,NWBV [AQ],24.7,8.45,0.28,9.56,7.33,13.78,6.7,91.83,972.68
2016-01-10,NWBV [AQ],26.47,7.45,0.35,8.47,6.54,13.1,4.4,85.22,967.04
2016-01-11,NWBV [AQ],17.56,11.34,0.54,13.32,13.5,22.97,3.27,92.75,968.28
2016-01-12,NWBV [AQ],19.92,6.06,0.3,7.47,7.49,19.02,4.71,86.45,981.45
2016-01-13,NWBV [AQ],25.35,8.4,0.43,9.72,7.46,24.03,3.57,85.88,995.76
2016-01-14,NWBV [AQ],28.8,6.37,0.37,7.41,7.32,16.4,2.25,78.35,991.5
2016-01-15,NWBV [AQ],29.84,6.51,0.36,7.5,7.09,27.06,1.94,78.81,1005.7
2016-01-16,NWBV [AQ],20.29,14.42,1.2,17.06,13.54,30.58,1.18,80.36,1013.97
2016-01-17,NWBV [AQ],8.57,20.47,1.44,29.92,24.41,39.08,0.59,93.55,1010.08
2016-01-18,NWBV [AQ],13.27,14.53,0.84,20.01,21.66,35.83,2.16,89.76,1000.42
2016-01-19,NWBV [AQ],7.98,17.38,0.52,23.01,32.1,44.2,1.45,93.53,1002.45
2016-01-20,NWBV [AQ],2.62,20.63,1.62,49.71,40.18,56.62,2.42,88.29,1005.67
2016-01-21,NWBV [AQ],11.87,16.7,0.83,22.58,27.18,35.69,1.95,90.52,1004.86
2016-01-22,NWBV [AQ],24.58,9.27,0.39,10.96,10.42,29.22,6.85,89.11,999.9
2016-01-23,NWBV [AQ],22.44,10.34,0.25,11.84,13.75,46.84,6.84,92.35,1011.06
2016-01-24,NWBV [AQ],23.57,7.83,0.27,8.95,10.6,23.82,11.74,93.27,1008.48
2016-01-25,NWBV [AQ],25.59,6.94,0.34,8.1,9.15,23.64,10.45,82.32,1001.9
2016-01-26,NWBV [AQ],30.97,5.53,0.28,6.39,4.63,17.76,9.19,85.93,994.86
2016-01-27,NWBV [AQ],32.69,4.69,0.26,5.52,4.66,18.94,9.96,83.36,989.8
2016-01-28,NWBV [AQ],34.46,5.58,0.29,6.43,5.33,26.69,5.06,83.55,1003.96
2016-01-29,NWBV [AQ],37.38,4.67,0.22,5.41,4.49,24.54,10.04,81.03,995.48
2016-01-30,NWBV [AQ],35.43,3.53,0.21,4.22,4.61,37.75,4.66,73.43,991.97
2016-01-31,NWBV [AQ],30.22,5.91,0.26,6.97,5.9,27.49,6.69,92.25,991.29
2016-02-01,NWBV [AQ],35.28,4.14,0.2,4.94,6.17,50.52,10.91,69.8,994.72
2016-02-02,NWBV [AQ],36.4,3.83,0.23,4.6,4.82,39.3,5.64,69.89,996.81
2016-02-03,NWBV [AQ],27.0,5.02,0.31,6.18,5.68,27.31,3.94,79.81,1005.44
2016-02-04,NWBV [AQ],29.31,6.19,0.3,7.19,6.27,20.85,8.68,86.75,1007.68
2016-02-05,NWBV [AQ],31.9,6.08,0.27,7.19,5.82,15.51,9.02,82.97,998.63
2016-02-06,NWBV [AQ],34.55,5.29,0.24,6.12,3.97,8.37,7.62,93.21,978.29
2016-02-07,NWBV [AQ],32.42,4.72,0.25,5.6,4.68,29.49,5.48,85.44,971.75
2016-02-08,NWBV [AQ],34.47,3.83,0.21,4.79,4.32,27.01,6.18,82.85,965.83
2016-02-09,NWBV [AQ],32.53,4.78,0.25,5.78,5.48,42.1,3.9,77.95,970.9
2016-02-10,NWBV [AQ],25.3,6.61,0.36,7.99,7.46,24.13,4.45,77.65,981.95
2016-02-11,NWBV [AQ],15.74,13.38,0.66,16.84,14.39,27.72,3.16,79.17,988.23
2016-02-12,NWBV [AQ],16.79,8.6,0.3,10.92,15.09,28.79,2.61,90.17,982.23
2016-02-13,NWBV [AQ],20.78,6.04,0.4,7.55,17.11,32.68,2.53,85.74,975.85
2016-02-14,NWBV [AQ],28.27,5.03,0.33,6.02,8.6,20.77,2.18,79.25,986.72
2016-02-15,NWBV [AQ],25.54,8.35,0.55,9.71,7.15,25.21,1.93,77.21,1012.65
2016-02-16,NWBV [AQ],17.15,12.38,0.73,14.81,12.27,30.89,2.33,76.54,1016.16
2016-02-17,NWBV [AQ],26.45,9.45,0.44,11.09,8.14,14.77,3.57,90.96,999.62
2016-02-18,NWBV [AQ],26.05,10.7,0.66,12.21,12.37,32.03,3.05,82.45,999.4
2016-02-19,NWBV [AQ],26.56,9.44,0.42,11.12,10.51,29.86,4.58,87.75,997.06
2016-02-20,NWBV [AQ],34.53,4.18,0.21,5.08,4.08,19.53,8.37,83.86,990.66
2016-02-21,NWBV [AQ],34.61,4.31,0.2,5.17,5.17,32.72,11.35,85.84,989.79
2016-02-22,NWBV [AQ],35.87,5.74,0.28,6.75,6.7,30.3,5.38,76.63,994.17
2016-02-23,NWBV [AQ],22.39,8.33,0.53,10.01,9.34,35.22,3.88,72.07,1002.98
2016-02-24,NWBV [AQ],20.2,11.73,0.78,14.03,11.13,25.21,1.94,73.54,1003.52
2016-02-25,NWBV [AQ],20.94,12.63,0.76,15.02,13.62,23.28,2.74,68.4,1001.7
2016-02-26,NWBV [AQ],12.4,17.31,1.02,22.93,22.66,32.59,2.9,65.74,995.69
2016-02-27,NWBV [AQ],27.09,5.96,0.48,7.18,15.1,22.46,2.88,76.28,999.68
2016-02-28,NWBV [AQ],28.85,5.96,0.38,7.1,8.49,15.34,2.72,77.94,1009.65
2016-02-29,NWBV [AQ],23.65,10.97,0.48,14.35,9.35,18.0,2.68,83.16,1011.34
2016-03-01,NWBV [AQ],31.84,5.74,0.28,7.1,5.72,16.16,8.15,85.48,991.36
2016-03-02,NWBV [AQ],35.04,4.12,0.24,5.24,5.52,35.65,4.09,81.46,981.24
2016-03-03,NWBV [AQ],26.75,7.95,0.41,9.81,7.71,25.92,4.36,78.54,987.44
2016-03-04,NWBV [AQ],27.08,6.33,0.26,7.96,8.59,17.0,2.27,87.18,976.16
2016-03-05,NWBV [AQ],28.02,4.98,0.27,6.21,13.1,31.94,3.35,85.3,987.7
2016-03-06,NWBV [AQ],29.86,6.87,0.44,8.19,7.77,19.86,2.05,77.8,991.4
2016-03-07,NWBV [AQ],31.0,7.47,0.52,9.02,6.83,15.73,2.32,65.99,996.25
2016-03-08,NWBV [AQ],27.01,10.66,0.57,12.55,12.58,21.29,3.03,88.68,995.73
2016-03-09,NWBV [AQ],31.48,6.22,0.31,7.81,7.79,12.45,4.75,93.41,986.32
2016-03-10,NWBV [AQ],23.27,8.49,0.46,10.6,24.47,29.65,5.37,88.74,1006.62
2016-03-11,NWBV [AQ],16.89,11.09,0.44,16.45,46.35,50.5,4.56,84.33,1013.98
2016-03-12,NWBV [AQ],8.69,17.47,0.74,26.75,70.07,72.41,6.4,78.19,1015.92
2016-03-13,NWBV [AQ],16.18,9.66,0.38,15.15,50.83,51.75,5.07,85.11,1021.41
2016-03-14,NWBV [AQ],31.25,5.23,0.28,6.65,15.08,21.96,5.5,77.09,1021.1
2016-03-15,NWBV [AQ],24.68,6.8,0.29,8.92,15.49,23.26,5.72,89.49,1018.16
2016-03-16,NWBV [AQ],30.35,5.53,0.26,7.03,10.93,18.95,5.56,82.07,1018.27
2016-03-17,NWBV [AQ],23.58,10.15,0.55,12.46,19.92,27.38,4.24,81.41,1017.45
2016-03-18,NWBV [AQ],26.59,8.17,0.29,9.93,15.19,21.96,4.05,92.29,1013.94
2016-03-19,NWBV [AQ],35.72,4.96,0.31,6.06,9.4,20.99,5.68,79.9,1013.82
2016-03-20,NWBV [AQ],33.08,7.57,0.42,8.92,12.61,19.99,7.54,71.0,1011.6
2016-03-21,NWBV [AQ],28.87,8.56,0.36,10.22,18.1,23.7,6.01,76.79,1008.3
2016-03-22,NWBV [AQ],31.75,9.04,0.48,10.77,12.65,18.61,6.79,77.23,1003.8
2016-03-23,NWBV [AQ],22.83,11.65,0.7,14.08,25.9,31.39,6.68,73.98,1002.17
2016-03-24,NWBV [AQ],33.75,6.41,0.3,7.78,9.1,14.04,7.03,84.78,995.77
2016-03-25,NWBV [AQ],33.73,8.47,0.43,10.01,10.9,35.48,8.9,68.43,998.15
2016-03-26,NWBV [AQ],33.83,6.12,0.29,7.54,7.73,17.67,8.62,80.63,984.95
2016-03-27,NWBV [AQ],32.88,5.52,0.27,6.76,5.25,21.2,6.98,76.29,980.52
2016-03-28,NWBV [AQ],30.98,5.4,0.28,6.88,4.57,11.87,5.95,82.28,971.38
2016-03-29,NWBV [AQ],30.05,7.2,0.34,8.71,6.87,17.08,4.95,83.24,985.77
