timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,PLYR [AQ],35.1,3.21,0.3,3.68,6.27,27.15,8.32,89.14,1002.48
2016-01-02,PLYR [AQ],36.86,2.81,0.33,3.25,5.04,25.23,9.79,91.08,990.88
2016-01-03,PLYR [AQ],38.74,3.14,0.35,3.56,4.81,25.93,9.82,87.9,982.7
2016-01-04,PLYR [AQ],33.48,3.17,0.38,3.75,5.15,31.04,9.09,89.85,975.82
2016-01-05,PLYR [AQ],28.13,4.45,0.54,5.14,6.99,15.36,8.23,90.47,979.35
2016-01-06,PLYR [AQ],23.46,4.0,0.48,4.97,8.29,18.46,8.42,88.34,987.72
2016-01-07,PLYR [AQ],33.58,3.83,0.51,4.34,6.22,29.79,8.05,84.94,986.13
2016-01-08,PLYR [AQ],36.36,4.01,0.45,4.53,5.27,24.98,9.3,80.51,991.55
2016-01-09,PLYR [AQ],35.9,2.68,0.35,3.12,4.11,17.23,8.96,88.66,980.42
2016-01-10,PLYR [AQ],34.08,3.73,0.51,4.27,5.81,23.65,7.28,82.09,978.68
2016-01-11,PLYR [AQ],28.92,5.26,0.73,6.09,7.42,15.68,6.78,89.0,979.02
2016-01-12,PLYR [AQ],34.5,2.09,0.33,2.55,5.43,37.9,6.38,72.99,1000.16
2016-01-13,PLYR [AQ],32.37,5.91,0.83,7.07,9.68,28.26,5.23,83.07,1008.46
2016-01-14,PLYR [AQ],32.76,3.28,0.53,3.86,6.83,22.0,4.7,81.03,1006.76
2016-01-15,PLYR [AQ],35.42,2.37,0.36,2.87,5.07,24.44,4.12,75.41,1019.52
2016-01-16,PLYR [AQ],23.8,7.21,0.97,8.08,12.98,31.83,4.48,83.32,1024.03
2016-01-17,PLYR [AQ],29.37,4.73,0.48,5.3,7.6,15.89,7.04,90.51,1015.13
2016-01-18,PLYR [AQ],28.88,3.09,0.32,3.77,4.4,10.2,6.12,93.96,1003.11
2016-01-19,PLYR [AQ],29.22,4.73,0.53,5.46,12.7,18.65,3.73,84.29,1009.37
2016-01-20,PLYR [AQ],31.17,4.29,0.53,4.96,13.38,17.56,3.1,83.93,1011.5
2016-01-21,PLYR [AQ],26.76,3.12,0.34,3.77,8.56,17.96,8.72,94.91,1010.58
2016-01-22,PLYR [AQ],31.08,4.38,0.54,5.02,7.51,36.83,10.67,92.68,1010.78
2016-01-23,PLYR [AQ],31.7,3.95,0.49,4.43,7.86,37.51,10.13,96.22,1020.97
2016-01-24,PLYR [AQ],30.27,3.82,0.5,4.41,9.2,27.43,11.95,96.56,1018.89
2016-01-25,PLYR [AQ],32.07,3.43,0.45,3.97,7.7,35.12,10.78,88.71,1013.73
2016-01-26,PLYR [AQ],37.34,2.43,0.33,2.89,5.24,37.47,10.61,92.06,1009.48
2016-01-27,PLYR [AQ],36.36,2.93,0.43,3.48,5.83,33.7,10.03,90.81,1005.39
2016-01-28,PLYR [AQ],34.4,5.99,0.83,6.72,10.12,38.1,7.15,85.09,1019.12
2016-01-29,PLYR [AQ],41.77,2.72,0.33,3.2,6.48,52.84,10.34,97.38,1013.98
2016-01-30,PLYR [AQ],40.12,2.91,0.42,3.34,5.71,30.49,7.4,86.42,1007.5
2016-01-31,PLYR [AQ],35.06,3.7,0.45,4.19,7.66,47.52,10.89,93.1,1007.08
2016-02-01,PLYR [AQ],36.01,3.24,0.41,3.81,7.82,56.36,10.83,91.9,1013.91
2016-02-02,PLYR [AQ],37.06,3.0,0.42,3.52,6.26,42.21,7.97,81.41,1013.27
2016-02-03,PLYR [AQ],35.34,2.84,0.43,3.35,5.82,34.47,6.43,76.08,1021.85
2016-02-04,PLYR [AQ],33.87,4.13,0.5,4.82,7.52,29.19,10.1,96.12,1023.18
2016-02-05,PLYR [AQ],37.88,3.3,0.4,3.86,5.35,18.63,9.94,94.43,1011.07
2016-02-06,PLYR [AQ],39.9,2.51,0.33,2.95,4.24,19.92,9.22,94.65,987.64
2016-02-07,PLYR [AQ],37.81,2.32,0.32,2.79,5.6,46.27,7.65,87.05,987.11
2016-02-08,PLYR [AQ],41.35,2.3,0.31,2.81,6.27,61.4,7.72,76.91,987.09
2016-02-09,PLYR [AQ],38.42,3.06,0.43,3.65,6.12,39.76,5.7,80.29,985.9
2016-02-10,PLYR [AQ],30.2,5.16,0.78,5.92,9.48,31.05,5.28,84.46,995.32
2016-02-11,PLYR [AQ],26.72,5.49,0.66,6.43,8.55,25.1,5.06,88.0,997.05
2016-02-12,PLYR [AQ],34.55,4.16,0.36,4.91,6.02,14.58,6.72,90.6,985.55
2016-02-13,PLYR [AQ],30.69,3.82,0.29,4.53,9.33,14.76,5.63,91.68,977.91
2016-02-14,PLYR [AQ],24.5,4.27,0.3,5.17,15.75,26.61,4.18,81.41,992.31
2016-02-15,PLYR [AQ],32.22,3.66,0.4,4.36,5.97,17.22,2.96,69.36,1022.24
2016-02-16,PLYR [AQ],33.0,4.43,0.54,5.1,7.63,19.76,4.7,76.85,1025.76
2016-02-17,PLYR [AQ],40.36,2.9,0.39,3.54,4.81,16.21,6.66,90.15,1008.25
2016-02-18,PLYR [AQ],33.93,4.68,0.66,5.42,9.53,29.25,3.9,88.0,1010.75
2016-02-19,PLYR [AQ],32.78,5.66,0.65,6.41,9.01,34.58,6.67,95.23,1009.69
2016-02-20,PLYR [AQ],38.84,2.65,0.35,3.19,6.89,49.22,10.35,94.87,1009.03
2016-02-21,PLYR [AQ],38.31,3.18,0.37,3.75,7.89,52.8,10.78,95.93,1009.22
2016-02-22,PLYR [AQ],37.7,3.68,0.49,4.31,6.88,29.2,7.99,90.15,1006.08
2016-02-23,PLYR [AQ],28.26,4.24,0.55,5.15,8.96,29.61,5.52,79.58,1012.55
2016-02-24,PLYR [AQ],27.49,4.5,0.52,5.46,11.95,29.92,4.95,69.91,1010.86
2016-02-25,PLYR [AQ],26.49,7.14,0.91,8.34,12.7,23.23,4.12,77.64,1011.35
2016-02-26,PLYR [AQ],31.9,3.93,0.38,4.74,10.84,20.06,5.78,76.96,999.18
2016-02-27,PLYR [AQ],28.76,4.11,0.42,5.1,20.6,27.24,5.24,60.22,1002.82
2016-02-28,PLYR [AQ],34.36,3.03,0.29,3.63,11.11,17.14,4.79,65.4,1014.97
2016-02-29,PLYR [AQ],26.69,6.68,0.74,8.61,12.47,23.95,4.75,79.11,1020.58
2016-03-01,PLYR [AQ],37.84,3.23,0.42,3.96,6.67,31.45,9.68,91.84,1007.58
2016-03-02,PLYR [AQ],40.24,2.13,0.33,2.73,6.29,48.83,7.07,74.93,1001.08
2016-03-03,PLYR [AQ],38.21,2.98,0.39,3.68,6.09,31.92,7.46,82.56,1000.1
2016-03-04,PLYR [AQ],38.76,3.14,0.36,3.85,7.82,35.65,4.68,81.5,987.23
2016-03-05,PLYR [AQ],32.26,2.17,0.28,2.83,8.38,25.91,5.9,71.66,997.61
2016-03-06,PLYR [AQ],35.41,2.81,0.38,3.44,6.05,16.93,4.62,77.39,1002.34
2016-03-07,PLYR [AQ],33.23,3.73,0.49,4.59,8.29,14.72,4.88,77.8,1006.83
2016-03-08,PLYR [AQ],34.77,5.83,0.81,6.77,10.6,24.86,7.1,95.7,1006.15
2016-03-09,PLYR [AQ],44.0,2.16,0.29,2.71,4.78,26.47,6.85,75.42,995.2
2016-03-10,PLYR [AQ],38.38,3.34,0.43,4.06,7.9,28.94,7.29,75.24,1015.41
2016-03-11,PLYR [AQ],19.66,10.05,1.18,12.45,32.59,47.32,6.07,87.19,1021.99
2016-03-12,PLYR [AQ],20.67,9.87,0.94,12.41,39.55,50.91,6.84,87.14,1024.19
2016-03-13,PLYR [AQ],26.24,5.49,0.56,6.83,42.01,44.64,7.21,77.7,1026.45
2016-03-14,PLYR [AQ],31.37,5.05,0.36,6.06,20.89,29.3,6.49,71.78,1023.39
2016-03-15,PLYR [AQ],29.4,5.41,0.52,6.7,25.3,34.49,8.04,71.33,1022.28
2016-03-16,PLYR [AQ],28.84,4.14,0.34,5.3,14.55,21.09,8.47,70.04,1022.11
2016-03-17,PLYR [AQ],29.9,5.39,0.63,6.52,28.79,34.1,6.73,66.77,1022.55
2016-03-18,PLYR [AQ],27.06,6.05,0.54,7.35,27.22,31.84,6.14,77.32,1020.03
2016-03-19,PLYR [AQ],35.31,3.42,0.28,4.19,11.01,20.22,6.69,74.81,1019.28
2016-03-20,PLYR [AQ],35.8,3.79,0.34,4.59,11.63,21.16,5.81,72.82,1019.16
2016-03-21,PLYR [AQ],32.83,4.61,0.52,5.75,17.43,24.5,6.73,77.24,1017.83
2016-03-22,PLYR [AQ],29.63,6.32,0.56,8.0,29.69,35.74,5.97,85.15,1012.2
2016-03-23,PLYR [AQ],33.7,4.43,0.57,5.87,22.61,28.1,5.99,79.25,1011.94
2016-03-24,PLYR [AQ],39.52,3.79,0.45,4.59,7.13,13.91,8.49,93.35,1008.03
2016-03-25,PLYR [AQ],40.74,3.51,0.42,4.49,7.87,26.05,9.12,84.89,1009.02
2016-03-26,PLYR [AQ],39.94,2.58,0.33,3.24,5.65,25.04,9.43,92.15,995.23
2016-03-27,PLYR [AQ],37.95,2.38,0.31,3.03,4.34,24.64,8.5,86.38,988.93
2016-03-28,PLYR [AQ],35.52,2.88,0.38,3.81,5.01,17.65,7.5,85.46,986.37
2016-03-29,PLYR [AQ],40.93,3.05,0.41,3.79,5.74,31.82,7.57,80.32,997.72
2016-03-30,PLYR [AQ],31.86,3.34,0.5,4.33,6.07,19.38,8.19,74.87,1003.66
2016-03-31,PLYR [AQ],33.87,3.19,0.44,4.04,6.65,16.32,7.22,75.54,1011.45
2016-04-01,PLYR [AQ],34.25,3.79,0.44,4.62,6.33,19.47,7.95,84.98,1011.22
2016-04-02,PLYR [AQ],38.48,3.09,0.37,3.77,9.41,20.15,9.58,83.39,1003.02
2016-04-03,PLYR [AQ],39.94,4.03,0.44,4.73,14.71,21.07,8.68,92.76,996.51
2016-04-04,PLYR [AQ],36.76,4.43,0.38,5.51,9.27,16.39,9.08,90.99,994.65
2016-04-05,PLYR [AQ],37.58,3.8,0.46,4.93,9.95,17.49,9.58,84.01,1004.19
2016-04-06,PLYR [AQ],45.42,2.86,0.39,3.49,6.61,39.3,8.75,77.85,1005.62
2016-04-07,PLYR [AQ],39.52,2.29,0.35,3.03,7.18,51.16,8.07,77.7,1008.18
2016-04-08,PLYR [AQ],37.72,3.01,0.37,3.92,6.84,23.37,8.73,83.97,1006.38
2016-04-09,PLYR [AQ],44.57,3.33,0.43,4.09,6.56,32.18,6.38,79.8,997.53
2016-04-10,PLYR [AQ],47.57,2.52,0.27,3.06,6.63,31.28,9.02,77.45,993.65
2016-04-11,PLYR [AQ],40.5,6.2,0.62,7.13,10.96,20.15,9.43,83.99,999.13
2016-04-12,PLYR [AQ],34.86,5.57,0.6,6.59,11.58,19.01,8.93,85.52,1000.48
2016-04-13,PLYR [AQ],34.64,5.34,0.5,6.47,10.31,18.24,10.27,80.13,1002.21
2016-04-14,PLYR [AQ],38.58,4.03,0.35,4.88,9.0,14.32,9.88,90.4,1000.75
2016-04-15,PLYR [AQ],38.96,3.23,0.34,4.14,8.81,18.08,10.19,84.7,994.64
2016-04-16,PLYR [AQ],37.05,2.27,0.3,2.94,6.01,23.89,6.9,67.58,1001.0
2016-04-17,PLYR [AQ],38.48,2.84,0.38,3.5,5.74,21.53,6.69,65.65,1011.81
2016-04-18,PLYR [AQ],37.85,4.63,0.62,5.75,8.12,17.6,7.06,78.2,1018.7
2016-04-19,PLYR [AQ],40.16,3.59,0.39,4.45,8.75,15.66,9.68,70.54,1021.25
2016-04-20,PLYR [AQ],38.81,3.62,0.41,4.51,8.06,25.57,10.77,63.51,1018.66
2016-04-21,PLYR [AQ],34.94,5.41,0.69,6.65,18.76,32.67,11.14,67.24,1013.96
2016-04-22,PLYR [AQ],35.87,4.92,0.33,6.22,15.37,19.46,8.38,91.78,1013.23
2016-04-23,PLYR [AQ],38.25,2.89,0.26,3.61,7.07,16.51,8.98,67.72,1015.89
2016-04-24,PLYR [AQ],40.29,2.31,0.28,2.91,5.29,12.35,8.4,68.64,1016.79
2016-04-25,PLYR [AQ],41.55,2.54,0.28,3.3,5.96,16.13,8.86,75.9,1008.62
2016-04-26,PLYR [AQ],40.38,2.07,0.25,2.81,5.06,28.85,6.51,66.45,1007.01
2016-04-27,PLYR [AQ],35.97,2.33,0.29,3.16,5.35,23.36,6.08,70.06,1009.19
2016-04-28,PLYR [AQ],37.09,2.85,0.35,3.76,5.58,18.29,6.98,80.97,1008.87
2016-04-29,PLYR [AQ],37.78,2.55,0.29,3.41,5.02,20.02,7.43,70.36,1008.04
2016-04-30,PLYR [AQ],38.27,2.9,0.34,3.55,5.83,13.67,7.7,68.82,1018.15
2016-05-01,PLYR [AQ],36.33,4.16,0.4,4.9,6.25,15.05,8.72,92.97,1021.27
2016-05-02,PLYR [AQ],37.16,2.74,0.33,3.63,6.39,29.26,10.1,89.93,1016.5
2016-05-03,PLYR [AQ],37.78,3.58,0.42,4.59,6.45,27.52,9.1,80.34,1021.64
2016-05-04,PLYR [AQ],39.01,3.94,0.34,4.81,7.03,22.11,10.34,74.78,1018.88
2016-05-05,PLYR [AQ],44.06,4.46,0.41,5.45,12.71,21.74,13.04,61.16,1011.28
