timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,SOM [AQ],32.35,1.75,0.09,1.92,3.7,16.87,6.6,87.76,1009.63
2016-01-02,SOM [AQ],34.53,1.56,0.07,1.73,3.18,14.14,10.32,89.31,993.67
2016-01-03,SOM [AQ],36.9,1.31,0.08,1.44,2.89,17.29,8.2,85.24,986.85
2016-01-04,SOM [AQ],33.26,1.4,0.08,1.57,3.06,19.68,8.8,80.64,978.82
2016-01-05,SOM [AQ],24.56,2.63,0.15,2.83,3.98,8.11,7.53,87.03,982.03
2016-01-06,SOM [AQ],16.61,4.42,0.41,5.11,8.57,13.68,7.16,89.1,991.34
2016-01-07,SOM [AQ],33.89,1.28,0.08,1.42,2.49,19.35,7.12,80.0,987.88
2016-01-08,SOM [AQ],31.63,1.44,0.11,1.58,3.29,20.24,6.05,86.58,995.5
2016-01-09,SOM [AQ],36.02,1.09,0.08,1.22,2.29,11.94,8.69,84.85,984.72
2016-01-10,SOM [AQ],29.64,1.47,0.11,1.62,3.04,15.61,6.08,77.87,982.14
2016-01-11,SOM [AQ],25.46,3.17,0.17,3.57,4.89,10.09,5.61,90.58,981.4
2016-01-12,SOM [AQ],30.82,1.06,0.07,1.22,3.66,34.07,6.07,74.42,1000.15
2016-01-13,SOM [AQ],34.83,1.58,0.13,1.73,3.05,18.78,4.54,78.06,1011.22
2016-01-14,SOM [AQ],31.85,2.45,0.16,2.68,3.68,12.96,3.58,77.1,1008.37
2016-01-15,SOM [AQ],34.46,2.43,0.13,2.59,3.22,21.39,3.12,80.1,1021.05
2016-01-16,SOM [AQ],18.14,4.23,0.43,4.79,7.18,18.64,1.02,91.74,1027.34
2016-01-17,SOM [AQ],27.04,2.93,0.18,3.19,8.13,17.29,4.46,93.48,1020.13
2016-01-18,SOM [AQ],27.89,2.71,0.16,2.93,7.04,12.6,4.25,87.16,1009.66
2016-01-19,SOM [AQ],16.35,5.66,0.42,6.21,22.43,26.44,-0.9,82.79,1014.4
2016-01-20,SOM [AQ],18.95,7.83,0.47,8.33,24.31,28.08,-1.39,83.98,1017.0
2016-01-21,SOM [AQ],27.12,2.19,0.1,2.44,9.78,15.9,5.88,88.59,1016.16
2016-01-22,SOM [AQ],31.08,1.77,0.1,1.95,4.63,26.63,9.47,86.87,1014.24
2016-01-23,SOM [AQ],31.27,1.51,0.09,1.68,5.52,34.92,8.58,90.59,1025.23
2016-01-24,SOM [AQ],31.05,1.67,0.1,1.84,7.1,22.12,12.47,92.76,1022.94
2016-01-25,SOM [AQ],31.41,1.62,0.11,1.8,5.57,24.52,10.47,79.06,1017.3
2016-01-26,SOM [AQ],36.96,0.96,0.08,1.09,3.17,25.0,10.39,85.77,1012.52
