timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,SWAN [AQ],34.35,4.92,0.28,5.47,4.74,24.04,8.05,86.82,1004.9
2016-01-02,SWAN [AQ],31.24,4.94,0.26,5.44,4.7,16.25,10.02,90.86,991.1
2016-01-03,SWAN [AQ],41.23,1.32,0.13,1.57,2.94,20.49,9.12,86.48,982.03
2016-01-04,SWAN [AQ],37.66,1.91,0.17,2.25,2.89,12.21,9.1,89.62,973.81
2016-01-05,SWAN [AQ],28.48,3.76,0.31,4.29,6.14,9.7,7.97,87.45,978.86
2016-01-06,SWAN [AQ],18.45,4.5,0.3,5.2,7.63,15.13,7.55,87.76,988.21
2016-01-07,SWAN [AQ],37.48,1.67,0.16,1.99,2.97,24.34,7.83,79.96,984.78
2016-01-08,SWAN [AQ],39.4,1.49,0.16,1.78,2.96,19.96,8.9,81.02,991.17
2016-01-09,SWAN [AQ],37.45,1.31,0.14,1.6,2.32,10.58,8.83,85.24,979.58
2016-01-10,SWAN [AQ],36.6,1.38,0.16,1.68,2.76,11.14,6.66,82.53,977.68
2016-01-11,SWAN [AQ],27.06,5.71,0.62,6.58,6.82,15.39,6.64,85.81,978.97
2016-01-12,SWAN [AQ],32.22,1.66,0.18,2.04,4.27,36.23,6.0,76.06,998.44
2016-01-13,SWAN [AQ],38.59,1.85,0.23,2.16,3.34,16.51,5.48,80.64,1007.44
2016-01-14,SWAN [AQ],35.29,2.23,0.24,2.62,4.41,16.37,4.38,75.85,1006.47
2016-01-15,SWAN [AQ],36.13,1.98,0.21,2.34,3.76,24.21,4.29,76.27,1019.42
2016-01-16,SWAN [AQ],24.41,5.12,0.64,5.83,8.44,23.27,4.66,87.59,1024.77
2016-01-17,SWAN [AQ],29.93,5.18,0.4,5.64,7.08,15.47,6.25,96.58,1016.45
2016-01-18,SWAN [AQ],24.83,7.03,0.56,7.9,8.01,16.28,5.63,90.66,1006.11
2016-01-19,SWAN [AQ],11.58,14.99,2.24,17.83,25.95,36.34,4.03,69.46,1011.69
2016-01-20,SWAN [AQ],14.25,15.62,1.5,18.05,26.46,34.69,3.39,73.15,1013.78
2016-01-21,SWAN [AQ],26.24,4.71,0.29,5.3,8.96,19.02,6.51,92.28,1011.43
2016-01-22,SWAN [AQ],33.43,1.98,0.18,2.33,5.21,40.38,9.51,93.1,1010.05
2016-01-23,SWAN [AQ],36.21,1.73,0.18,2.04,5.32,34.94,9.58,91.9,1020.77
2016-01-24,SWAN [AQ],33.16,2.52,0.24,2.86,6.46,22.18,10.84,95.3,1018.7
2016-01-25,SWAN [AQ],33.33,2.0,0.22,2.33,5.82,33.73,10.37,86.02,1012.61
2016-01-26,SWAN [AQ],38.79,1.17,0.15,1.46,3.58,35.82,9.8,93.21,1006.03
2016-01-27,SWAN [AQ],38.78,1.58,0.19,1.9,4.18,38.94,9.23,88.96,1003.34
2016-01-28,SWAN [AQ],42.48,1.35,0.15,1.63,3.87,36.45,8.47,81.29,1016.85
2016-01-29,SWAN [AQ],43.42,1.26,0.14,1.53,5.42,57.7,9.98,96.42,1009.98
2016-01-30,SWAN [AQ],41.14,1.36,0.14,1.65,3.66,34.65,6.76,71.7,1006.34
2016-01-31,SWAN [AQ],40.12,1.28,0.13,1.56,4.44,42.87,9.99,93.1,1004.75
2016-02-01,SWAN [AQ],39.75,1.26,0.15,1.55,5.94,64.18,10.15,88.74,1010.72
2016-02-02,SWAN [AQ],40.18,1.43,0.15,1.75,3.85,37.64,7.51,73.92,1011.72
2016-02-03,SWAN [AQ],36.03,1.71,0.19,2.09,3.86,32.94,7.0,71.21,1020.44
2016-02-04,SWAN [AQ],37.09,2.02,0.18,2.42,4.47,24.62,9.7,96.64,1021.78
2016-02-05,SWAN [AQ],40.31,1.31,0.15,1.62,3.38,19.3,9.28,90.8,1009.8
2016-02-06,SWAN [AQ],40.79,1.15,0.13,1.43,2.38,16.39,8.23,89.67,986.6
2016-02-07,SWAN [AQ],39.25,1.01,0.12,1.29,4.03,39.29,7.49,86.9,983.24
2016-02-08,SWAN [AQ],39.17,1.04,0.12,1.38,5.14,68.77,8.1,76.52,981.26
2016-02-09,SWAN [AQ],41.46,1.39,0.14,1.74,3.79,34.11,5.68,75.64,984.47
2016-02-10,SWAN [AQ],29.69,3.7,0.41,4.27,6.19,25.6,6.02,79.6,994.9
2016-02-11,SWAN [AQ],28.93,3.71,0.35,4.33,6.48,21.32,5.06,90.03,997.53
2016-02-12,SWAN [AQ],24.04,7.27,0.63,8.41,10.15,21.26,6.27,85.51,987.98
2016-02-13,SWAN [AQ],24.29,6.1,0.39,6.96,15.78,27.65,5.16,82.32,981.24
2016-02-14,SWAN [AQ],28.39,3.67,0.26,4.3,11.69,24.02,4.78,69.15,995.4
2016-02-15,SWAN [AQ],32.87,3.72,0.42,4.19,5.04,17.04,3.47,62.83,1024.1
2016-02-16,SWAN [AQ],35.3,3.42,0.46,3.81,5.62,18.32,6.2,70.51,1025.84
2016-02-17,SWAN [AQ],40.95,2.12,0.25,2.54,3.59,12.99,6.37,88.44,1008.87
2016-02-18,SWAN [AQ],36.31,3.21,0.32,3.71,6.28,27.3,4.78,79.54,1011.11
2016-02-19,SWAN [AQ],41.03,1.35,0.14,1.68,3.68,30.04,7.47,89.61,1008.28
2016-02-20,SWAN [AQ],40.66,1.2,0.13,1.48,5.07,51.01,9.35,96.68,1006.11
2016-02-21,SWAN [AQ],41.01,1.2,0.14,1.49,6.45,67.24,9.41,99.75,1006.38
2016-02-22,SWAN [AQ],41.78,2.44,0.26,2.84,4.41,25.11,6.93,80.4,1006.56
2016-02-23,SWAN [AQ],29.82,3.12,0.35,3.75,6.46,27.75,6.06,73.59,1013.79
2016-02-24,SWAN [AQ],31.96,3.44,0.41,4.06,5.02,18.84,4.85,64.83,1013.7
2016-02-25,SWAN [AQ],30.39,3.23,0.37,3.88,6.89,14.08,4.85,73.37,1012.46
2016-02-26,SWAN [AQ],28.21,7.32,0.69,8.83,12.79,20.62,5.89,71.96,1001.85
2016-02-27,SWAN [AQ],27.16,4.9,0.49,5.85,20.16,26.68,5.51,61.09,1006.6
2016-02-28,SWAN [AQ],33.64,4.13,0.3,4.77,8.46,13.98,4.93,66.77,1018.27
2016-02-29,SWAN [AQ],30.95,5.11,0.52,6.14,9.07,16.94,4.38,82.82,1021.27
2016-03-01,SWAN [AQ],40.29,1.55,0.17,1.95,4.55,32.29,8.78,93.99,1005.02
2016-03-02,SWAN [AQ],40.32,1.57,0.17,2.01,4.8,46.02,6.65,73.77,998.2
2016-03-03,SWAN [AQ],38.41,1.82,0.19,2.31,4.18,28.72,6.88,81.01,999.54
2016-03-04,SWAN [AQ],37.06,2.77,0.22,3.38,6.7,30.26,4.27,81.15,987.72
2016-03-05,SWAN [AQ],32.52,2.14,0.23,2.68,7.74,23.46,5.7,71.4,999.35
2016-03-06,SWAN [AQ],36.27,2.42,0.25,2.9,4.8,14.87,4.54,73.23,1003.15
2016-03-07,SWAN [AQ],34.77,3.19,0.41,3.76,5.89,10.39,4.24,83.1,1008.04
2016-03-08,SWAN [AQ],34.24,5.3,0.59,5.75,8.31,21.74,6.31,93.7,1006.06
2016-03-09,SWAN [AQ],43.64,2.25,0.26,2.69,4.48,23.56,6.12,77.45,996.82
2016-03-10,SWAN [AQ],35.94,5.0,0.56,6.08,8.89,27.98,7.02,75.6,1016.95
2016-03-11,SWAN [AQ],14.42,12.78,1.09,16.65,48.32,54.03,6.46,76.9,1023.39
2016-03-12,SWAN [AQ],15.77,13.88,1.57,18.11,49.54,57.4,7.25,84.41,1025.55
2016-03-13,SWAN [AQ],20.83,10.28,1.2,12.62,50.88,53.63,8.94,77.43,1028.82
2016-03-14,SWAN [AQ],33.07,5.03,0.45,6.04,15.0,21.47,7.72,62.78,1026.77
2016-03-15,SWAN [AQ],29.47,6.58,0.54,7.84,16.39,24.1,7.4,72.97,1025.5
2016-03-16,SWAN [AQ],31.32,5.62,0.45,6.9,11.52,18.78,8.55,70.31,1024.99
2016-03-17,SWAN [AQ],26.97,7.93,0.8,9.74,24.98,30.37,7.0,69.08,1025.52
2016-03-18,SWAN [AQ],16.68,11.5,1.15,15.1,43.03,47.72,5.98,78.6,1022.64
2016-03-19,SWAN [AQ],31.77,6.7,0.45,7.96,14.58,24.25,6.96,72.44,1022.3
2016-03-20,SWAN [AQ],26.73,8.17,0.71,9.55,23.4,33.8,6.12,75.07,1021.63
2016-03-21,SWAN [AQ],25.83,9.15,0.86,10.29,24.63,31.27,6.97,77.91,1019.31
2016-03-22,SWAN [AQ],30.28,6.43,0.78,7.75,19.2,24.48,7.55,72.97,1013.94
2016-03-23,SWAN [AQ],35.72,3.32,0.27,4.04,19.41,22.41,8.01,73.27,1012.8
2016-03-24,SWAN [AQ],40.9,1.9,0.19,2.37,4.62,12.54,8.23,96.38,1006.98
2016-03-25,SWAN [AQ],38.92,3.4,0.35,4.37,8.59,29.03,8.53,84.89,1009.47
2016-03-26,SWAN [AQ],42.46,1.3,0.14,1.69,4.48,24.83,9.08,87.77,993.77
2016-03-27,SWAN [AQ],38.58,1.49,0.17,1.9,3.94,36.06,7.76,86.72,988.35
2016-03-28,SWAN [AQ],35.0,1.84,0.16,2.41,3.44,13.71,7.11,83.26,984.4
2016-03-29,SWAN [AQ],40.9,1.39,0.16,1.84,3.73,22.6,6.7,83.52,996.52
2016-03-30,SWAN [AQ],34.01,2.88,0.32,3.69,4.67,14.59,7.7,79.15,1003.85
2016-03-31,SWAN [AQ],31.23,4.13,0.46,5.1,8.03,18.97,7.3,80.11,1012.55
2016-04-01,SWAN [AQ],38.42,1.73,0.2,2.18,4.67,16.26,8.02,84.19,1011.09
2016-04-02,SWAN [AQ],39.81,1.8,0.23,2.22,6.18,12.4,8.86,84.51,1004.12
2016-04-03,SWAN [AQ],34.5,8.99,0.65,10.38,23.78,29.03,8.44,89.29,998.18
2016-04-04,SWAN [AQ],28.9,10.64,0.99,14.06,22.46,30.88,9.41,88.58,996.53
2016-04-05,SWAN [AQ],39.04,2.32,0.17,2.99,9.04,14.42,9.01,87.66,1004.25
2016-04-06,SWAN [AQ],46.85,1.67,0.18,2.11,4.98,41.06,8.33,77.42,1003.67
2016-04-07,SWAN [AQ],38.66,2.29,0.24,2.92,5.81,40.83,8.25,74.72,1007.44
2016-04-08,SWAN [AQ],36.41,2.2,0.19,2.89,5.88,20.65,8.34,84.54,1006.42
2016-04-09,SWAN [AQ],43.87,2.19,0.26,2.69,4.99,25.11,6.3,76.12,997.82
2016-04-10,SWAN [AQ],45.22,5.4,0.54,6.32,7.5,30.32,8.48,73.7,997.39
2016-04-11,SWAN [AQ],31.91,7.5,0.56,10.15,21.73,28.87,9.47,87.95,1000.77
2016-04-12,SWAN [AQ],29.54,10.13,0.89,11.67,19.86,26.65,8.66,82.01,1001.8
2016-04-13,SWAN [AQ],21.29,16.32,2.22,20.61,22.07,33.73,9.44,80.86,1003.69
2016-04-14,SWAN [AQ],24.96,15.04,2.24,18.2,21.03,29.33,10.4,83.25,1003.05
2016-04-15,SWAN [AQ],33.64,5.65,0.61,7.31,10.92,16.49,9.22,79.46,996.95
