timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,THUR [AQ],21.15,12.53,0.71,14.82,9.84,28.87,5.58,90.99,1016.6
2016-01-02,THUR [AQ],26.13,6.92,0.33,8.18,6.53,17.52,10.0,94.6,998.53
2016-01-03,THUR [AQ],31.05,7.25,0.32,8.37,4.48,17.22,7.42,93.93,991.24
2016-01-04,THUR [AQ],27.56,8.6,0.43,10.02,5.26,15.31,7.9,93.61,982.75
2016-01-05,THUR [AQ],14.53,15.62,0.83,20.83,9.15,17.6,7.53,96.85,984.79
2016-01-06,THUR [AQ],6.54,20.3,0.95,32.01,21.42,31.58,6.43,99.69,993.77
2016-01-07,THUR [AQ],24.41,9.41,0.48,11.07,5.73,18.91,7.38,85.96,988.58
2016-01-08,THUR [AQ],26.99,7.87,0.4,9.23,5.87,25.65,6.66,86.43,998.96
2016-01-09,THUR [AQ],31.12,5.74,0.3,6.86,4.83,16.03,8.75,94.17,990.28
2016-01-10,THUR [AQ],29.02,7.37,0.4,8.68,4.28,19.04,6.13,87.29,985.08
2016-01-11,THUR [AQ],20.97,13.5,0.49,16.26,7.81,14.01,6.55,92.85,982.47
2016-01-12,THUR [AQ],17.84,10.15,0.42,12.33,8.58,25.84,6.01,85.12,997.0
2016-01-13,THUR [AQ],22.83,10.98,0.58,13.12,6.9,25.59,5.17,81.11,1012.28
2016-01-14,THUR [AQ],24.62,10.28,0.43,12.22,7.32,16.3,4.05,80.18,1005.7
2016-01-15,THUR [AQ],23.63,11.94,0.53,13.7,9.37,28.09,3.49,77.91,1019.02
2016-01-16,THUR [AQ],14.76,17.72,0.99,23.41,16.21,35.55,2.19,86.17,1027.66
2016-01-17,THUR [AQ],8.58,20.35,2.17,54.26,28.0,45.28,2.78,86.17,1024.92
2016-01-18,THUR [AQ],18.66,10.97,0.82,13.19,14.53,24.05,2.02,82.3,1014.92
2016-01-19,THUR [AQ],2.08,18.51,2.03,42.25,33.42,43.87,-1.62,83.21,1016.44
2016-01-20,THUR [AQ],1.79,16.83,1.87,36.24,39.44,53.02,-1.54,92.41,1019.94
2016-01-21,THUR [AQ],18.93,12.39,0.98,15.31,19.74,25.56,2.35,86.22,1021.27
2016-01-22,THUR [AQ],22.58,10.2,0.57,11.96,9.93,23.19,7.21,89.53,1017.58
2016-01-23,THUR [AQ],23.03,9.99,0.45,11.95,11.86,48.89,7.96,93.19,1028.4
2016-01-24,THUR [AQ],23.47,7.72,0.33,9.31,9.77,21.59,11.8,96.75,1025.82
2016-01-25,THUR [AQ],25.56,7.63,0.4,9.1,9.55,22.68,10.87,84.43,1020.17
2016-01-26,THUR [AQ],30.13,5.41,0.28,6.59,4.76,28.01,9.46,90.16,1015.9
2016-01-27,THUR [AQ],29.99,7.36,0.35,8.6,4.49,18.68,11.59,89.1,1008.82
