timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,WC [AQ],32.45,1.86,0.03,1.93,4.59,18.61,2.65,80.9,986.45
2016-01-02,WC [AQ],25.03,2.44,0.0,2.57,4.51,8.95,6.98,91.66,972.54
2016-01-03,WC [AQ],31.5,2.05,0.01,2.12,2.11,3.17,6.43,90.67,960.34
2016-01-04,WC [AQ],28.05,2.74,0.01,2.91,5.67,11.86,5.9,90.16,953.42
2016-01-05,WC [AQ],25.41,2.91,0.04,3.01,3.92,6.22,6.3,90.2,957.96
2016-01-06,WC [AQ],17.23,4.52,0.04,4.79,5.54,8.15,5.55,93.57,966.33
2016-01-07,WC [AQ],27.66,2.43,0.03,2.52,4.22,14.75,4.26,85.71,957.7
2016-01-08,WC [AQ],29.65,1.31,0.01,1.42,3.12,11.44,2.09,93.74,966.01
2016-01-09,WC [AQ],27.69,3.05,0.01,3.18,4.0,5.74,4.88,90.06,957.31
2016-01-10,WC [AQ],29.54,1.55,0.03,1.6,2.81,6.35,3.66,88.92,948.19
2016-01-11,WC [AQ],26.46,1.73,0.02,1.82,5.55,10.28,2.42,91.29,954.14
2016-01-12,WC [AQ],21.49,2.13,0.03,2.22,4.48,8.77,2.61,99.07,967.41
2016-01-13,WC [AQ],31.9,1.53,0.02,1.57,3.75,15.33,1.56,93.57,979.75
2016-01-14,WC [AQ],32.23,1.38,0.05,1.43,3.36,10.19,-0.05,91.89,978.87
2016-01-15,WC [AQ],33.06,1.1,0.03,1.13,3.57,19.65,0.16,89.38,991.99
2016-01-16,WC [AQ],29.75,1.04,0.1,1.15,2.77,10.23,-1.65,90.18,999.87
2016-01-17,WC [AQ],33.1,2.58,0.06,2.73,6.24,10.62,0.76,81.62,994.57
2016-01-18,WC [AQ],20.86,3.35,0.09,3.52,13.67,20.61,2.32,91.8,985.78
2016-01-19,WC [AQ],18.53,2.17,0.06,2.32,12.3,16.08,2.13,93.29,988.47
2016-01-20,WC [AQ],23.19,2.33,0.04,2.51,12.55,14.15,1.01,86.43,991.18
2016-01-21,WC [AQ],21.57,6.94,0.2,7.23,16.43,19.02,3.27,85.94,988.44
2016-01-22,WC [AQ],27.8,1.85,0.01,2.01,4.72,19.25,7.2,93.17,982.12
2016-01-23,WC [AQ],31.71,1.8,0.02,1.89,6.23,32.62,7.41,87.6,993.91
2016-01-24,WC [AQ],29.59,1.59,0.01,1.66,4.42,13.22,10.41,96.85,991.53
2016-01-25,WC [AQ],32.02,1.31,0.06,1.39,5.71,14.11,9.68,85.79,983.88
2016-01-26,WC [AQ],35.18,0.72,0.02,0.76,1.83,12.65,7.82,92.85,975.01
2016-01-27,WC [AQ],35.84,0.72,0.03,0.77,1.65,9.7,7.02,89.7,971.87
2016-01-28,WC [AQ],40.15,0.49,0.02,0.51,2.23,21.16,5.49,86.36,984.4
2016-01-29,WC [AQ],40.01,0.54,0.02,0.57,3.17,30.93,7.4,79.92,976.77
2016-01-30,WC [AQ],38.43,0.33,0.02,0.35,2.56,33.83,2.67,67.54,973.89
2016-01-31,WC [AQ],36.66,0.67,0.02,0.72,1.62,11.0,4.17,91.91,974.73
2016-02-01,WC [AQ],40.51,0.42,0.02,0.45,3.85,44.69,8.13,78.27,975.3
2016-02-02,WC [AQ],40.29,0.42,0.02,0.45,2.97,39.6,4.43,68.63,977.85
2016-02-03,WC [AQ],29.18,0.71,0.03,0.78,2.56,20.83,2.9,85.78,989.5
2016-02-04,WC [AQ],32.78,1.03,0.03,1.08,2.43,8.8,6.75,93.82,991.57
2016-02-05,WC [AQ],37.11,0.89,0.03,0.95,2.27,9.98,6.67,92.53,980.91
2016-02-06,WC [AQ],34.39,1.16,0.02,1.28,1.92,5.0,4.7,90.23,961.71
2016-02-07,WC [AQ],35.98,0.58,0.02,0.62,2.66,24.64,4.3,87.98,952.78
2016-02-08,WC [AQ],36.24,0.62,0.02,0.68,2.05,14.95,4.94,89.61,947.31
2016-02-09,WC [AQ],32.63,0.77,0.02,0.82,3.12,27.74,3.32,87.98,954.34
2016-02-10,WC [AQ],28.21,1.07,0.05,1.14,2.68,15.92,2.21,88.38,967.83
2016-02-11,WC [AQ],31.33,1.07,0.02,1.13,3.37,10.61,1.6,87.7,973.27
2016-02-12,WC [AQ],23.59,3.23,0.01,3.79,10.15,20.54,2.94,82.79,968.73
2016-02-13,WC [AQ],26.76,1.55,0.09,1.81,9.47,18.92,2.23,84.96,964.39
2016-02-14,WC [AQ],35.04,0.54,0.01,0.57,1.89,7.39,0.8,80.91,975.56
2016-02-15,WC [AQ],32.6,0.46,0.02,0.51,1.82,14.8,-0.51,78.67,999.9
2016-02-16,WC [AQ],31.5,2.27,0.15,2.48,5.55,13.81,2.0,77.76,997.95
2016-02-17,WC [AQ],36.79,1.24,0.03,1.33,3.07,8.34,3.1,96.2,983.64
2016-02-18,WC [AQ],34.36,1.01,0.03,1.07,5.14,25.28,1.42,89.67,984.06
2016-02-19,WC [AQ],36.48,1.0,0.01,1.12,3.05,16.98,4.25,92.75,978.82
2016-02-20,WC [AQ],42.44,0.46,0.02,0.49,2.5,20.31,5.45,82.25,973.54
2016-02-21,WC [AQ],41.57,0.63,0.02,0.71,1.81,10.33,5.75,93.68,973.3
2016-02-22,WC [AQ],36.81,0.89,0.03,0.96,3.44,28.3,3.41,84.24,978.64
2016-02-23,WC [AQ],27.56,0.92,0.05,1.03,3.08,23.76,0.9,85.16,989.38
2016-02-24,WC [AQ],28.71,1.27,0.05,1.39,3.36,9.8,-0.99,90.0,989.68
2016-02-25,WC [AQ],27.99,1.64,0.11,1.77,3.52,7.04,-0.86,85.91,987.47
2016-02-26,WC [AQ],28.13,2.7,0.09,3.01,10.39,13.93,1.84,71.77,981.33
2016-02-27,WC [AQ],31.51,1.71,0.18,1.9,14.8,19.3,1.06,75.16,987.45
2016-02-28,WC [AQ],35.45,0.64,0.02,0.69,3.03,6.21,1.34,82.14,997.0
2016-02-29,WC [AQ],30.4,2.18,0.05,2.54,5.77,8.72,1.97,84.92,994.9
2016-03-01,WC [AQ],38.12,0.74,0.03,0.81,1.69,8.27,6.1,93.31,973.46
2016-03-02,WC [AQ],36.75,0.61,0.03,0.67,2.93,23.67,2.09,89.45,965.69
2016-03-03,WC [AQ],31.17,0.96,0.02,1.1,4.09,21.9,1.72,90.3,973.0
2016-03-04,WC [AQ],30.16,1.76,0.04,1.97,8.85,19.59,2.95,87.23,964.59
2016-03-05,WC [AQ],30.69,0.63,0.02,0.68,4.82,17.42,2.66,85.18,976.43
2016-03-06,WC [AQ],35.62,0.77,0.05,0.9,2.59,8.91,0.72,81.27,977.94
2016-03-07,WC [AQ],34.24,0.88,0.06,0.96,2.57,6.48,0.12,78.6,983.05
2016-03-08,WC [AQ],32.3,1.4,0.02,1.55,4.97,11.08,2.57,90.95,979.78
2016-03-09,WC [AQ],32.37,0.82,0.02,0.91,4.4,18.58,3.95,86.03,976.03
2016-03-10,WC [AQ],37.23,0.36,0.01,0.4,4.5,24.23,4.15,85.88,993.57
2016-03-11,WC [AQ],22.22,3.39,0.06,4.04,25.11,32.8,5.28,79.28,998.88
2016-03-12,WC [AQ],27.1,2.64,0.1,3.04,20.87,26.43,6.13,88.97,1000.97
2016-03-13,WC [AQ],34.17,0.96,0.04,1.05,13.26,17.73,8.38,85.04,1007.21
2016-03-14,WC [AQ],41.56,0.75,0.24,0.84,8.93,11.79,5.9,59.53,1008.1
2016-03-15,WC [AQ],36.77,0.52,0.02,0.58,4.63,8.8,5.37,80.71,1006.13
2016-03-16,WC [AQ],34.67,0.76,0.01,0.85,4.64,10.16,4.18,87.53,1006.38
2016-03-17,WC [AQ],30.33,1.03,0.09,1.26,6.49,10.5,4.16,79.06,1003.95
2016-03-18,WC [AQ],37.74,0.57,0.03,0.65,2.87,5.56,3.7,87.93,1001.03
2016-03-19,WC [AQ],40.61,0.37,0.01,0.41,6.0,13.16,4.92,79.95,1001.08
2016-03-20,WC [AQ],29.33,0.95,0.04,1.09,10.27,13.49,5.36,83.19,998.14
2016-03-21,WC [AQ],35.57,1.32,0.02,1.4,6.84,9.14,5.13,86.23,993.85
2016-03-22,WC [AQ],37.35,0.84,0.03,0.91,3.5,5.44,6.37,82.14,989.69
2016-03-23,WC [AQ],38.0,0.94,0.03,1.05,8.45,9.93,5.07,85.09,987.26
2016-03-24,WC [AQ],37.97,1.17,0.03,1.29,4.55,9.78,5.92,91.87,979.45
2016-03-25,WC [AQ],41.5,1.09,0.05,1.17,4.85,30.64,6.37,78.74,982.44
2016-03-26,WC [AQ],41.17,1.03,0.02,1.17,4.33,12.76,7.45,81.77,966.48
2016-03-27,WC [AQ],37.2,0.64,0.02,0.72,3.36,27.71,5.14,83.43,962.33
2016-03-28,WC [AQ],33.52,0.7,0.03,0.8,3.64,17.46,4.58,81.29,957.82
2016-03-29,WC [AQ],31.92,0.71,0.03,0.81,3.51,11.48,3.18,90.58,969.83
2016-03-30,WC [AQ],32.74,0.92,0.03,1.05,4.81,10.32,4.21,84.18,977.67
2016-03-31,WC [AQ],30.4,1.0,0.02,1.13,5.84,11.18,4.43,80.0,987.89
2016-04-01,WC [AQ],36.55,1.59,0.04,1.8,5.16,9.27,5.1,84.97,984.7
2016-04-02,WC [AQ],36.8,1.68,0.03,1.94,4.08,5.39,7.3,91.32,981.39
2016-04-03,WC [AQ],38.09,2.05,0.07,2.25,18.5,20.69,8.22,78.54,976.48
2016-04-04,WC [AQ],40.75,1.29,0.01,1.49,5.64,6.21,7.57,89.47,972.57
2016-04-05,WC [AQ],38.17,1.0,0.02,1.09,3.68,7.03,6.84,88.73,975.93
2016-04-06,WC [AQ],43.15,0.64,0.02,0.7,3.58,18.37,4.98,86.41,971.45
2016-04-07,WC [AQ],36.54,0.56,0.02,0.66,2.15,5.28,5.88,87.55,978.1
2016-04-08,WC [AQ],32.56,0.94,0.02,1.1,4.55,8.91,5.99,85.56,980.51
2016-04-09,WC [AQ],38.96,1.01,0.02,1.09,4.3,17.06,4.66,79.58,972.88
2016-04-10,WC [AQ],42.0,0.74,0.07,0.82,4.72,19.2,4.62,73.25,981.06
2016-04-11,WC [AQ],44.03,0.96,0.07,1.17,13.91,29.63,7.45,78.46,982.36
2016-04-12,WC [AQ],40.21,1.27,0.02,1.54,6.61,12.65,7.08,94.19,977.84
2016-04-13,WC [AQ],40.45,0.69,0.02,0.78,8.37,10.25,6.71,92.01,980.71
2016-04-14,WC [AQ],39.28,0.46,0.01,0.51,4.97,10.04,5.98,85.23,982.97
2016-04-15,WC [AQ],38.15,0.54,0.02,0.65,5.23,13.4,3.93,82.64,974.69
2016-04-16,WC [AQ],33.36,0.34,0.02,0.38,2.94,26.88,1.92,82.14,978.57
2016-04-17,WC [AQ],36.13,0.63,0.04,0.74,3.33,14.55,3.88,75.74,986.41
2016-04-18,WC [AQ],43.12,0.56,0.03,0.62,2.96,18.24,6.88,73.94,989.88
2016-04-19,WC [AQ],31.15,0.83,0.06,0.94,3.68,18.93,6.68,68.68,1000.31
2016-04-20,WC [AQ],29.98,1.85,0.15,2.26,17.39,27.34,8.89,68.52,1002.38
2016-04-21,WC [AQ],35.19,1.17,0.09,1.41,11.96,17.83,8.6,66.19,998.63
2016-04-22,WC [AQ],40.76,0.36,0.01,0.42,3.13,19.91,5.73,66.66,996.57
2016-04-23,WC [AQ],34.82,0.44,0.02,0.52,2.2,6.95,4.14,72.23,994.21
2016-04-24,WC [AQ],36.66,0.74,0.03,0.86,2.71,5.77,4.37,78.9,991.41
2016-04-25,WC [AQ],39.87,0.52,0.01,0.6,2.68,11.85,4.27,68.03,981.87
2016-04-26,WC [AQ],37.34,0.43,0.02,0.47,2.37,12.46,2.62,76.24,981.79
2016-04-27,WC [AQ],32.94,0.65,0.03,0.75,2.68,13.16,1.12,85.61,984.73
2016-04-28,WC [AQ],32.28,0.56,0.02,0.68,2.9,12.46,0.86,88.76,979.26
2016-04-29,WC [AQ],35.93,0.63,0.02,0.71,3.03,9.51,1.91,91.98,977.49
2016-04-30,WC [AQ],31.94,0.86,0.03,0.97,4.12,8.55,4.48,76.88,991.8
2016-05-01,WC [AQ],37.14,1.09,0.01,1.26,3.61,8.36,7.61,90.97,993.07
2016-05-02,WC [AQ],36.99,0.6,0.02,0.7,3.42,18.27,8.81,80.49,986.06
2016-05-03,WC [AQ],38.39,0.55,0.02,0.62,4.58,31.05,7.12,76.47,994.04
2016-05-04,WC [AQ],38.58,0.81,0.05,0.94,4.96,18.68,8.32,73.09,994.85
2016-05-05,WC [AQ],40.18,0.94,0.08,1.06,8.97,19.45,10.58,71.49,990.66
2016-05-06,WC [AQ],41.47,1.7,0.33,1.93,21.36,24.97,12.17,67.14,985.25
2016-05-07,WC [AQ],53.52,0.84,0.22,0.92,21.82,23.85,11.79,72.72,981.8
2016-05-08,WC [AQ],52.12,1.47,0.23,1.61,18.87,23.25,17.36,57.08,982.51
2016-05-09,WC [AQ],52.53,1.27,0.44,1.45,11.49,15.38,16.55,57.38,985.58
2016-05-10,WC [AQ],52.11,1.0,0.22,1.12,14.33,23.11,14.51,68.67,983.54
2016-05-11,WC [AQ],55.07,0.85,0.21,0.96,13.78,21.01,14.69,67.12,981.05
2016-05-12,WC [AQ],55.07,0.5,0.14,0.57,11.73,19.06,13.79,70.77,982.13
2016-05-13,WC [AQ],46.32,0.35,0.02,0.4,3.72,14.64,7.32,72.94,988.12
2016-05-14,WC [AQ],40.96,0.64,0.03,0.71,2.43,8.2,6.41,65.78,993.29
2016-05-15,WC [AQ],40.52,0.49,0.05,0.55,3.13,6.51,7.91,69.43,993.73
2016-05-16,WC [AQ],37.9,0.83,0.03,0.94,2.86,4.74,8.16,73.88,992.43
2016-05-17,WC [AQ],39.44,0.81,0.02,0.93,5.64,7.66,9.68,83.63,984.53
2016-05-18,WC [AQ],35.07,0.8,0.02,0.93,2.82,4.94,11.03,81.83,975.57
2016-05-19,WC [AQ],32.51,0.84,0.02,1.02,3.06,6.5,10.31,89.23,980.8
2016-05-20,WC [AQ],37.51,0.56,0.02,0.64,3.05,11.9,10.92,82.99,981.41
2016-05-21,WC [AQ],34.66,0.91,0.02,1.04,2.12,6.52,11.29,85.06,975.51
2016-05-22,WC [AQ],36.28,0.56,0.02,0.66,2.59,5.71,10.42,81.61,979.97
2016-05-23,WC [AQ],32.98,0.83,0.02,0.96,2.66,4.73,9.9,80.99,991.7
2016-05-24,WC [AQ],36.9,0.44,0.02,0.49,2.04,6.31,9.25,69.91,996.09
2016-05-25,WC [AQ],36.98,0.28,0.0,0.33,2.21,11.37,7.97,76.92,992.29
2016-05-26,WC [AQ],39.0,0.65,0.0,0.81,2.89,6.25,10.44,85.85,989.02
2016-05-27,WC [AQ],42.01,0.87,0.21,1.03,9.38,11.33,11.94,74.77,990.88
2016-05-28,WC [AQ],42.68,0.54,0.05,0.62,6.99,8.74,11.71,77.03,989.4
2016-05-29,WC [AQ],40.21,0.83,0.04,0.98,7.56,9.7,11.78,76.17,989.26
2016-05-30,WC [AQ],41.61,0.34,0.01,0.39,5.52,7.76,11.26,80.8,993.34
2016-05-31,WC [AQ],39.43,0.43,0.01,0.48,3.79,9.96,11.73,76.69,995.87
2016-06-01,WC [AQ],39.84,0.37,0.01,0.42,3.52,14.36,10.94,78.35,999.87
2016-06-02,WC [AQ],42.22,0.24,0.0,0.28,2.8,10.62,9.94,71.58,996.38
2016-06-03,WC [AQ],40.21,0.35,0.01,0.43,5.01,10.04,12.75,75.31,991.11
2016-06-04,WC [AQ],44.25,0.77,0.03,0.83,10.06,13.86,14.78,83.49,992.2
2016-06-05,WC [AQ],40.43,0.5,0.1,0.57,6.65,13.63,16.52,71.69,994.36
2016-06-06,WC [AQ],36.54,0.75,0.06,0.86,8.52,12.91,18.34,75.01,994.6
2016-06-07,WC [AQ],38.21,1.16,0.09,1.35,11.63,13.87,18.09,78.56,995.83
2016-06-08,WC [AQ],36.24,1.32,0.15,1.51,8.21,10.31,15.44,84.57,997.6
2016-06-09,WC [AQ],41.34,0.56,0.08,0.65,10.1,11.69,16.16,76.6,993.11
2016-06-10,WC [AQ],36.98,1.08,0.03,1.2,10.75,11.27,15.44,89.39,985.73
2016-06-11,WC [AQ],37.82,0.82,0.04,0.92,4.8,5.39,13.9,87.74,982.95
2016-06-12,WC [AQ],40.54,1.16,0.04,1.39,7.34,8.22,14.63,86.37,978.7
2016-06-13,WC [AQ],43.73,0.66,0.0,0.74,2.41,3.46,13.01,87.04,974.58
2016-06-14,WC [AQ],41.25,0.65,0.09,0.75,4.06,6.0,14.18,68.86,968.81
2016-06-15,WC [AQ],44.05,0.84,0.0,0.96,2.99,5.04,13.4,79.36,970.2
2016-06-16,WC [AQ],37.52,0.54,0.01,0.62,3.08,6.29,12.37,84.32,975.88
2016-06-17,WC [AQ],32.61,0.48,0.01,0.56,2.07,4.52,10.98,84.74,982.4
2016-06-18,WC [AQ],32.5,0.41,0.02,0.48,3.66,13.12,12.13,74.34,992.05
2016-06-19,WC [AQ],29.14,1.1,0.02,1.33,5.53,8.26,13.02,90.6,989.77
2016-06-20,WC [AQ],27.53,0.57,0.02,0.66,2.93,10.98,14.33,80.98,982.19
2016-06-21,WC [AQ],29.82,0.62,0.03,0.74,3.65,9.87,13.83,76.14,987.4
2016-06-22,WC [AQ],28.97,0.64,0.02,0.75,2.59,4.33,14.33,77.03,989.04
2016-06-23,WC [AQ],25.7,0.64,0.02,0.76,3.77,8.47,14.73,71.82,988.93
2016-06-24,WC [AQ],23.73,0.66,0.02,0.83,4.07,8.24,12.73,82.62,987.22
2016-06-25,WC [AQ],24.99,0.66,0.02,0.82,3.66,4.53,11.63,87.49,989.05
2016-06-26,WC [AQ],27.17,0.81,0.01,0.97,3.04,4.36,12.32,91.03,987.27
2016-06-27,WC [AQ],32.47,0.44,0.02,0.51,4.74,19.87,11.97,78.2,987.92
2016-06-28,WC [AQ],32.36,0.55,0.02,0.67,3.93,11.27,10.44,88.04,984.28
2016-06-29,WC [AQ],32.22,0.72,0.01,0.85,2.47,3.89,10.81,90.95,974.91
2016-06-30,WC [AQ],27.2,0.51,0.02,0.61,3.34,8.33,11.54,82.13,977.33
2016-07-01,WC [AQ],26.07,0.62,0.01,0.74,2.96,6.96,10.62,83.31,975.61
2016-07-02,WC [AQ],26.81,0.52,0.01,0.6,2.69,8.37,10.17,84.58,980.39
2016-07-03,WC [AQ],25.9,0.55,0.01,0.64,3.67,12.79,11.58,76.65,988.37
2016-07-04,WC [AQ],29.05,0.69,0.01,0.84,3.65,8.03,12.95,84.08,987.4
2016-07-05,WC [AQ],27.42,0.68,0.01,0.81,2.09,3.68,12.11,82.0,989.42
2016-07-06,WC [AQ],29.31,0.69,0.02,0.79,2.66,4.86,11.95,83.95,992.98
2016-07-07,WC [AQ],28.35,0.57,0.01,0.68,2.85,7.53,14.78,85.3,987.52
2016-07-08,WC [AQ],25.13,0.54,0.01,0.66,3.73,11.32,14.45,81.8,984.55
2016-07-09,WC [AQ],25.18,0.75,0.0,0.94,3.77,11.92,15.05,95.69,983.15
2016-07-10,WC [AQ],23.76,0.43,0.01,0.53,4.86,24.49,14.06,91.69,975.14
2016-07-11,WC [AQ],23.26,0.6,0.01,0.76,1.62,4.41,13.5,90.87,974.95
2016-07-12,WC [AQ],26.83,0.46,0.01,0.55,1.86,4.57,11.35,80.83,984.5
2016-07-13,WC [AQ],22.9,0.68,0.02,0.8,2.7,7.4,11.48,80.97,989.87
2016-07-14,WC [AQ],22.83,0.65,0.01,0.81,2.17,3.46,12.78,79.78,995.86
2016-07-15,WC [AQ],25.24,0.68,0.01,0.92,4.15,10.62,13.35,94.83,994.0
2016-07-16,WC [AQ],22.27,0.51,0.01,0.62,3.7,14.06,14.68,79.03,993.22
2016-07-17,WC [AQ],25.98,0.58,0.01,0.69,3.27,9.0,14.47,82.28,992.72
2016-07-18,WC [AQ],19.33,0.75,0.01,0.94,3.41,5.35,17.57,87.02,993.3
2016-07-19,WC [AQ],30.92,1.49,0.06,1.73,5.62,7.76,22.62,66.73,989.13
2016-07-20,WC [AQ],38.91,1.3,0.08,1.42,8.61,9.82,19.59,78.22,981.88
2016-07-21,WC [AQ],20.87,0.73,0.02,0.86,2.7,5.69,15.65,82.77,987.98
2016-07-22,WC [AQ],24.9,0.66,0.03,0.77,3.51,5.89,17.25,82.36,991.01
