timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,WTHG [AQ],32.1,3.54,0.2,3.81,6.76,27.37,6.73,87.25,1015.9
2016-01-02,WTHG [AQ],34.64,1.84,0.13,2.02,4.32,20.55,10.74,90.73,998.82
2016-01-03,WTHG [AQ],39.69,1.69,0.13,1.85,3.19,20.68,8.33,88.99,992.02
2016-01-04,WTHG [AQ],36.72,1.89,0.15,2.13,3.81,17.63,9.13,89.73,983.72
2016-01-05,WTHG [AQ],27.21,4.44,0.35,4.82,6.0,14.58,8.13,92.62,985.25
2016-01-06,WTHG [AQ],20.52,4.37,0.2,4.9,11.99,16.79,6.41,96.15,994.08
2016-01-07,WTHG [AQ],33.03,2.95,0.22,3.23,4.23,20.78,7.69,81.47,990.24
2016-01-08,WTHG [AQ],34.8,2.11,0.16,2.36,4.5,25.01,7.23,86.71,999.76
2016-01-09,WTHG [AQ],36.81,1.58,0.1,1.78,3.7,17.93,9.76,87.99,990.94
2016-01-10,WTHG [AQ],36.25,1.82,0.17,2.04,3.44,19.34,7.82,81.46,986.3
2016-01-11,WTHG [AQ],32.14,3.04,0.17,3.5,5.57,11.53,6.7,89.03,983.42
2016-01-12,WTHG [AQ],24.76,3.27,0.23,3.67,7.3,27.33,5.3,82.6,999.6
2016-01-13,WTHG [AQ],33.22,2.37,0.23,2.75,4.89,23.97,5.02,81.42,1013.77
2016-01-14,WTHG [AQ],32.85,2.29,0.16,2.6,4.91,13.5,3.77,77.99,1008.02
2016-01-15,WTHG [AQ],33.28,2.28,0.18,2.59,4.94,20.19,2.74,77.0,1020.52
2016-01-16,WTHG [AQ],24.44,5.34,0.37,5.86,13.01,28.75,1.11,85.3,1028.53
2016-01-17,WTHG [AQ],23.48,6.66,0.58,7.35,16.79,28.44,3.83,87.01,1024.54
2016-01-18,WTHG [AQ],27.56,3.76,0.26,4.14,11.08,22.0,3.61,77.12,1014.25
2016-01-19,WTHG [AQ],18.99,6.25,0.73,7.04,21.71,26.1,-1.05,84.29,1016.58
2016-01-20,WTHG [AQ],20.6,8.05,0.91,8.65,24.07,29.43,0.32,80.8,1019.95
2016-01-21,WTHG [AQ],31.44,3.99,0.38,4.34,11.79,16.8,6.56,75.39,1021.22
2016-01-22,WTHG [AQ],30.48,3.6,0.27,3.97,7.0,24.4,7.57,93.74,1018.8
2016-01-23,WTHG [AQ],30.02,3.37,0.28,3.73,8.83,42.01,6.42,98.57,1029.73
2016-01-24,WTHG [AQ],28.83,3.06,0.2,3.38,8.03,18.54,10.11,100.0,1027.41
2016-01-25,WTHG [AQ],31.56,2.82,0.23,3.2,7.93,25.5,9.55,93.22,1021.72
2016-01-26,WTHG [AQ],35.04,1.62,0.16,1.86,4.2,34.22,9.03,93.96,1018.35
2016-01-27,WTHG [AQ],35.4,2.13,0.17,2.39,3.98,24.01,10.16,96.37,1011.42
2016-01-28,WTHG [AQ],37.41,2.74,0.3,3.05,5.44,27.18,6.17,82.77,1024.62
2016-01-29,WTHG [AQ],42.2,1.76,0.14,1.99,4.75,45.56,10.19,94.54,1019.9
2016-01-30,WTHG [AQ],39.44,2.02,0.18,2.24,3.83,25.46,7.26,81.42,1011.35
2016-01-31,WTHG [AQ],35.59,2.57,0.22,2.82,5.9,35.82,9.26,95.12,1010.67
2016-02-01,WTHG [AQ],37.33,1.63,0.15,1.88,6.31,56.47,10.85,92.24,1017.57
2016-02-02,WTHG [AQ],37.51,2.49,0.22,2.77,5.07,39.66,8.19,76.71,1016.76
2016-02-03,WTHG [AQ],30.2,2.06,0.17,2.37,5.28,30.14,4.66,80.04,1023.35
2016-02-04,WTHG [AQ],31.78,3.34,0.21,3.7,6.82,24.13,9.65,89.13,1025.96
2016-02-05,WTHG [AQ],36.01,2.18,0.17,2.49,4.77,17.02,9.72,93.72,1019.26
2016-02-06,WTHG [AQ],38.27,1.49,0.16,1.7,6.04,24.59,10.1,86.51,999.19
2016-02-07,WTHG [AQ],38.83,1.17,0.11,1.38,3.71,35.98,8.1,82.29,994.03
2016-02-08,WTHG [AQ],40.98,1.27,0.14,1.51,5.34,67.24,8.64,72.66,990.52
2016-02-09,WTHG [AQ],38.79,2.69,0.22,3.09,4.92,37.3,5.62,80.49,989.4
2016-02-10,WTHG [AQ],28.83,2.38,0.16,2.81,5.36,21.87,5.42,82.99,997.95
2016-02-11,WTHG [AQ],25.12,4.19,0.4,5.14,9.93,24.48,2.84,88.82,1003.62
2016-02-12,WTHG [AQ],27.29,3.64,0.21,4.25,9.84,20.07,5.83,85.31,994.53
2016-02-13,WTHG [AQ],28.26,4.65,0.21,5.17,12.21,18.15,4.86,90.15,985.23
2016-02-14,WTHG [AQ],24.81,4.23,0.18,4.71,14.26,28.43,3.92,80.63,996.49
2016-02-15,WTHG [AQ],27.52,4.54,0.23,5.1,6.65,22.4,2.67,78.14,1024.65
2016-02-16,WTHG [AQ],23.08,5.35,0.38,6.12,9.54,25.31,3.45,78.59,1033.57
2016-02-17,WTHG [AQ],33.8,2.35,0.27,2.73,6.22,14.25,5.82,75.02,1016.7
2016-02-18,WTHG [AQ],31.24,4.01,0.24,4.63,8.26,19.66,3.76,81.15,1014.31
2016-02-19,WTHG [AQ],33.11,3.44,0.31,3.8,8.53,32.3,4.36,89.64,1016.63
2016-02-20,WTHG [AQ],38.89,1.77,0.16,2.04,5.25,40.92,9.74,93.08,1011.42
2016-02-21,WTHG [AQ],40.29,1.46,0.13,1.69,6.09,54.44,10.11,95.37,1012.61
2016-02-22,WTHG [AQ],37.93,2.4,0.18,2.79,5.26,25.94,8.21,88.44,1009.92
2016-02-23,WTHG [AQ],25.36,4.6,0.27,5.33,10.31,31.01,4.73,78.52,1017.18
2016-02-24,WTHG [AQ],19.26,7.5,0.53,8.28,18.78,38.99,2.96,75.48,1017.1
2016-02-25,WTHG [AQ],21.12,6.9,0.42,7.62,17.15,26.17,1.95,74.71,1016.5
2016-02-26,WTHG [AQ],26.9,5.57,0.39,6.16,13.71,21.17,4.27,68.99,1009.32
2016-02-27,WTHG [AQ],31.81,3.16,0.4,3.71,14.69,21.12,4.71,59.54,1009.36
2016-02-28,WTHG [AQ],35.09,2.31,0.11,2.63,8.26,16.48,4.17,71.54,1019.65
