BRIS [AQ],BRS8 [AQ],HRL [AQ],HORE [AQ],ESK [AQ],PLYR [AQ],DUMB [AQ],MACK [AQ],BPLE [AQ],BRS2 [AQ],SWA1 [AQ],SWAN [AQ],WTHG [AQ],PLYM [AQ],BRAD [AQ],NWBV [AQ],CARL [AQ],BORN [AQ],BRS [AQ],SV [AQ],THUR [AQ],LINC [AQ],SOM [AQ],BR11 [AQ],HIL [AQ],CHBR [AQ],LIN3 [AQ],HARR [AQ],WEYB [AQ],WC [AQ]
6.93,7.97,11.96,9.13,4.44,6.27,5.03,3.59,4.52,6.93,6.02,4.74,6.76,6.3,10.5,9.92,5.88,5.75,6.93,3.07,9.84,9.1,3.7,6.93,11.96,5.17,9.1,11.16,9.01,4.59
6.2,7.17,7.21,5.74,3.63,5.04,4.18,3.1,3.81,6.2,6.26,4.7,4.32,3.81,10.56,9.71,6.28,4.41,6.2,2.1,6.53,8.35,3.18,6.2,7.21,4.13,8.35,7.68,8.29,4.51
4.65,5.33,6.17,5.01,2.09,4.81,2.51,2.8,3.18,4.65,4.25,2.94,3.19,3.41,8.3,7.24,4.18,3.69,4.65,2.08,4.48,6.01,2.89,4.65,6.17,3.3,6.01,6.02,4.76,2.11
5.5,6.42,9.21,6.02,3.8,5.15,2.53,2.96,3.09,5.5,4.97,2.89,3.81,3.68,14.85,9.82,7.4,4.18,5.5,8.53,5.26,11.99,3.06,5.5,9.21,3.77,11.99,9.04,11.36,5.67
10.7,12.24,13.28,9.84,1.59,6.99,4.41,3.79,4.74,10.7,9.22,6.14,6.0,5.36,18.7,14.28,3.78,7.44,10.7,9.9,9.15,10.81,3.98,10.7,13.28,7.2,10.81,11.93,6.52,3.92
13.97,14.18,18.35,15.82,4.97,8.29,5.37,9.05,6.99,13.97,9.53,7.63,11.99,6.62,20.8,23.21,8.67,14.02,13.97,5.65,21.42,18.0,8.57,13.97,18.35,12.69,18.0,18.56,9.93,5.54
4.97,5.33,5.76,4.84,4.5,6.22,5.27,2.41,3.3,4.97,4.21,2.97,4.23,4.02,6.81,6.22,5.14,4.61,4.97,3.45,5.73,7.13,2.49,4.97,5.76,4.2,7.13,5.62,4.3,4.22
7.33,8.82,9.15,6.71,2.94,5.27,7.24,3.26,4.06,7.33,4.67,2.96,4.5,3.4,10.01,9.67,4.74,4.14,7.33,1.88,5.87,7.66,3.29,7.33,9.15,3.77,7.66,8.77,6.49,3.12
4.47,5.55,5.83,5.05,3.52,4.11,6.84,2.3,2.84,4.47,3.8,2.32,3.7,2.89,9.29,7.33,6.03,3.11,4.47,2.13,4.83,6.72,2.29,4.47,5.83,2.78,6.72,5.46,5.96,4.0
5.93,7.02,6.14,4.52,2.25,5.81,2.2,2.93,3.75,5.93,4.57,2.76,3.44,3.38,6.44,6.54,4.04,3.9,5.93,0.83,4.28,5.74,3.04,5.93,6.14,3.42,5.74,5.74,3.58,2.81
10.88,12.13,7.52,6.79,2.79,7.42,2.08,5.15,4.59,10.88,8.96,6.82,5.57,5.44,16.59,13.5,5.88,8.56,10.88,1.65,7.81,14.73,4.89,10.88,7.52,8.32,14.73,7.26,7.52,5.55
6.38,6.57,7.52,7.17,3.46,5.43,3.83,3.57,4.1,6.38,5.36,4.27,7.3,4.72,7.25,7.49,4.83,6.3,6.38,2.69,8.58,7.12,3.66,6.38,7.52,5.94,7.12,6.53,6.85,4.48
6.87,7.61,7.56,6.02,2.45,9.68,4.55,2.94,3.89,6.87,7.67,3.34,4.89,5.37,8.16,7.46,5.65,6.21,6.87,1.69,6.9,6.67,3.05,6.87,7.56,5.9,6.67,7.27,6.24,3.75
6.98,7.02,7.63,6.49,2.08,6.83,2.51,3.54,4.11,6.98,5.76,4.41,4.91,6.68,7.52,7.32,4.12,6.68,6.98,1.43,7.32,6.93,3.68,6.98,7.63,6.05,6.93,7.08,5.2,3.36
6.08,6.14,8.12,7.19,2.8,5.07,3.02,3.28,3.32,6.08,4.99,3.76,4.94,5.26,6.5,7.09,4.95,6.2,6.08,1.76,9.37,5.89,3.22,6.08,8.12,5.54,5.89,7.8,3.56,3.57
15.26,18.03,17.47,16.7,2.65,12.98,6.87,6.75,6.44,15.26,14.77,8.44,13.01,14.26,14.55,13.54,15.97,13.64,15.26,1.17,16.21,10.27,7.18,15.26,17.47,12.52,10.27,15.38,2.3,2.77
14.83,18.35,27.72,20.79,5.06,7.6,5.7,8.64,6.01,14.83,10.31,7.08,16.79,6.62,18.42,24.41,8.75,15.39,14.83,2.85,28.0,22.76,8.13,14.83,27.72,14.05,22.76,23.65,2.74,6.24
11.5,12.52,17.36,13.34,14.98,4.4,23.03,6.97,4.15,11.5,10.07,8.01,11.08,3.82,26.94,21.66,19.61,8.84,11.5,2.52,14.53,14.55,7.04,11.5,17.36,8.24,14.55,16.64,12.81,13.67
36.89,37.52,43.47,28.67,6.33,12.7,22.96,22.38,20.12,36.89,25.23,25.95,21.71,12.93,30.5,32.1,22.21,25.92,36.89,2.33,33.42,26.64,22.43,36.89,43.47,24.7,26.64,35.98,18.75,12.3
32.65,35.2,49.51,35.76,9.01,13.38,21.67,24.01,18.75,32.65,27.19,26.46,24.07,13.08,46.84,40.18,21.94,19.92,32.65,1.27,39.44,33.21,24.31,32.65,49.51,19.43,33.21,45.35,19.69,12.55
14.64,15.92,24.32,18.03,16.85,8.56,13.58,9.73,7.8,14.64,11.01,8.96,11.79,6.79,31.82,27.18,21.53,8.91,14.64,4.2,19.74,31.24,9.78,14.64,24.32,8.63,31.24,27.74,20.53,16.43
7.36,7.94,9.87,9.0,3.45,7.51,3.83,4.63,5.09,7.36,6.49,5.21,7.0,5.38,11.2,10.42,5.12,7.07,7.36,1.63,9.93,12.27,4.63,7.36,9.87,6.76,12.27,11.62,9.02,4.72
8.37,9.96,14.4,13.06,4.42,7.86,4.83,5.51,5.94,8.37,7.13,5.32,8.83,5.61,11.89,13.75,6.34,7.15,8.37,3.4,11.86,12.37,5.52,8.37,14.4,6.71,12.37,15.63,10.56,6.23
9.78,10.78,11.8,10.21,4.09,9.2,4.91,7.07,6.86,9.78,8.16,6.46,8.03,7.47,8.53,10.6,4.85,7.73,9.78,1.99,9.77,9.7,7.1,9.78,11.8,7.33,9.7,12.03,10.48,4.42
7.8,8.54,9.64,9.54,5.3,7.7,6.26,5.75,6.09,7.8,7.34,5.82,7.93,6.11,9.01,9.15,6.82,6.93,7.8,3.77,9.55,8.96,5.57,7.8,9.64,6.49,8.96,9.92,9.31,5.71
4.53,5.12,5.65,5.12,1.49,5.24,1.64,3.03,3.18,4.53,4.55,3.58,4.2,4.34,4.44,4.63,2.26,4.49,4.53,0.92,4.76,4.06,3.17,4.53,5.65,4.12,4.06,5.49,4.04,1.83
4.87,5.37,4.99,4.29,1.56,5.83,1.93,2.77,3.67,4.87,5.29,4.18,3.98,4.68,4.38,4.66,2.56,4.63,4.87,1.68,4.49,4.16,2.88,4.87,4.99,4.2,4.16,4.79,3.01,1.65
5.94,6.47,6.48,5.87,1.94,10.12,2.15,3.23,3.86,5.94,5.07,3.87,5.44,5.63,5.52,5.33,3.02,5.3,5.94,1.64,6.19,4.9,3.3,5.94,6.48,4.85,4.9,6.27,4.31,2.23
5.58,5.86,5.73,5.31,2.83,6.48,2.97,3.88,4.68,5.58,6.17,5.42,4.75,5.41,5.78,4.49,4.09,5.0,5.58,1.73,5.06,4.15,3.97,5.58,5.73,4.64,4.15,5.49,3.94,3.17
5.14,5.51,4.61,3.83,2.07,5.71,2.66,2.7,3.94,5.14,5.01,3.66,3.83,4.26,4.99,4.61,2.96,4.77,5.14,1.71,4.64,4.1,2.77,5.14,4.61,4.37,4.1,4.37,2.93,2.56
6.46,7.14,7.72,6.76,1.41,7.66,3.15,4.32,4.82,6.46,5.89,4.44,5.9,5.58,6.24,5.9,2.98,5.71,6.46,1.36,7.08,4.96,4.44,6.46,7.72,5.24,4.96,8.08,4.57,1.62
6.58,6.83,6.87,6.86,3.34,7.82,3.78,4.85,5.71,6.58,6.72,5.94,6.31,6.22,6.99,6.17,4.97,6.47,6.58,2.08,6.92,5.62,4.96,6.58,6.87,6.04,5.62,6.89,5.36,3.85
5.51,5.88,6.12,5.04,2.51,6.26,3.15,3.31,4.01,5.51,5.1,3.85,5.07,4.78,5.16,4.82,3.39,5.67,5.51,1.46,6.3,4.56,3.48,5.51,6.12,5.32,4.56,6.02,3.48,2.97
6.24,6.48,6.82,5.89,1.84,5.82,2.33,3.23,3.74,6.24,5.28,3.86,5.28,4.42,5.51,5.68,3.09,6.09,6.24,1.46,7.61,5.42,3.33,6.24,6.82,5.69,5.42,6.12,3.99,2.56
7.07,7.68,8.12,7.37,1.87,7.52,2.2,3.49,4.65,7.07,5.92,4.47,6.82,5.64,6.51,6.27,2.84,6.34,7.07,1.16,9.14,5.77,3.53,7.07,8.12,5.87,5.77,8.08,4.78,2.43
5.52,6.11,6.97,6.54,2.12,5.35,2.56,3.51,3.89,5.52,4.52,3.38,4.77,3.9,5.94,5.82,2.74,4.67,5.52,1.32,5.93,5.53,3.58,5.52,6.97,4.25,5.53,6.76,5.67,2.27
4.2,4.81,6.81,6.85,2.23,4.24,2.92,2.81,2.45,4.2,3.51,2.38,6.04,3.21,4.78,3.97,3.59,5.33,4.2,1.95,6.44,3.93,2.79,4.2,6.81,5.07,3.93,6.5,5.86,1.92
4.75,5.12,5.0,4.59,2.44,5.6,2.23,3.24,4.19,4.75,4.91,4.03,3.71,4.53,5.42,4.68,3.56,4.36,4.75,1.5,4.11,4.46,3.3,4.75,5.0,3.95,4.46,4.54,3.59,2.66
5.91,6.19,5.7,5.43,1.38,6.27,2.93,4.19,5.18,5.91,5.98,5.14,5.34,5.3,4.37,4.32,2.89,5.66,5.91,1.33,5.44,3.7,4.34,5.91,5.7,5.3,3.7,5.52,3.37,2.05
5.96,6.29,6.31,5.41,2.32,6.12,2.14,3.22,3.99,5.96,5.04,3.79,4.92,5.03,6.21,5.48,3.97,5.39,5.96,2.0,6.51,5.14,3.28,5.96,6.31,4.97,5.14,6.15,4.69,3.12
8.39,8.22,7.86,6.85,2.08,9.48,2.39,4.9,5.36,8.39,7.69,6.19,5.36,8.09,5.8,7.46,3.05,9.04,8.39,1.69,8.73,5.7,4.9,8.39,7.86,8.54,5.7,7.52,4.37,2.68
15.29,17.5,16.15,13.43,2.3,8.55,3.02,8.84,4.69,15.29,9.62,6.48,9.93,9.14,13.77,14.39,5.14,14.44,15.29,2.11,17.95,12.75,7.44,15.29,16.15,13.42,12.75,15.74,9.98,3.37
12.9,13.55,18.21,12.34,7.29,6.02,8.93,7.65,6.66,12.9,11.61,10.15,9.84,5.52,19.4,15.09,10.58,8.12,12.9,2.22,15.33,17.16,7.98,12.9,18.21,7.8,17.16,18.06,16.8,10.15
19.56,19.58,19.82,16.55,5.21,9.33,4.2,14.9,13.2,19.56,16.96,15.78,12.21,9.59,18.11,17.11,9.71,12.44,19.56,1.55,18.29,14.6,14.96,19.56,19.82,11.96,14.6,18.91,15.32,9.47
15.92,15.46,13.92,14.83,1.48,15.75,2.39,15.23,14.19,15.92,12.51,11.69,14.26,16.66,6.36,8.6,2.7,16.11,15.92,1.57,13.31,7.56,15.29,15.92,13.92,15.65,7.56,13.22,8.32,1.89
12.34,10.17,6.85,7.95,1.75,5.97,2.71,6.4,3.96,12.34,6.95,5.04,6.65,8.42,6.83,7.15,3.97,8.65,12.34,1.19,5.69,4.88,6.25,12.34,6.85,8.07,4.88,6.7,1.85,1.82
14.66,14.63,13.67,11.95,2.86,7.63,2.17,9.92,7.14,14.66,7.66,5.62,9.54,7.1,10.97,12.27,5.73,10.86,14.66,1.9,10.25,11.45,9.63,14.66,13.67,9.54,11.45,14.02,4.4,5.55
5.77,6.36,9.68,9.18,2.05,4.81,2.84,3.23,3.43,5.77,4.75,3.59,6.22,4.13,7.53,8.14,4.84,4.9,5.77,2.2,10.04,7.17,2.9,5.77,9.68,4.58,7.17,9.73,10.45,3.07
10.9,11.35,12.57,10.24,5.15,9.53,4.56,5.53,5.71,10.9,9.07,6.28,8.26,9.71,11.31,12.37,7.95,10.41,10.9,2.29,11.2,11.74,5.59,10.9,12.57,10.38,11.74,12.52,8.26,5.14
6.9,8.8,13.13,10.42,2.88,9.01,3.24,3.92,4.33,6.9,5.13,3.68,8.53,6.32,9.13,10.51,3.68,5.67,6.9,1.71,10.83,10.62,4.02,6.9,13.13,5.54,10.62,13.63,11.48,3.05
6.13,6.31,5.86,5.44,2.38,6.89,3.22,4.36,5.24,6.13,5.73,5.07,5.25,5.59,4.66,4.08,3.43,5.73,6.13,2.64,5.95,3.92,4.52,6.13,5.86,5.35,3.92,5.82,3.28,2.5
7.14,7.34,7.12,7.02,1.92,7.89,2.74,4.96,6.09,7.14,7.14,6.45,6.09,6.25,4.71,5.17,2.53,6.52,7.14,1.89,6.96,4.34,5.1,7.14,7.12,6.08,4.34,7.02,4.19,1.81
6.62,6.75,6.43,6.81,3.31,6.88,3.67,4.77,4.7,6.62,5.64,4.41,5.26,6.59,6.08,6.7,4.04,7.38,6.62,2.82,6.88,5.72,4.57,6.62,6.43,6.84,5.72,5.65,4.21,3.44
10.58,9.9,12.66,14.77,2.69,8.96,2.48,6.46,6.59,10.58,7.39,6.46,10.31,11.23,8.43,9.34,4.82,10.48,10.58,1.45,13.17,7.98,6.42,10.58,12.66,9.6,7.98,13.04,5.28,3.08
22.23,20.01,21.51,30.07,2.0,11.95,2.31,14.19,7.59,22.23,6.36,5.02,18.78,13.45,9.21,11.13,4.45,17.83,22.23,0.99,23.89,10.73,13.78,22.23,21.51,17.51,10.73,20.49,8.05,3.36
15.09,17.15,23.4,24.27,2.55,12.7,3.02,13.1,8.36,15.09,9.66,6.89,17.15,13.83,8.8,13.62,4.36,17.25,15.09,1.11,25.22,11.7,12.5,15.09,23.4,16.21,11.7,20.16,6.56,3.52
15.65,17.28,26.56,17.18,8.19,10.84,9.36,12.3,11.49,15.65,15.34,12.79,13.71,10.51,21.9,22.66,12.84,14.94,15.65,2.95,23.23,23.69,12.77,15.65,26.56,13.89,23.69,29.95,19.28,10.39
26.77,26.79,24.11,16.75,14.88,20.6,11.77,24.69,22.0,26.77,21.34,20.16,14.69,21.06,20.74,15.1,18.32,19.49,26.77,2.18,18.25,12.17,24.43,26.77,24.11,18.94,12.17,23.07,13.69,14.8
7.98,7.78,6.99,7.67,3.19,11.11,9.92,7.42,8.52,7.98,9.79,8.46,8.26,12.08,10.94,8.49,6.37,9.83,7.98,2.12,5.77,6.04,7.29,7.98,6.99,9.52,6.04,6.08,1.69,3.03
10.85,11.68,11.95,10.66,6.98,12.47,5.61,7.08,8.02,10.85,10.46,9.07,8.7,9.38,15.25,9.35,7.59,9.3,10.85,3.62,7.41,7.32,7.31,10.85,11.95,8.95,7.32,10.69,2.93,5.77
6.22,6.59,7.95,7.05,1.05,6.67,1.7,4.0,4.59,6.22,5.4,4.55,5.81,5.16,5.5,5.72,2.3,5.97,6.22,1.11,8.21,5.33,4.1,6.22,7.95,5.48,5.33,7.95,7.11,1.69
5.98,6.38,6.13,5.36,2.49,6.29,3.05,3.95,4.84,5.98,5.74,4.8,5.16,5.46,5.7,5.52,3.7,5.91,5.98,1.68,6.24,5.14,4.08,5.98,6.13,5.53,5.14,5.89,4.38,2.93
6.26,6.66,7.35,6.82,3.63,6.09,4.75,3.58,4.0,6.26,5.51,4.18,5.28,4.89,9.3,7.71,5.63,5.88,6.26,2.53,7.44,7.62,3.64,6.26,7.35,5.41,7.62,7.19,6.18,4.09
9.23,9.07,8.28,7.7,3.88,7.82,4.22,5.87,6.36,9.23,7.59,6.7,7.44,7.7,12.09,8.59,6.57,7.77,9.23,2.02,8.38,8.06,5.97,9.23,8.28,7.23,8.06,7.85,4.11,8.85
14.57,14.43,13.34,15.79,2.69,8.38,2.27,12.51,7.18,14.57,8.47,7.74,14.76,8.4,12.62,13.1,3.95,15.1,14.57,1.64,12.96,13.45,12.32,14.57,13.34,14.51,13.45,13.04,12.06,4.82
7.38,6.88,14.57,15.7,2.47,6.05,1.79,5.11,4.34,7.38,6.1,4.8,13.04,6.2,6.58,7.77,4.37,9.14,7.38,0.96,11.94,6.5,5.08,7.38,14.57,8.4,6.5,13.48,4.02,2.59
10.49,10.46,11.47,14.27,2.05,8.29,2.51,4.12,5.66,10.49,6.86,5.89,12.25,8.79,7.01,6.83,3.99,8.59,10.49,1.26,10.53,6.24,4.81,10.49,11.47,7.93,6.24,10.8,3.21,2.57
