year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,ARM6 [AQ],54.353728,-6.654558,54.44,-6.779999999999999,12.593738585231849,35.31,1.68,0.3,1.86,3.7,18.44,279.4309,99035.28,-0.0001818107,0.00092983244,-5.9194946999999996,4.81256295,7.6289697634110984,129.1111909835408
2016,1,2,ARM6 [AQ],54.353728,-6.654558,54.44,-6.779999999999999,12.593738585231849,21.72,4.46,0.77,4.93,7.66,12.74,281.23059,98496.0325,-1.49828848e-05,0.000253162595,-0.24606514999999995,0.6343889300000001,0.6804391027498842,158.79985079714604
2016,1,3,ARM6 [AQ],54.353728,-6.654558,54.44,-6.779999999999999,12.593738585231849,33.54,1.9,0.35,2.07,4.32,12.28,280.23485,96391.7825,-0.000106353313,0.002137002625,-3.6177673500000003,2.6913846,4.509078804350527,126.64685876549521
2016,1,4,ARM6 [AQ],54.353728,-6.654558,54.44,-6.779999999999999,12.593738585231849,28.19,3.65,0.62,3.95,6.41,13.41,280.15954,96339.155,-5.514617e-05,0.00039046242,-3.7709889,-0.52816725,3.8077969914237513,97.97301994810445
2016,1,5,ARM6 [AQ],54.353728,-6.654558,54.44,-6.779999999999999,12.593738585231849,19.84,4.28,0.49,4.67,7.24,12.97,279.336975,97430.7175,-9.3267882e-05,0.00044332236499999996,-0.67111015,-4.34142495,4.39298980535074,171.21260470087458
2016,1,6,ARM6 [AQ],54.353728,-6.654558,54.44,-6.779999999999999,12.593738585231849,17.91,2.86,0.49,3.32,7.79,14.06,279.02868,97551.53,-6.145622999999999e-05,4.104419855e-05,-2.9510441,3.8232343,4.829677193440706,142.3364868829749
2016,1,7,ARM6 [AQ],54.353728,-6.654558,54.44,-6.779999999999999,12.593738585231849,33.73,1.25,0.32,1.43,2.98,19.5,276.58299999999997,97422.53,-0.00015990995,5.96046458e-06,4.519043,2.03303765,4.9552993574724145,245.7778609887738
2016,1,8,ARM6 [AQ],54.353728,-6.654558,54.44,-6.779999999999999,12.593738585231849,26.18,3.16,0.83,3.48,7.2,13.67,276.521485,97743.9375,-4.856311750000001e-05,6.32362265e-05,1.2062836,1.84876205,2.207496600484169,213.12371694233676
2016,1,9,ARM6 [AQ],54.353728,-6.654558,54.44,-6.779999999999999,12.593738585231849,26.48,3.33,0.52,3.57,12.32,15.37,276.753785,96627.435,-3.012211545e-05,0.000691794869,-1.8991532500000001,0.27741337,1.9193074909561312,98.31054191541966
2016,1,10,ARM6 [AQ],54.353728,-6.654558,54.44,-6.779999999999999,12.593738585231849,31.08,1.46,0.31,1.67,4.57,8.77,277.155885,96233.875,-0.00011576398,4.4703483500000005e-06,4.3141093999999995,3.6215458,5.632684430772418,229.98770236893432
