year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,BHA4 [AQ],51.390922,-2.35503,51.44,-2.28,7.55380551011652,31.2,4.22,0.18,4.88,5.74,20.58,280.67614000000003,99968.78,-0.000166730725,0.0003658533175,-5.8412475,3.82245065,6.980780853739907,123.20031175562397
2016,1,2,BHA4 [AQ],51.390922,-2.35503,51.44,-2.28,7.55380551011652,31.83,3.57,0.13,4.14,4.78,14.78,282.97162000000003,98414.5925,-5.3249067e-05,0.00066222925,1.8349895999999999,0.21776295,1.8478656700368838,263.232214233576
2016,1,3,BHA4 [AQ],51.390922,-2.35503,51.44,-2.28,7.55380551011652,36.44,3.03,0.17,3.49,3.8,17.43,280.961245,97257.155,-0.000106398015,0.003341195354,0.614166275,4.4780056,4.519926367428869,187.80949220549184
2016,1,4,BHA4 [AQ],51.390922,-2.35503,51.44,-2.28,7.55380551011652,31.69,3.55,0.22,4.16,4.45,18.72,281.34467500000005,96935.155,-0.000101786805,0.00027029945,1.5207590999999998,3.9387517,4.222140830726245,201.11166420098732
2016,1,5,BHA4 [AQ],51.390922,-2.35503,51.44,-2.28,7.55380551011652,22.36,7.61,0.34,8.67,9.22,15.2,280.22705,97367.9075,-5.51358099e-05,8.45918085e-05,0.985383985,2.06018635,2.283713947634599,205.56171858563525
2016,1,6,BHA4 [AQ],51.390922,-2.35503,51.44,-2.28,7.55380551011652,14.95,8.54,0.36,10.64,13.04,19.34,279.644895,98373.28,-6.889936e-05,6.689569e-06,-0.2808780500000001,0.6690594000000001,0.7256259089228848,157.22683246446633
2016,1,7,BHA4 [AQ],51.390922,-2.35503,51.44,-2.28,7.55380551011652,33.49,3.37,0.23,3.93,3.6,19.99,278.99316,98060.8425,-0.00024429522500000003,0.00038093328719999997,6.96777345,-0.9448676,7.031546176485985,262.2774898106409
2016,1,8,BHA4 [AQ],51.390922,-2.35503,51.44,-2.28,7.55380551011652,31.18,5.29,0.34,5.92,5.81,24.46,280.48193,98550.25,-6.648176235e-05,3.16457635e-05,1.21849063,3.6213450499999995,3.8208453759027328,198.5967791170257
2016,1,9,BHA4 [AQ],51.390922,-2.35503,51.44,-2.28,7.55380551011652,34.39,2.62,0.17,3.09,3.27,12.1,282.166135,97279.25,-0.00014189572499999999,0.00198530515,1.639421,7.1547325,7.340156562485384,192.90584740986702
2016,1,10,BHA4 [AQ],51.390922,-2.35503,51.44,-2.28,7.55380551011652,32.28,3.51,0.26,4.08,4.33,17.23,278.74645999999996,97347.625,-0.000103261905,2.61962415e-05,2.53700975,3.59371375,4.398999544047956,215.22047270901095
