year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,BIRM [AQ],52.479724,-1.908078,52.44,-1.7799999999999994,9.763654313233582,20.04,13.97,0.39,16.7,10.5,27.95,278.51295000000005,99913.2825,-0.00010974123,0.0003992319161,-5.44720465,3.4570943,6.451630762688927,122.40144801239424
2016,1,2,BIRM [AQ],52.479724,-1.908078,52.44,-1.7799999999999994,9.763654313233582,18.21,13.68,0.36,16.1,10.88,20.47,282.306275,98209.9075,-6.99383675e-05,0.00056477565,-2.6408405,-0.3210554,2.6602847810543535,96.9316143231527
2016,1,3,BIRM [AQ],52.479724,-1.908078,52.44,-1.7799999999999994,9.763654313233582,28.59,8.8,0.25,10.25,5.75,13.9,280.415465,96974.1575,-0.00011943653000000001,0.00203901255,-1.44467165,4.3687527500000005,4.601421168176881,161.70183456907324
2016,1,4,BIRM [AQ],52.479724,-1.908078,52.44,-1.7799999999999994,9.763654313233582,23.34,12.28,0.33,14.45,7.98,18.56,280.362365,96618.47,-6.5711095e-05,0.0001622958325,-0.6567311450000001,3.6741032,3.732335746025972,169.8656371186936
2016,1,5,BIRM [AQ],52.479724,-1.908078,52.44,-1.7799999999999994,9.763654313233582,8.12,19.28,0.58,26.91,15.24,24.36,280.266415,97101.2825,-5.9300685e-05,0.00021718234300000002,-1.019987125,1.55090905,1.8562576913073434,146.66826049085023
2016,1,6,BIRM [AQ],52.479724,-1.908078,52.44,-1.7799999999999994,9.763654313233582,5.28,17.85,0.82,27.63,23.67,34.15,279.460085,98095.4675,-6.671634e-05,2.0063361000000002e-05,-0.483270635,0.5584637,0.7385338251366644,139.12848686849225
2016,1,7,BIRM [AQ],52.479724,-1.908078,52.44,-1.7799999999999994,9.763654313233582,26.83,7.54,0.34,9.08,5.2,19.82,278.617065,97462.155,-0.00015657209,0.0005788207325,7.6816405,-1.19669865,7.774296651797646,261.1452462568719
2016,1,8,BIRM [AQ],52.479724,-1.908078,52.44,-1.7799999999999994,9.763654313233582,27.09,10.15,0.42,11.89,8.22,25.18,279.53333,98180.5,-7.49009175e-05,3.978179945e-05,1.5200043,4.134528599999999,4.405081136169509,200.1852783230568
2016,1,9,BIRM [AQ],52.479724,-1.908078,52.44,-1.7799999999999994,9.763654313233582,27.63,8.1,0.24,9.6,5.94,12.48,281.704465,96989.75,-0.00012216659,0.0019658442,-1.332014585,6.3545618,6.492666518825063,168.16132279179106
2016,1,10,BIRM [AQ],52.479724,-1.908078,52.44,-1.7799999999999994,9.763654313233582,28.31,7.3,0.3,8.81,6.15,13.48,278.064385,96925.375,-9.508116250000001e-05,5.9604645e-07,3.2179178999999998,4.4738408,5.5109207138993614,215.72648720548264
