year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,24.37,3.92,0.19,4.19,8.45,24.23,279.715325,100946.845,-9.2440982e-05,0.0002272129,-4.7811888499999995,3.12103465,5.709695622873862,123.13544835794886
2016,1,2,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,26.21,3.42,0.06,3.54,7.19,15.59,282.87751000000003,99035.28,-0.000109858575,0.0005842961950000001,-2.82174875,4.0693255,4.951936594210068,145.2618149862171
2016,1,3,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,30.45,3.29,0.07,3.39,4.76,13.45,281.177735,98032.7175,-0.000166628505,0.0023017499,-1.1138610999999998,5.621072,5.7303697070326285,168.79157601098743
2016,1,4,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,23.09,8.43,0.21,8.94,9.62,26.65,281.216615,97564.6575,-7.817591549999999e-05,0.000101052052,0.54981184,4.13467465,4.17107030877649,187.57451741887508
2016,1,5,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,21.53,5.39,0.11,5.76,8.08,15.07,281.25762499999996,97911.0925,-6.45980448e-05,6.918401e-05,-0.3144207,2.4593563,2.4793736682755547,172.71444312467105
2016,1,6,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,13.02,7.68,0.24,8.14,16.93,21.49,279.24212,98934.9075,-4.6003727699999996e-05,1.128657725e-05,0.4960994735,0.49718437000000004,0.7023581603279584,224.93741973520767
2016,1,7,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,28.35,2.37,0.09,2.48,3.85,14.67,280.27661,98032.3425,-0.000128408895,0.0010206103426,7.4370118000000005,0.602251535,7.461357210638632,265.37027256082274
2016,1,8,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,24.85,6.2,0.21,6.47,6.63,23.4,280.123295,99148.0,-5.98507475e-05,7.08865045e-06,1.2577972499999999,4.643439900000001,4.810778318216251,195.15635505348314
2016,1,9,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,30.8,3.52,0.08,3.73,5.28,16.21,282.40882,98149.94,-0.00013343187,0.001151734155,-1.1100907469999999,7.376656499999999,7.4597159855833155,171.44194851344483
2016,1,10,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,29.28,3.24,0.14,3.34,4.24,17.72,279.21515,97861.125,-9.8761753e-05,1.4305115e-06,3.3644023,4.618615999999999,5.714089305541285,216.0712352451412
2016,1,11,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,25.26,4.3,0.07,4.6,6.38,9.37,278.517215,97512.28,-7.953006e-05,9.855181114999999e-05,3.96606165,0.3247986,3.979339033327354,265.3182390492411
2016,1,12,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,22.48,2.47,0.05,2.67,5.65,18.77,278.92499,98994.75,-0.000120186365,0.0001101791875,7.35389045,-0.22320410000000002,7.35727699769813,268.2615014404089
2016,1,13,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,25.81,4.75,0.2,4.93,6.0,22.87,277.3894,100659.845,-9.75202985e-05,1.90734865e-06,2.5280313,2.6685419,3.6758751510130616,223.45115176339627
2016,1,14,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,29.52,3.48,0.12,3.73,5.76,12.79,276.07592,99789.53,-0.00022532942,0.000442892315,7.9218925,-3.1512012499999997,8.525634879559282,248.30813400045565
2016,1,15,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,32.93,3.39,0.16,3.55,6.76,23.85,275.88453000000004,101364.8425,-9.763322000000001e-05,0.0,4.3172365,-3.1744261000000003,5.358685665468116,233.67328174981205
2016,1,16,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,27.21,6.15,0.37,6.34,10.69,24.6,275.03162499999996,102151.125,-6.612879054999999e-05,0.0,2.54852195,-1.6600279999999998,3.0414892882296662,236.9210291019366
2016,1,17,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,23.02,7.38,0.55,7.65,16.63,24.51,275.98462,101822.9375,-6.762740749999999e-05,5.7369471e-06,-2.75744295,2.55941405,3.76219243285642,132.8669770573056
2016,1,18,CAMB [AQ],51.995804,0.037756,51.94,0.2200000000000006,13.979678666671544,25.23,4.85,0.33,5.16,11.74,18.76,274.922975,100760.4375,-7.01013485e-05,2.0861625e-07,-2.2860799,2.28301385,3.2308379019189175,134.96155217904908
