year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,32.27,6.06,0.63,7.38,5.64,22.71,280.97961499999997,99521.8425,-0.00019430532,0.00059461594,-6.9154662,4.6170063,8.315071854024001,123.72845497488134
2016,1,2,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,30.03,6.45,0.89,8.0,6.43,18.4,282.95367,98282.6575,-5.5767362e-05,0.0005801834600000001,3.8008098500000003,-1.151988035,3.971552838455027,253.13846059472587
2016,1,3,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,35.71,5.86,0.61,7.02,4.47,18.15,281.08154,96972.53,-9.639933500000001e-05,0.00345515936,3.26358035,3.3571560500000004,4.6820351819436095,224.1902508443482
2016,1,4,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,29.48,7.95,0.81,9.68,4.89,13.45,281.25970500000005,96609.78,-0.000108812705,0.00075685215,2.5866771,3.9972234,4.76116512307355,212.90765186424264
2016,1,5,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,19.18,13.53,2.8,17.36,12.8,21.32,280.039175,97119.155,-5.98743785e-05,0.00017843932300000003,1.9846515999999998,1.3956356,2.426240033749736,234.88456099280657
2016,1,6,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,13.57,9.88,2.62,14.93,13.64,23.13,280.12561,98093.9675,-7.67895265e-05,1.183046975e-05,-0.57933995,1.6900554700000001,1.7865951610096016,161.07862097603493
2016,1,7,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,32.22,6.27,0.95,7.67,5.16,24.69,279.16351,97945.595,-0.00030455552,0.00025421381,7.0556642,-1.09501406,7.140129767361327,261.17827547175784
2016,1,8,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,29.9,9.17,0.87,10.81,6.36,25.16,280.33923000000004,98256.875,-8.7857477e-05,0.00026970671,2.0939788999999998,3.2107005,3.8331899684656197,213.11189022765862
2016,1,9,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,31.27,6.01,0.71,7.33,4.91,13.09,281.574095,96915.06,-0.0001268679025,0.001859837315,1.791032275,6.40302375,6.648797617100083,195.6271902134493
2016,1,10,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,29.54,7.64,0.8,9.26,5.17,15.44,278.713625,97064.19,-0.00013056828,0.00016605854,3.0494609,3.2336063,4.444707131412429,223.32124430195245
2016,1,11,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,18.15,13.68,3.47,17.38,13.37,22.96,278.61194,97031.655,-8.8500558e-05,6.6186489e-05,3.53954795,-0.85830688,3.642127179356116,256.36941768223664
2016,1,12,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,26.3,5.9,1.58,7.52,7.34,35.81,279.119505,98967.875,-0.000247233665,0.00012335181000000002,8.447151999999999,-3.9617294999999997,9.330041668839117,244.8733380946736
2016,1,13,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,29.21,9.58,1.84,12.31,8.73,25.24,278.36877,99829.655,-0.000106542955,0.00041013956500000003,2.98896885,4.2379999999999995,5.185998340365172,215.19448134224095
2016,1,14,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,27.09,9.01,2.89,10.76,9.73,23.05,277.28112999999996,99820.03,-0.00021244737,1.4305115e-05,4.17579885,-4.44807625,6.101039121450983,223.1916290302404
2016,1,15,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,29.49,7.52,2.27,9.16,7.96,27.85,277.203,101099.2825,-0.000167363205,5.6460499499999994e-05,4.417212,-4.0070676999999995,5.9639209757782075,227.7873002087616
2016,1,16,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,9.86,16.77,4.46,25.8,23.38,44.91,276.42481,101553.565,-5.35894665e-05,1.895427725e-05,1.63592435,0.38464975,1.6805367919501153,256.76856104391373
2016,1,17,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,24.89,7.04,0.88,8.6,10.1,20.35,277.97180000000003,100735.5,-4.15615505e-05,0.00011764466749999999,-3.4605679499999997,2.531338,4.287563714606606,126.18474261995448
2016,1,18,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,24.71,6.96,0.8,8.73,9.89,18.22,277.57714999999996,99722.0625,-0.0001256081725,0.00046148896249999997,-4.6520465,2.159966925,5.129034388192012,114.90566238516354
2016,1,19,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,6.16,16.48,2.14,26.51,34.31,45.39,274.37427,100302.1575,-9.24760235e-05,0.0,-1.9436469,0.316535945,1.9692532280934956,99.24979744711061
2016,1,20,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,11.85,15.95,1.8,24.44,30.06,39.4,274.84204,100516.185,-9.476533e-05,0.0,-3.1487112,0.984542385,3.2990462150244166,107.36347565796177
2016,1,21,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,24.56,5.87,0.74,7.63,11.86,21.02,280.12756,100310.06,-5.3311466e-05,0.00017644465,-2.361434,5.73751255,6.204467809390544,157.62901168346173
2016,1,22,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,29.57,5.17,0.64,6.63,6.82,37.47,283.34454000000005,100160.6875,-3.1142263e-05,0.0003175735522,5.9017335,2.2795402,6.326670674884088,248.88098314106122
2016,1,23,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,29.66,6.6,0.83,8.02,8.53,40.97,282.43359999999996,101265.5625,-0.000101215875,0.0004166364665,-0.56708145,6.2438215,6.26952057934228,174.81047381183066
2016,1,24,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,25.53,7.77,0.94,9.44,10.03,24.88,285.62958000000003,101070.97,-4.06520925e-05,4.238048949999999e-05,0.86598875,4.8652692,4.941738651891175,190.0926068887381
2016,1,25,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,28.78,5.98,0.67,7.47,8.01,32.31,283.85517000000004,100320.345,-0.000106162043,8.6784362e-05,4.9855127999999995,4.85628845,6.95980426366771,225.7522590870586
2016,1,26,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,34.48,4.62,0.59,5.83,4.44,21.22,283.76148,99633.125,-0.000227317685,0.00238642825,6.35092355,8.23574335,10.40008165665125,217.63730795719823
2016,1,27,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,33.88,5.81,1.08,7.15,5.73,27.33,282.9563,99404.375,-0.000148551425,0.0009086127850000001,7.254023500000001,1.9822392500000001,7.519982006813103,254.71644005563425
2016,1,28,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,34.89,7.33,1.1,8.69,6.27,31.87,281.300295,100904.78,-0.000196659935,0.000126779077,5.49051435,5.384942049999999,7.690471293062221,225.55617502480456
2016,1,29,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,38.73,5.72,0.52,6.92,5.79,46.22,283.55028500000003,100172.0625,-0.0001173511825,0.00040276349999999995,7.203587000000001,5.402773,9.004533400243346,233.12968112404496
2016,1,30,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,36.22,5.95,0.77,7.14,6.07,34.2,278.70227,99765.44,-0.00028173358,0.0001089514075,6.23851735,0.26497221000000004,6.2441419745488895,267.56790452047863
2016,1,31,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,33.91,6.08,0.8,7.22,6.8,45.88,284.756715,99481.345,-5.24907375e-05,0.000105664434,9.1161225,1.2447076,9.20070575795705,262.22496171224594
2016,2,1,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,37.0,4.1,0.53,5.29,6.95,62.31,283.97119,100145.655,-0.00013804133,0.000139954021,9.27188175,4.2682562,10.207144663167144,245.28129891567707
2016,2,2,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,36.63,5.12,0.9,6.4,6.05,41.4,279.93872,100223.3125,-0.000288037465,9.819865e-05,7.603346650000001,0.61013127,7.627787388666391,265.41212543802544
2016,2,3,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,29.47,6.87,2.03,8.48,7.59,36.97,279.88604999999995,101280.47,-0.00026816572,9.084492700000001e-05,6.38252065,-2.70517245,6.932137320618758,247.03078906673488
2016,2,4,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,33.33,5.73,0.66,7.23,6.44,27.58,283.50928,101318.4075,-8.317933000000001e-05,6.4806474e-05,5.44380415,-0.1516976,5.4459173502177745,268.4038030558343
2016,2,5,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,35.08,5.56,0.63,6.92,5.15,14.92,282.54254000000003,99914.47,-0.00013137888500000002,0.00034998894,4.16730905,7.55606375,8.629053488782878,208.877548939076
2016,2,6,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,36.92,4.8,0.57,5.96,3.91,12.2,282.458255,97428.9375,-0.00021578756500000002,0.00555988015,3.52158545,8.27591,8.994011919591372,203.05084147089894
2016,2,7,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,35.83,4.18,0.51,5.41,5.04,35.35,280.60303,97746.47,-0.000321851925,0.00187032008,5.25908995,6.84000535,8.62807627980998,217.5556825900065
2016,2,8,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,37.01,3.68,0.5,4.97,6.27,64.97,280.52570000000003,97491.625,-0.00035903067,0.000481975285,11.997217500000001,2.80794955,12.321436946137878,256.827038468637
2016,2,9,CAR [AQ],51.482431,-3.17794,51.44,-3.28,8.520428834629628,36.74,6.17,0.79,7.77,6.1,34.49,278.20527,97393.25,-0.00028009991999999997,5.9390957e-05,7.5735085,-0.75576164,7.611123876016455,264.30131090441506
