year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,25.32,10.27,0.2,12.47,5.82,24.07,276.63391,98795.97,-0.00012824102,2.837181108e-05,-4.223938,2.4911518499999996,4.903823994354041,120.5308279580344
2016,1,2,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,16.46,9.41,0.15,12.28,5.1,10.13,280.54529,97732.405,-2.988404675e-05,0.000706455915,-3.2800007,-0.004893303000000002,3.280004350060338,90.08547723839996
2016,1,3,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,22.79,8.45,0.13,10.46,2.93,5.51,279.4497,96052.28,-9.0230258e-05,0.0010974976700000002,-5.76254275,-0.17568081500000002,5.765220090710902,91.746217410106
2016,1,4,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,22.52,8.51,0.13,10.83,3.55,8.19,279.65484,95896.8425,-8.2877233e-05,0.00075548125,-5.1381765,-1.35140945,5.312924359211371,104.7358216894674
2016,1,5,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,15.22,9.35,0.12,12.58,5.19,12.06,277.941345,96657.47,-8.3388413e-05,0.00145847888,-4.1227703,-2.9337101,5.060028645907462,125.43516349616951
2016,1,6,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,10.92,10.23,0.18,14.37,5.97,11.54,279.076225,97026.905,-6.7692368e-05,0.00033901527,-5.1182804,1.78319515,5.420016530971809,109.2081995186989
2016,1,7,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,18.82,11.08,0.19,14.92,6.63,15.7,277.312985,96040.1575,-0.0001008715485,0.00159817935,3.65087885,0.42744685000000004,3.675816533364015,263.3221815699917
2016,1,8,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,14.11,18.99,0.25,25.09,10.11,29.91,274.365365,96838.5625,-3.01452825e-05,0.000396336785,-1.0688629,-0.9236989,1.412688060704705,130.8331950288797
2016,1,9,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,17.58,12.36,0.16,15.16,6.92,11.4,274.26453000000004,96053.625,-6.0140506e-05,0.0004358525,-3.0180496999999997,-1.4320593000000001,3.340571482603924,115.38425761547163
2016,1,10,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,20.21,10.78,0.18,13.44,3.78,8.89,276.7439,94815.315,-5.98548215e-05,0.002410233,3.3895487500000003,2.9538212,4.496009387245094,228.92948788218763
2016,1,11,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,19.19,10.83,0.18,14.7,5.2,11.93,277.42004,95655.47,-4.03549065e-05,0.00051560552,0.47582721699999997,1.81039425,1.871881107568274,194.72602958194008
2016,1,12,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,12.66,13.96,0.3,19.54,6.57,16.47,277.05193999999995,97573.6875,-7.2606957e-05,0.00035518408,2.0719079999999996,-1.9030137000000003,2.813230154617942,227.43303240548084
2016,1,13,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,11.84,20.51,0.42,29.04,8.37,23.69,275.0,98224.0925,-4.5522698000000005e-05,0.0005940497024999999,-0.35966395000000007,0.7323847000000001,0.8159322923648092,153.84498669163088
2016,1,14,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,20.33,16.15,0.34,21.38,5.24,19.75,273.96032,98639.78,-8.255394649999999e-05,3.5762787e-07,3.2058282,-0.81575205,3.30798818846054,255.72355285866712
2016,1,15,GLA [AQ],55.860414,-4.245959,55.94,-4.279999999999999,9.113367462423593,17.64,17.99,0.39,24.44,6.5,28.01,274.8905,99731.72,-5.5597047000000005e-05,4.172325e-06,2.51657725,-1.4960813499999999,2.927698833731944,239.26891746258863
