year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,19.58,15.94,0.16,21.23,9.19,29.03,276.53002000000004,99063.655,-8.317991000000001e-05,1.40070915e-05,-3.84478765,2.66131785,4.67600307659449,124.6905372648805
2016,1,2,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,14.28,12.05,0.11,16.02,5.26,10.61,280.7539,97945.28,-4.4591492000000006e-05,0.00069742581,-3.7629108000000002,0.66612722,3.8214163816550495,100.03875249274367
2016,1,3,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,21.01,9.57,0.1,11.56,3.4,6.42,279.606935,96297.7825,-0.000100765377,0.0009924742849999999,-5.997406,0.452493015,6.014451650604549,94.31468431289417
2016,1,4,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,20.2,11.83,0.08,15.8,4.57,11.02,279.729865,96113.845,-8.9098467e-05,0.000898413175,-5.4833912,-0.9893489,5.57192877719813,100.22763986521156
2016,1,5,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,14.04,11.66,0.07,16.72,6.7,15.75,278.309085,96842.405,-7.80165405e-05,0.00164989915,-4.5707685,-2.7799015000000002,5.349745510797172,121.30760187138574
2016,1,6,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,8.84,13.59,0.12,20.47,8.9,18.91,278.99652000000003,97287.03,-8.110341249999999e-05,0.000304720245,-5.08471115,1.98424495,5.458160450237317,111.31759375366525
2016,1,7,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,18.62,11.43,0.12,16.57,7.49,16.67,277.645875,96171.6575,-0.00011472962499999999,0.00192838907,3.21337895,0.780107985,3.3067163084491935,256.35436353221786
2016,1,8,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,17.15,16.03,0.17,22.32,11.85,32.36,274.195435,97022.25,-1.7903978e-05,0.000422324415,-0.79444885,-0.725578785,1.0759245087404594,132.40579241651452
2016,1,9,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,14.89,15.34,0.11,19.62,7.34,12.49,274.62048000000004,96264.375,-3.81538415e-05,0.000383489825,-2.99973915,-1.31499385,3.2753081982586836,113.67117457224367
2016,1,10,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,23.86,6.82,0.12,8.47,3.83,8.25,276.66357,94978.94,-6.62474195e-05,0.0021628737499999997,3.7933573,3.2221318,4.977116930717473,229.654952476809
2016,1,11,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,19.21,11.66,0.17,17.84,7.66,14.46,277.1823,95852.095,-3.52438075e-05,0.000391091415,0.10229205999999999,1.91757205,1.920298474841931,183.0535246076197
2016,1,12,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,12.14,15.42,0.22,21.98,8.24,17.65,277.00518,97701.875,-6.917968900000001e-05,0.0006160438099999999,1.81165405,-2.00213483,2.7001174556638334,222.1407217914193
2016,1,13,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,12.03,21.14,0.32,34.28,11.71,29.92,274.92285000000004,98427.53,-3.83626905e-05,0.0005871057717,-0.035445199999999955,0.694664975,0.6955686807891731,177.0790226792554
2016,1,14,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,23.53,13.14,0.23,16.5,6.29,21.1,273.876345,98773.28,-6.7496324e-05,1.1920929e-07,3.2077812999999997,-0.9334277900000001,3.3408304817476107,253.77560629753978
2016,1,15,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,24.29,13.04,0.23,16.64,6.62,26.85,275.42492,99873.7825,-4.6797913e-05,2.2649765e-06,2.5956788,-1.4091673,2.9535234741167593,241.5029203524009
2016,1,16,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,12.88,24.14,0.59,42.62,15.15,29.24,272.457635,100492.685,-3.2273355e-05,0.000322461125,-1.10589697,0.5553040499999999,1.2374856347455447,116.6626001637425
2016,1,17,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,3.64,31.74,0.79,60.35,15.59,26.06,273.15881,99865.5,-3.1492091e-05,4.7296286999999994e-05,-1.2799038999999999,0.66842292,1.4439332371050042,117.5755720577603
2016,1,18,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,1.02,24.63,0.56,84.23,34.41,50.65,274.70911,99097.875,-1.7991988e-05,0.00100028515,-0.59491775,-0.139715672,0.6111035904553942,103.2163368242555
2016,1,19,GRAN [AQ],56.010319,-3.704399,55.94,-3.78,9.142096305194631,0.31,26.53,0.94,116.18,42.76,64.15,275.191535,99498.28,-2.8963549999999998e-05,0.0001026839035,-0.38810491999999996,-0.030387880000000006,0.3892927589605293,94.477016978829
