year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,28.07,3.96,0.13,4.39,6.8,23.55,280.326295,100127.155,-0.00013543083,0.00033110380149999996,-5.47601315,3.398012,6.444626100179662,121.82070328122956
2016,1,2,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,28.88,3.02,0.06,3.28,5.52,13.41,282.81451500000003,98376.7175,-8.58528085e-05,0.00083675165,0.5483684500000001,2.17784595,2.2458229981204676,194.1329424911326
2016,1,3,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,34.16,1.97,0.05,2.18,3.13,14.88,280.83954,97348.5325,-0.00013287738,0.0025705072450000004,-0.42440795,5.10093045,5.118555808405375,175.2438276070437
2016,1,4,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,31.18,1.98,0.06,2.23,3.32,19.79,281.32745,97007.5325,-9.7353712e-05,0.000223807825,1.35327865,4.0825505500000006,4.300997802586178,198.33926055199936
2016,1,5,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,23.33,2.85,0.05,3.18,4.87,9.09,280.66119000000003,97373.655,-6.1796627485e-05,7.347554300000001e-05,0.7702960999999999,2.16834065,2.301099140871082,199.5574198628865
2016,1,6,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,16.89,5.4,0.12,6.06,14.01,17.72,279.456055,98394.155,-8.308526499999999e-05,1.2441416999999999e-05,0.03162189999999998,-0.12342110000000006,0.12740766258282904,194.37070645109
2016,1,7,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,31.34,1.97,0.08,2.19,2.75,15.86,279.29474000000005,97894.845,-0.00020148419,0.0005895495592899999,7.68408215,-1.057782625,7.756547077772462,262.161985910993
2016,1,8,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,30.94,2.49,0.09,2.75,4.05,20.06,280.42834,98601.0,-6.0640508e-05,5.8765875e-05,1.238266,4.067634,4.251934741351517,196.9312571740266
2016,1,9,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,32.56,2.22,0.06,2.48,3.1,11.53,282.513915,97424.565,-0.00017933488999999998,0.0019144352,0.937272565,8.036691000000001,8.091160738150164,186.6520238890076
2016,1,10,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,32.02,1.49,0.08,1.69,2.56,14.58,278.92602999999997,97380.125,-9.6742648e-05,2.199411375e-05,2.8895488499999997,3.982874,4.920648113451349,215.96063793658766
2016,1,11,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,26.11,3.4,0.05,3.82,5.35,8.41,278.32349999999997,97141.8425,-7.4493466e-05,1.9933285e-05,3.5585909,-0.12149048000000001,3.5606641417428633,268.04467851641346
2016,1,12,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,25.33,1.8,0.08,2.08,4.08,21.75,279.07361000000003,98820.625,-0.000141629133,6.43730165e-05,8.3140955,-1.440733435,8.438003129523429,260.1689546647524
2016,1,13,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,31.79,2.1,0.1,2.39,3.5,19.88,278.19653500000004,100163.9075,-8.1948585e-05,2.30669975e-05,1.99141025,3.3539667,3.900616285731519,210.6996280996721
2016,1,14,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,31.71,1.93,0.08,2.21,4.2,12.25,276.701785,99691.155,-0.000177519045,6.9618225e-05,6.307146550000001,-4.0110645,7.474539184882046,237.54545528593084
2016,1,15,HAR [AQ],51.571078,-1.325283,51.44,-1.2799999999999994,14.918540267003348,32.58,1.8,0.11,2.05,3.85,18.53,276.44555,101066.8425,-8.73365225e-05,3.12924385e-07,4.1015382,-3.12059305,5.153709012911725,232.7348591998595
