year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,HM [AQ],54.334944,-0.80855,54.44,-0.7799999999999994,11.840190810294896,29.67,2.06,0.05,2.21,6.18,19.93,278.75586,101006.0325,-0.000256443165,1.66893e-05,-5.23358155,6.37664975,8.24936590743043,140.62285058459645
2016,1,2,HM [AQ],54.334944,-0.80855,54.44,-0.7799999999999994,11.840190810294896,25.17,2.52,0.01,2.67,6.06,18.1,281.6479,99452.72,-8.9324777e-05,0.0004897036,-7.6232625,4.0312395,8.62351570128254,117.8702283796394
2016,1,3,HM [AQ],54.334944,-0.80855,54.44,-0.7799999999999994,11.840190810294896,31.59,2.3,0.02,2.39,3.22,5.71,280.6441,97945.2825,-0.000124830755,0.002327141375,-6.0743105,6.959329,9.237397262251486,138.88457159077856
2016,1,4,HM [AQ],54.334944,-0.80855,54.44,-0.7799999999999994,11.840190810294896,26.92,2.55,0.0,2.65,6.57,13.49,280.36084,97545.5925,-0.000100520205,0.00065784884,-6.76342075,3.7468571500000003,7.731933700183719,118.98594757703964
2016,1,5,HM [AQ],54.334944,-0.80855,54.44,-0.7799999999999994,11.840190810294896,26.13,2.0,0.02,2.07,4.85,9.1,280.86481000000003,97992.7175,-7.7390695e-05,0.00103102415,-6.70309265,2.0123347999999996,6.998638612028418,106.71027717912622
2016,1,6,HM [AQ],54.334944,-0.80855,54.44,-0.7799999999999994,11.840190810294896,17.24,4.15,0.02,4.44,5.83,10.85,279.79235500000004,98970.845,-0.00015900668,0.000461175,-7.09032635,3.94310735,8.113003347905654,119.07952742812449
2016,1,7,HM [AQ],54.334944,-0.80855,54.44,-0.7799999999999994,11.840190810294896,28.13,1.75,0.03,1.86,4.57,13.81,279.511415,97616.7825,-0.000328218565,0.0028271079,4.3730468,1.41316455,4.59571238877793,252.09158956507466
2016,1,8,HM [AQ],54.334944,-0.80855,54.44,-0.7799999999999994,11.840190810294896,28.92,3.85,0.02,4.02,7.33,18.01,278.346185,98676.1875,-0.000184051925,0.001042123288,2.38987732,5.3917307,5.897649832430956,203.90525058928648
2016,1,9,HM [AQ],54.334944,-0.80855,54.44,-0.7799999999999994,11.840190810294896,24.65,4.1,0.01,4.25,7.26,9.82,280.10266,97854.0,-8.106173499999999e-05,0.00151824303,-2.9992509500000004,6.128853749999999,6.823368270140852,153.92445852193342
2016,1,10,HM [AQ],54.334944,-0.80855,54.44,-0.7799999999999994,11.840190810294896,30.1,2.42,0.04,2.5,4.12,7.19,278.92096000000004,97119.31,-0.00036996288999999996,0.0005852281813,6.400290999999999,8.481897,10.625737696898508,217.03756524119163
