year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,LN [AQ],54.43951,-7.900328,54.44,-7.779999999999999,7.807394727666717,36.28,1.04,0.04,1.08,2.4,13.82,278.983885,98728.28,-0.00017278804,0.0011770725500000001,-5.87860115,4.1353168,7.1874054092658195,125.1245666455547
2016,1,2,LN [AQ],54.43951,-7.900328,54.44,-7.779999999999999,7.807394727666717,29.31,1.12,0.02,1.19,2.79,7.34,280.680905,98431.5325,-1.4163321000000001e-05,0.000409952595,1.13650324,0.319447525,1.1805449316985452,254.3004265042827
2016,1,3,LN [AQ],54.43951,-7.900328,54.44,-7.779999999999999,7.807394727666717,36.0,0.97,0.02,1.0,2.76,9.6,279.842045,96191.53,-5.9086830999999996e-05,0.00179707736,-3.3987732,2.4424832,4.185377336312758,125.70241128702347
2016,1,4,LN [AQ],54.43951,-7.900328,54.44,-7.779999999999999,7.807394727666717,29.7,1.98,0.02,2.04,5.8,12.59,279.914425,96239.2825,-5.08322855e-05,0.0002203209525,-2.76708275,-1.0755305499999999,2.9687561215652027,111.24048322824441
2016,1,5,LN [AQ],54.43951,-7.900328,54.44,-7.779999999999999,7.807394727666717,21.36,2.26,0.02,2.38,4.88,9.38,279.284425,97479.4075,-9.2031085e-05,0.00015960426,-0.307096465,-4.1248722,4.136288058773028,175.74218809864175
2016,1,6,LN [AQ],54.43951,-7.900328,54.44,-7.779999999999999,7.807394727666717,20.16,1.36,0.03,1.42,5.31,10.67,278.39776,97306.3425,-7.1119632e-05,0.00023780658485,-3.67174725,4.08080265,5.489506183267269,138.02035260660628
2016,1,7,LN [AQ],54.43951,-7.900328,54.44,-7.779999999999999,7.807394727666717,36.41,0.32,0.01,0.32,1.78,19.72,276.179565,97362.78,-0.000150030477,6.40153885e-05,4.18945315,2.41304255,4.834696685848599,240.05890431547414
2016,1,8,LN [AQ],54.43951,-7.900328,54.44,-7.779999999999999,7.807394727666717,30.92,0.83,0.01,0.86,3.19,7.8,276.15845,97622.6875,-4.0196116249999996e-05,0.0001323180085,0.47386171,2.34033915,2.387830031058921,191.4462565173622
2016,1,9,LN [AQ],54.43951,-7.900328,54.44,-7.779999999999999,7.807394727666717,29.06,1.39,0.02,1.43,5.21,8.47,276.007815,96525.875,-4.14917025e-05,0.0006007785565,-2.2175126,0.29181765000000004,2.2366313223261187,97.49686534206924
2016,1,10,LN [AQ],54.43951,-7.900328,54.44,-7.779999999999999,7.807394727666717,33.29,0.46,0.01,0.48,2.45,6.89,277.23907499999996,96171.625,-0.000112165345,1.93715095e-05,4.14345495,3.08468055,5.165604806625048,233.33339890054276
