year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,23.56,10.95,0.61,13.23,11.23,31.24,280.29187,100345.7825,-0.00012426241,0.0003063082672,-5.2871703,3.3103656500000005,6.238003728589941,122.05121431860562
2016,1,2,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,27.85,6.54,0.31,7.97,6.98,17.47,282.8711,98537.6575,-9.683496199999999e-05,0.0007673718500000001,0.0010053000000000978,3.31261155,3.312611702542496,180.0173879262651
2016,1,3,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,31.32,7.65,0.31,8.99,6.39,20.95,281.003115,97545.9075,-0.000146809965,0.00229853123,-0.6048280000000001,5.19883075,5.2338951151823405,173.36408409863267
2016,1,4,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,26.87,8.91,0.42,10.67,7.02,27.1,281.3949,97177.0925,-9.769643449999999e-05,0.000135950575,1.35498765,4.204987,4.41790755922094,197.86067910710443
2016,1,5,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,16.14,13.84,0.76,19.8,12.22,23.73,280.888305,97518.095,-6.43372762e-05,5.4014626e-05,0.6794758000000001,2.33801845,2.4347520685536015,196.20494104651334
2016,1,6,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,11.51,12.69,0.64,16.77,19.09,27.21,279.458865,98541.345,-8.556631e-05,1.3260980999999999e-05,0.30151940000000005,-0.28272280000000005,0.41333537256832986,226.84271950717186
2016,1,7,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,28.02,7.16,0.45,8.77,6.01,21.25,279.72815,97943.7825,-0.00018731319,0.00057929755,7.97705075,-0.7910589749999999,8.016178202236002,264.33667423955086
2016,1,8,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,23.27,11.66,0.58,13.66,8.65,27.2,280.43299,98766.6875,-6.288313365e-05,7.837580650000001e-05,1.2460785,4.252814750000001,4.431607487806182,196.33063138045912
2016,1,9,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,30.21,6.34,0.31,7.7,5.48,16.69,282.633785,97644.31,-0.000182546095,0.00180807066,0.41993857349999997,8.1416711,8.152493894882008,182.95263769595041
2016,1,10,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,29.13,7.44,0.44,9.0,5.85,21.56,279.109805,97535.065,-0.00010019226300000001,2.36630438e-05,3.0611796499999997,4.1552372,5.1610868078184815,216.37922111015456
2016,1,11,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,23.15,10.45,0.47,13.31,10.3,16.32,278.57135,97244.905,-8.0260217e-05,2.833753985e-05,3.779294,0.08114624,3.780165056013049,268.76997587356226
2016,1,12,READ [AQ],51.45352,-0.95518,51.44,-0.7799999999999994,12.271294215992585,22.43,6.1,0.41,8.02,7.67,27.57,279.13689999999997,98876.375,-0.000142776525,5.90085985e-05,8.24695685,-0.8743272,8.293174623654187,263.94821298108974
