year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,SHBR [AQ],53.40495,-1.455815,53.44,-1.2799999999999994,12.321947661105373,18.84,12.79,0.58,15.69,10.39,26.51,277.470825,100211.2175,-7.39933475e-05,0.0001538992,-5.1036987,3.2201556499999997,6.034661782619521,122.24969154669282
2016,1,2,SHBR [AQ],53.40495,-1.455815,53.44,-1.2799999999999994,12.321947661105373,18.6,8.7,0.25,10.54,8.94,16.42,281.94788,98558.4075,-6.0803955500000004e-05,0.000253013585,-5.19723705,0.338490485,5.208248147153536,93.7263499440223
2016,1,3,SHBR [AQ],53.40495,-1.455815,53.44,-1.2799999999999994,12.321947661105373,22.26,11.1,0.36,12.66,7.0,13.04,279.92077500000005,97158.345,-0.00010525063,0.0022901866000000002,-3.2579040499999996,4.164407,5.287364604475031,141.96317297759052
2016,1,4,SHBR [AQ],53.40495,-1.455815,53.44,-1.2799999999999994,12.321947661105373,19.35,12.14,0.31,14.41,11.32,22.5,279.631405,96784.97,-4.9953116e-05,0.000247858295,-2.68969015,1.8664860500000002,3.273866716567983,124.75836317589295
2016,1,5,SHBR [AQ],53.40495,-1.455815,53.44,-1.2799999999999994,12.321947661105373,7.02,16.48,0.64,23.06,13.41,20.91,280.312195,97258.155,-4.108401335e-05,0.000260544725,-1.92941095,0.5504207529999999,2.0063872057289913,105.92234445174026
2016,1,6,SHBR [AQ],53.40495,-1.455815,53.44,-1.2799999999999994,12.321947661105373,7.83,16.42,0.83,21.8,19.47,28.62,279.99579000000006,98228.5325,-5.273905e-05,9.43531025e-05,-1.90551185,1.0638348,2.1823656641776283,119.17433730989262
2016,1,7,SHBR [AQ],53.40495,-1.455815,53.44,-1.2799999999999994,12.321947661105373,23.82,7.65,0.28,9.26,6.51,21.59,278.855225,97210.845,-0.00011811219,0.001113235985,7.36181635,-0.47855902,7.377354451749671,266.28068860467135
2016,1,8,SHBR [AQ],53.40495,-1.455815,53.44,-1.2799999999999994,12.321947661105373,25.79,9.74,0.35,11.36,6.8,21.74,278.578985,98148.3125,-7.99822175e-05,0.0004692630585,1.87767025,4.2511058,4.647316009325028,203.8305605842558
2016,1,9,SHBR [AQ],53.40495,-1.455815,53.44,-1.2799999999999994,12.321947661105373,22.03,10.24,0.34,11.97,8.83,14.61,280.583125,97149.065,-4.67816135e-05,0.0022871132,-1.9748367999999998,5.45429325,5.8008012587598445,160.0961902319268
2016,1,10,SHBR [AQ],53.40495,-1.455815,53.44,-1.2799999999999994,12.321947661105373,28.04,6.38,0.24,7.66,4.5,9.19,277.84015,96814.435,-0.0001432789735,7.1942809e-05,3.4937967499999996,4.92232705,6.036217302042088,215.36658302362662
