year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,27.09,5.43,0.21,6.24,6.84,21.75,277.59851,100018.595,-0.00018623634,3.6001205e-05,-4.966858,5.2793598,7.248539045215942,136.74693588425617
2016,1,2,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,21.0,5.36,0.13,6.23,6.94,18.48,281.232785,98520.47,-6.305403e-05,0.000385395475,-6.448946,2.82481865,7.040490388907851,113.65476279199103
2016,1,3,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,28.24,4.66,0.13,5.32,4.17,7.02,280.02788499999997,96987.7825,-9.5982105e-05,0.00225418536,-5.42636115,5.3451930999999995,7.616855296414454,134.56826112856137
2016,1,4,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,22.08,7.33,0.17,8.15,7.34,15.46,279.82117,96627.1575,-8.527632000000001e-05,0.00055008364,-5.81249285,2.7566227999999997,6.43304301188644,115.37303356247509
2016,1,5,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,18.12,11.03,0.28,13.82,7.6,14.9,280.31488,97094.28,-6.119313e-05,0.000873906305,-5.3898602,1.10877035,5.5027233861591816,101.62438663585155
2016,1,6,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,13.71,7.67,0.17,9.07,6.69,13.02,279.43518,98041.72,-0.0001058020875,0.000333553995,-5.7297306500000005,3.0235517,6.4785552559287725,117.82039833994611
2016,1,7,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,25.72,3.5,0.12,4.2,5.45,15.43,278.86633,96769.28,-0.00024128519,0.00212705135,4.87646485,0.6829399999999999,4.924054881587483,262.0276824908657
2016,1,8,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,27.04,5.25,0.21,6.06,6.63,17.74,277.3866,97748.9375,-0.000116877492,0.0010124402179999999,1.684555065,4.1937328,4.51941595394947,201.88453528035436
2016,1,9,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,20.45,7.73,0.18,8.88,7.87,11.56,279.23706,96907.0,-4.6267525e-05,0.0016283328,-2.80393835,4.572579299999999,5.363818763286956,148.4830762982358
2016,1,10,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,29.6,3.2,0.12,3.7,3.97,8.29,278.22533999999996,96203.25,-0.000257168545,0.000618487581,6.0333478000000005,7.0856572,9.306332447945145,220.41397576122156
2016,1,11,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,21.39,6.03,0.17,7.04,11.53,17.58,276.35315,96549.405,-6.6253123e-05,1.3317169050000001e-05,1.354001005,-0.352691648,1.3991819467495876,255.39996815231157
2016,1,12,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,20.57,4.46,0.93,5.26,7.0,11.77,278.00836000000004,97972.375,-0.00014067546,0.00112971665,2.5511559999999998,-4.9417100000000005,5.561375249022134,207.30502857235442
2016,1,13,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,25.5,4.99,0.25,5.68,6.56,19.77,276.47436500000003,99267.4675,-0.000142752775,0.00015130639025,2.275589928,3.222619,3.9450706887933005,215.2270856207357
2016,1,14,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,29.35,4.18,0.89,4.75,7.4,17.14,275.00855,99009.0925,-0.00031903538,0.001257300385,5.1132989,-8.710771699999999,10.100661822388773,210.41330538800395
2016,1,15,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,32.92,2.9,0.97,3.44,4.46,22.92,275.59229000000005,100366.03,-0.000183724685,5.5730343225e-06,5.0060792,-3.14671615,5.9129224149605975,237.84739478852282
2016,1,16,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,29.3,6.69,1.48,7.38,6.32,16.73,274.641485,101175.69,-0.000141960803,2.4914741499999997e-05,1.8753042,-2.13146355,2.838996778356087,221.3419635422554
2016,1,17,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,21.03,10.28,0.65,11.2,11.93,20.32,274.70423000000005,100729.0625,-0.00017090363,1.83582308225e-05,-1.1264615,5.55331065,5.666407564443778,168.53341461659295
2016,1,18,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,15.99,9.71,0.34,11.04,21.64,30.45,276.161495,99763.5,-9.552273e-05,0.00016106665,1.3064494,2.6520324,2.956363625369877,206.22586970689792
2016,1,19,SOTR [AQ],54.565819,-1.3159,54.44,-1.2799999999999994,14.197245903573736,13.03,12.22,2.26,14.54,18.99,25.5,277.08129499999995,100082.9675,-8.66645725e-05,6.850808650000001e-05,-0.06522893499999999,-1.9197922,1.9209000247649732,178.05400527662943
