year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,STE [AQ],51.886944,-0.200833,51.94,-0.2799999999999993,8.032711185623617,21.98,8.23,0.27,9.83,10.26,28.36,279.390985,100583.7175,-9.5294557e-05,0.00028771162,-4.961364850000001,3.02398875,5.810305425271729,121.36261804014188
2016,1,2,STE [AQ],51.886944,-0.200833,51.94,-0.2799999999999993,8.032711185623617,25.03,6.15,0.12,6.99,7.77,17.34,282.67102,98689.72,-9.679026e-05,0.000538132405,-2.525362025,3.1784562000000003,4.059561204444458,141.5319901212599
2016,1,3,STE [AQ],51.886944,-0.200833,51.94,-0.2799999999999993,8.032711185623617,29.52,6.22,0.12,7.01,5.57,15.9,281.02295000000004,97672.095,-0.00014610961,0.00205331775,-0.9439392,5.1131375,5.199538085945989,169.54035797968544
2016,1,4,STE [AQ],51.886944,-0.200833,51.94,-0.2799999999999993,8.032711185623617,22.44,10.87,0.28,12.33,9.5,28.03,281.02485,97244.8425,-7.56278175e-05,0.00013273193,0.39478255500000003,4.105988,4.124923117086709,185.4919929527805
2016,1,5,STE [AQ],51.886944,-0.200833,51.94,-0.2799999999999993,8.032711185623617,15.44,11.98,0.27,14.33,11.28,21.52,280.99994,97609.9075,-6.730260555e-05,0.00011501997999999999,-0.253141405,2.1514949999999997,2.1663359171537486,173.28952368906215
2016,1,6,STE [AQ],51.886944,-0.200833,51.94,-0.2799999999999993,8.032711185623617,11.51,11.99,0.3,14.4,17.81,25.37,279.076415,98640.595,-5.1651268000000004e-05,9.6101965e-06,0.37329676500000003,0.22643239999999998,0.4366029163086582,238.7600565330934
2016,1,7,STE [AQ],51.886944,-0.200833,51.94,-0.2799999999999993,8.032711185623617,27.49,4.89,0.16,5.77,4.93,17.7,279.89020000000005,97822.655,-0.00011383556,0.000755429273225,7.999511849999999,-0.36552192,8.007858397367608,267.3838020676923
2016,1,8,STE [AQ],51.886944,-0.200833,51.94,-0.2799999999999993,8.032711185623617,23.18,9.55,0.31,10.89,8.09,26.42,279.950195,98827.0,-5.556666275e-05,8.1019295e-06,1.2241058,4.53089095,4.693336532828808,195.11859417587502
2016,1,9,STE [AQ],51.886944,-0.200833,51.94,-0.2799999999999993,8.032711185623617,29.87,5.7,0.13,6.56,5.48,16.92,282.272945,97770.0,-0.000147111135,0.00151621654,-1.121809505,7.398507350000001,7.483072067908499,171.37811733540542
2016,1,10,STE [AQ],51.886944,-0.200833,51.94,-0.2799999999999993,8.032711185623617,28.87,5.27,0.19,5.99,4.77,19.13,278.97766,97554.0,-9.473844e-05,1.54972079e-06,3.33095505,4.53902615,5.630099460533918,216.2730071618128
