year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,25.01,7.82,0.32,9.0,9.03,23.55,277.94495,99586.845,-0.000110538445,0.00033950805109999997,-5.4678345,3.619814,6.5574589220205,123.50534283110221
2016,1,2,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,21.88,6.86,0.26,7.87,8.98,15.91,282.09094500000003,98034.78,-5.678064e-05,0.00057213685,-3.2865924499999997,-0.6175641999999999,3.3441105653848586,100.64202058744661
2016,1,3,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,28.37,7.1,0.25,7.9,6.33,12.69,279.96398999999997,96642.97,-9.6786768e-05,0.0020775768,-2.10897835,3.5635769999999996,4.140878012655977,149.38231653361333
2016,1,4,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,24.15,9.58,0.28,10.95,11.01,18.93,279.9068,96296.28,-5.7865631e-05,0.00023426844000000002,-2.21337175,2.4962467999999998,3.336204818383952,138.4372419574556
2016,1,5,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,11.03,12.98,0.46,16.76,14.83,21.06,279.876585,96834.28,-5.22896881e-05,0.00023944467699999998,-1.74069025,0.8077449999999999,1.918972259171576,114.89305311007143
2016,1,6,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,7.71,15.73,0.62,21.76,24.93,33.5,279.48852999999997,97786.155,-6.052491e-05,1.7835637500000002e-05,-1.1683292299999999,1.06542172,1.5811757116526142,132.36228428192038
2016,1,7,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,27.63,5.0,0.25,5.83,4.68,19.2,278.412355,97135.3425,-0.00015958212250000002,0.0004278421404,7.45800775,-1.2230658699999999,7.557629901061504,260.68675570911023
2016,1,8,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,26.24,8.86,0.37,9.98,7.67,22.21,278.846185,97795.75,-9.36316755e-05,0.0001286821273,1.6132659999999999,3.8386302,4.163857466233449,202.79561661253234
2016,1,9,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,24.79,8.24,0.29,9.41,8.99,15.18,280.917845,96625.875,-7.17932115e-05,0.00201069668,-1.71824493,5.0027551500000005,5.289605347312995,161.04446725820904
2016,1,10,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,28.24,5.89,0.31,6.78,4.92,10.03,277.75768500000004,96526.25,-0.00012090488,3.7252902999999997e-06,2.6180643999999997,4.24312775,4.985819321372108,211.67511958558032
2016,1,11,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,19.68,9.87,0.44,11.94,12.63,23.02,276.51721499999996,96560.2175,-3.397720925e-05,4.51460495e-05,2.3232393,-0.27944945,2.3399856495649267,263.1411634091036
2016,1,12,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,21.78,5.28,0.31,6.68,5.89,20.18,278.40308,98146.875,-0.000141405615,0.000473469495,5.23352915,-2.45709085,5.781619393306121,244.85040282472414
2016,1,13,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,30.18,6.41,0.33,7.38,5.35,19.93,276.949835,99312.905,-9.0449699e-05,0.0001298189143,0.86860751,4.0649042,4.156672366401524,192.06182487586995
2016,1,14,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,29.59,6.8,0.41,7.83,6.8,15.74,275.66955499999995,99212.47,-0.0001660153525,7.903576e-05,4.97511525,-4.7068653000000005,6.848821263774275,226.58703676490916
2016,1,15,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,30.9,7.14,0.4,8.16,7.24,28.49,276.65393,100505.9675,-7.4312906e-05,0.0001045316485,3.81235365,-2.523303,4.571771908404587,236.50040585338286
2016,1,16,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,11.51,18.31,1.57,28.79,22.33,39.52,274.64746,101135.25,-4.4350745e-05,0.00015112757805,0.486266125,0.6695618449999999,0.8275069840202677,215.9888511956413
2016,1,17,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,17.86,11.88,0.71,13.49,16.49,27.01,274.55652,100551.5625,-7.201579799999999e-05,0.00014942884,-2.4511685500000002,3.43929695,4.2233861735328455,144.5227310335349
2016,1,18,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,16.36,11.1,0.4,13.2,22.3,33.62,276.54505,99604.5625,-8.7744324e-05,0.000154435633,-2.039742,2.23381945,3.024978803522812,137.60021621338072
2016,1,19,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,6.74,16.68,0.8,24.02,38.52,48.24,276.05775,99985.155,-3.8030906499999996e-05,1.8201768500000003e-05,-0.09501409499999999,-0.041618345,0.10372928655499396,113.65451738177205
2016,1,20,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,1.54,22.5,1.54,43.37,40.61,51.88,274.730955,100278.81,-3.795465445e-05,0.0,-1.04873563,1.38725235,1.7390559232560692,142.9114329068341
2016,1,21,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,16.13,12.32,0.48,15.78,24.68,30.76,277.67407000000003,99998.81,-7.18634125e-05,0.000256285075,-1.5711507999999998,4.9272098,5.171644926863858,162.3139574316278
2016,1,22,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,26.75,6.8,0.3,8.18,9.04,32.15,281.73584,99541.8125,-4.2072263e-05,0.000576496113935,3.02441405,3.97448655,4.994359186318932,217.26958087627472
2016,1,23,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,27.12,7.42,0.25,8.58,11.2,43.77,281.84748,100835.125,-9.80233e-05,0.00031149387464499996,0.662899025,5.387132149999999,5.42776454158704,187.0151122405851
2016,1,24,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,25.82,6.86,0.22,7.82,9.34,20.89,286.15990999999997,100542.9075,-6.98509165e-05,4.2595934e-06,2.7914037499999997,4.1225933,4.978725782036901,214.1018891799172
2016,1,25,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,27.3,5.61,0.31,6.67,8.28,22.98,284.24396,99624.28,-9.351467999999999e-05,6.2391165e-05,3.342202205,4.13155705,5.314139557492968,218.97095229346687
2016,1,26,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,32.74,4.13,0.25,4.91,3.66,16.31,283.922675,98752.125,-0.000304177865,0.001140721075,5.4222126,7.8937023,9.57658213981502,214.48531309799108
2016,1,27,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,34.35,3.7,0.24,4.43,3.48,15.59,283.05127,98626.815,-0.000185498855,0.000350147087,6.81066415,3.052063445,7.463259169853376,245.8614136636596
2016,1,28,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,37.17,3.89,0.24,4.61,4.08,24.81,280.84227999999996,100104.72,-0.00017216243,0.000371068705,4.60379555,5.8610162500000005,7.452948741871492,218.14943678071546
2016,1,29,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,39.02,3.65,0.21,4.33,4.56,33.78,283.404175,99321.5625,-0.00011694885499999999,0.0001085847625,6.8084455,3.91272165,7.852663295777362,240.11459949047574
2016,1,30,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,36.47,3.08,0.21,3.74,4.38,38.37,277.75464,99010.375,-0.00020679563500000003,2.4372414999999998e-05,6.70030925,1.47786285,6.861357201679977,257.56163296390054
2016,1,31,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,33.54,4.15,0.23,4.97,4.61,25.91,282.53747,98630.6575,-6.0030724999999996e-05,0.000320270955,5.2412448000000005,2.36848685,5.751554312718429,245.68207690955194
2016,2,1,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,37.48,2.92,0.19,3.58,5.47,49.28,284.36803999999995,99145.905,-0.000123035865,1.9642046e-05,8.622834000000001,4.27887635,9.626112871255216,243.60818698264404
2016,2,2,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,37.25,3.29,0.23,4.02,4.49,38.58,279.231265,99454.5625,-0.0001903752575,3.29613685e-05,7.429274749999999,0.939721085,7.488471074163345,262.7910016080698
2016,2,3,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,27.72,5.11,0.32,6.32,5.36,27.8,278.73382000000004,100597.5325,-0.00017583813000000002,0.00017262250200000002,4.79536245,-2.422946,5.372724480725398,243.19396395593972
2016,2,4,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,31.53,5.28,0.29,6.21,5.25,20.34,283.58716,100674.655,-0.000101198559,0.0001082880657,4.4779839500000005,-0.3981575999999999,4.495650089908619,264.9189375574019
2016,2,5,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,33.57,5.02,0.25,5.94,4.41,12.49,282.802735,99287.28,-0.0001102639375,0.0001063847615,3.41254835,7.00259675,7.789855421264138,205.9811837744739
2016,2,6,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,33.92,5.12,0.25,5.98,3.29,6.5,282.170535,96936.75,-0.000213857855,0.0037793105,0.7425327500000001,8.3465885,8.379552164236152,185.08378808892797
2016,2,7,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,33.54,3.73,0.21,4.5,4.18,29.54,279.305115,96996.22,-0.0002098697,0.00072966597,4.10259575,6.283120800000001,7.503925564350349,213.14273294213584
2016,2,8,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,35.49,2.98,0.19,3.83,3.68,24.16,280.01757999999995,96369.875,-0.00035456033,0.0015601636499999998,8.5897465,2.3615383999999997,8.90845713627993,254.62772935185166
2016,2,9,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,33.29,4.25,0.26,5.17,5.12,39.76,277.634885,96692.06,-0.00020517688,0.000356386007,5.136008650000001,1.1998048,5.274288237381217,256.8511375874679
2016,2,10,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,27.9,6.42,0.37,7.63,6.02,25.65,278.58801,98201.8425,-0.00017627981,1.9967555e-06,3.37623835,-2.1595588,4.0078272925199965,237.39561254761395
2016,2,11,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,20.99,9.35,0.49,11.22,10.77,23.05,278.01697,98514.095,-0.000103879255,3.939867e-05,0.6598834500000001,2.06440545,2.1673061688588455,197.72638450876053
2016,2,12,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,20.49,6.68,0.23,8.5,12.67,25.78,277.40174,97837.25,-0.0001479993825,0.000207349653,-3.039701,0.5332961150000001,3.0861281431066816,99.95090533113839
2016,2,13,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,21.78,5.17,0.27,6.48,16.15,30.67,276.828125,97148.7825,-0.000201326097,0.00016126036,-4.38577115,-2.0943388499999998,4.8601691121597455,115.52589158514755
2016,2,14,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,29.15,4.92,0.33,5.83,8.33,19.47,276.33209999999997,98674.25,-0.00019502907500000002,4.8266518e-06,-1.44795515,-4.393641499999999,4.6260847103067375,161.76000435516562
2016,2,15,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,22.72,10.5,0.78,13.61,9.51,26.91,275.89087,101356.4375,-0.000166672862,1.0430813e-07,1.06366255,-3.4432979,3.603842178622271,197.16634140117668
2016,2,16,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,22.22,10.08,0.63,11.83,13.21,27.35,278.122925,101112.0,-0.000166101965,8.6426735e-06,0.701576715,6.4989187,6.536677608406268,186.16138137808218
2016,2,17,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,32.3,7.78,0.32,9.09,7.92,13.46,277.29278999999997,99425.81,-7.15065965e-05,0.0023074745999999997,1.007037425,0.9658284500000001,1.395331132806845,226.19661304908993
2016,2,18,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,27.64,9.08,0.44,10.73,13.49,35.23,277.8219,99786.28,-0.000215846465,4.82201575e-05,3.02769275,0.3370690265,3.0463976951521317,263.6474949928622
2016,2,19,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,31.33,5.9,0.27,7.08,6.47,24.21,280.34601,99201.8125,-0.00018478872,0.000241487359,3.2099261,6.3051542000000005,7.075209894641914,206.98044300820123
2016,2,20,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,36.19,3.3,0.2,4.04,3.63,18.36,282.143685,98777.2175,-0.0002479935,0.00090571295,6.6497841,2.3801778,7.062922549216128,250.30603059929362
2016,2,21,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,36.4,3.32,0.19,4.03,4.28,27.94,285.608155,98689.9375,-0.00010319741000000001,3.5548834e-05,7.53207265,4.193377,8.620703513577475,240.89373303314915
2016,2,22,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,37.57,5.06,0.29,5.98,5.36,28.58,278.909485,99255.28,-0.00024123781,9.0062619e-05,4.43248525,-1.4931984,4.677239244814202,251.3825580869829
2016,2,23,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,20.6,9.5,0.54,11.53,11.21,36.57,278.096495,100228.22,-0.00026576279,9.3877315e-07,1.0936550999999999,-2.0211644499999997,2.2980833778824934,208.4178863305197
2016,2,24,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,18.7,12.84,0.84,14.99,14.23,28.88,276.832455,100020.6875,-0.000178609975,6.3441695e-06,1.5317397499999998,-1.2568631,1.9813963545620223,230.62954271701113
2016,2,25,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,21.87,11.76,0.59,13.73,14.01,22.53,277.081055,99932.875,-0.00022507063,1.1036007e-05,1.7137902,-1.25806665,2.125984135749433,233.7181884442979
2016,2,26,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,17.41,12.13,0.78,14.7,21.71,29.02,277.793275,99055.2175,-0.000168243075,4.6223403e-05,-2.46817685,2.077261475,3.2259746121746056,130.08456102817848
2016,2,27,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,26.27,6.1,0.31,7.44,16.79,24.1,277.811035,99775.595,-0.000195017085,7.8808515e-06,-3.0848198,-2.2157922,3.7981374740855394,125.68927231514107
2016,2,28,STOK [AQ],53.02821,-2.175133,52.94,-2.28,12.081765633767835,31.04,4.96,0.31,5.97,7.59,13.22,277.87128,100796.0925,-0.00020169222500000003,4.06913459e-05,-2.4886927500000002,-2.2681189,3.367187988283365,132.34509051665117
