year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,SUNR [AQ],54.91839,-1.408391,54.94,-1.2799999999999994,8.575091683306038,28.76,5.82,0.73,6.79,6.76,23.68,278.40063499999997,100585.28,-0.000274525725,1.01923945e-05,-4.8312378,6.689027749999999,8.251299953366068,144.16080849788273
2016,1,2,SUNR [AQ],54.91839,-1.408391,54.94,-1.2799999999999994,8.575091683306038,22.74,4.47,0.09,5.34,7.59,28.39,281.360595,99144.53,-0.0001153869075,0.0005682327499999999,-7.3642293,4.34703535,8.55152556665348,120.55295421225054
2016,1,3,SUNR [AQ],54.91839,-1.408391,54.94,-1.2799999999999994,8.575091683306038,29.67,4.33,0.15,5.14,4.05,12.65,280.71087,97572.405,-0.00014353171,0.0017166111,-6.81137075,6.3022244,9.279698480118356,132.77656000907754
2016,1,4,SUNR [AQ],54.91839,-1.408391,54.94,-1.2799999999999994,8.575091683306038,26.35,5.15,0.22,6.11,5.46,15.81,280.223935,97230.0925,-0.00015184726,0.000780097985,-7.7595142,3.4391179000000003,8.487496247427863,113.90354573755658
2016,1,5,SUNR [AQ],54.91839,-1.408391,54.94,-1.2799999999999994,8.575091683306038,23.89,5.43,0.17,6.34,3.72,13.02,280.440435,97716.78,-0.00011608156,0.001634998,-8.1283855,0.932744985,8.181727448629227,96.54614771342233
2016,1,6,SUNR [AQ],54.91839,-1.408391,54.94,-1.2799999999999994,8.575091683306038,17.29,5.25,0.11,6.44,6.86,18.46,279.408995,98632.1575,-0.00020433601,0.00042500242,-7.4854678,4.0809248,8.525618769807378,118.59831995876323
2016,1,7,SUNR [AQ],54.91839,-1.408391,54.94,-1.2799999999999994,8.575091683306038,25.28,4.58,0.18,5.51,6.03,16.36,279.243165,97243.22,-0.00029698573,0.0027632117,3.30371075,1.4700494000000002,3.6160129919713957,246.01241089742905
2016,1,8,SUNR [AQ],54.91839,-1.408391,54.94,-1.2799999999999994,8.575091683306038,25.31,7.23,0.65,8.32,7.19,20.51,277.403815,98240.8125,-0.00014239572799999999,0.001011575925,1.69261166,3.784431,4.145702862643312,204.09689479837306
2016,1,9,SUNR [AQ],54.91839,-1.408391,54.94,-1.2799999999999994,8.575091683306038,17.94,10.17,0.7,11.77,8.03,10.66,279.449095,97455.25,-7.7820732e-05,0.00092723321,-2.98264935,4.412179,5.325741326153236,145.94116093653872
2016,1,10,SUNR [AQ],54.91839,-1.408391,54.94,-1.2799999999999994,8.575091683306038,26.36,4.7,0.64,5.49,4.81,9.14,278.67828,96507.56,-0.00032806827500000003,0.0006541013868999999,7.2403788,8.217737,10.952364428225462,221.38222018119473
