year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,21.15,12.53,0.71,14.82,9.84,28.87,280.55395,100909.155,-0.00012313737500000002,0.00023299455,-5.113098,3.5316792,6.214219913176282,124.63331109423925
2016,1,2,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,26.13,6.92,0.33,8.18,6.53,17.52,283.15166999999997,99052.655,-0.00012624985500000002,0.0006508447849999999,-0.6061725500000001,5.13341235,5.169078014066534,173.26548579722476
2016,1,3,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,31.05,7.25,0.32,8.37,4.48,17.22,281.43689,98089.905,-0.00019301847,0.00248956415,-0.3033142500000001,5.47116965,5.479570865800915,176.8268476057173
2016,1,4,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,27.56,8.6,0.43,10.02,5.26,15.31,281.64806999999996,97644.2825,-0.00011606957,0.000129870898,1.8327708,4.544831,4.90046300097181,201.9624904316346
2016,1,5,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,14.53,15.62,0.83,20.83,9.15,17.6,281.36773,97947.72,-7.51704207e-05,8.921117e-05,0.6987629,2.9198055,3.0022547773709443,193.45879649305454
2016,1,6,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,6.54,20.3,0.95,32.01,21.42,31.58,279.70178,98954.97,-6.9294241e-05,2.33788695e-05,0.7966365900000001,0.179679525,0.8166483871477699,257.28975297580064
2016,1,7,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,24.41,9.41,0.48,11.07,5.73,18.91,280.71094,98179.5325,-0.000164767725,0.0005334019592899999,8.11914065,0.15156793500000004,8.120555260165563,268.93052790012507
2016,1,8,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,26.99,7.87,0.4,9.23,5.87,25.65,280.66650500000003,99228.6875,-7.8357988e-05,4.87821e-05,1.3205414000000002,4.5959544999999995,4.781906247009053,196.0307826473338
2016,1,9,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,31.12,5.74,0.3,6.86,4.83,16.03,282.73987,98227.56,-0.00017347129,0.001342141155,-0.34031533,8.167916349999999,8.17500287611144,177.61415763247808
2016,1,10,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,29.02,7.37,0.4,8.68,4.28,19.04,279.60925,97975.685,-0.000122156577,4.702806485e-05,3.5084452500000003,4.5082645,5.712585830795701,217.89095466241915
2016,1,11,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,20.97,13.5,0.49,16.26,7.81,14.01,279.15802,97583.28,-0.00010225432749999999,6.45771615e-05,4.1672335,0.4439392,4.190813412312566,263.9191624223987
2016,1,12,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,17.84,10.15,0.42,12.33,8.58,25.84,279.28021,99138.4375,-0.00015803531,4.5269727749999995e-05,7.80530625,0.0029921499999999712,7.8053068235176175,269.978035767884
2016,1,13,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,22.83,10.98,0.58,13.12,6.9,25.59,277.829955,100755.7825,-0.000112339506,7.8082085e-06,2.6552286,2.56600275,3.6925071470838784,225.97903477530255
2016,1,14,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,24.62,10.28,0.43,12.22,7.32,16.3,276.81018,99925.5925,-0.00023199024,0.0002495944485,7.6264825,-2.8212452,8.1315840892983,249.69918279893858
2016,1,15,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,23.63,11.94,0.53,13.7,9.37,28.09,276.12048,101408.595,-0.00012955896,0.0,4.23520525,-3.6180296,5.570197635282228,229.49356594652323
2016,1,16,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,14.76,17.72,0.99,23.41,16.21,35.55,275.14112,102185.06,-8.5686567e-05,0.0,2.30450345,-1.81578975,2.9339101157443395,231.7643284549136
2016,1,17,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,8.58,20.35,2.17,54.26,28.0,45.28,276.569335,101825.6875,-9.0455987e-05,3.4868717999999996e-05,-3.1606411999999997,2.6187403,4.104564965252899,129.64335058863955
2016,1,18,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,18.66,10.97,0.82,13.19,14.53,24.05,275.04992500000003,100741.9375,-9.821238850000001e-05,0.0,-2.7382283000000003,2.08233025,3.440057193272512,127.2517641653412
2016,1,19,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,2.08,18.51,2.03,42.25,33.42,43.87,273.739015,101032.845,-6.03565725e-05,0.0,0.33296441499999996,-1.03722383,1.0893569548941069,197.79740971354704
2016,1,20,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,1.79,16.83,1.87,36.24,39.44,53.02,275.18688999999995,101386.875,-3.670295785e-05,0.0,-0.8476858085000001,-0.262894155,0.8875159529075873,107.23031491609069
2016,1,21,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,18.93,12.39,0.98,15.31,19.74,25.56,277.979855,101484.565,-8.110212999999999e-05,5.9604645e-08,-1.1442709,4.7914677,4.926207325390406,166.56852079905076
2016,1,22,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,22.58,10.2,0.57,11.96,9.93,23.19,280.95441000000005,100965.1875,-6.731483246000001e-05,0.001388251782,2.617553655,3.74829025,4.571790342420453,214.92785641792815
2016,1,23,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,23.03,9.99,0.45,11.95,11.86,48.89,281.51275999999996,102353.625,-9.24074245e-05,1.937151e-06,1.42742537,4.5682845,4.786101384201957,197.3521560136661
2016,1,24,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,23.47,7.72,0.33,9.31,9.77,21.59,285.447995,102008.7175,-5.57674575e-05,3.40879925e-05,2.8478003000000003,4.048985,4.950176368464572,215.120132328807
2016,1,25,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,25.56,7.63,0.4,9.1,9.55,22.68,284.75251000000003,101238.53,-0.0001828322415,2.93552875e-06,4.2829981,5.4147601,6.903890183451328,218.34349479642864
2016,1,26,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,30.13,5.41,0.28,6.59,4.76,28.01,283.50611,100760.375,-0.0002115448,0.00029513980499999996,6.084566199999999,8.28921025,10.282652985046587,216.27995318833666
2016,1,27,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,29.99,7.36,0.35,8.6,4.49,18.68,284.83179,100122.875,-0.000145355125,0.00044837552,5.72399425,5.4848025,7.9276206164295795,226.22248608501815
2016,1,28,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,29.03,10.43,0.54,11.97,6.19,27.8,280.51666,101798.595,-0.000164153055,6.2584875e-07,4.02152015,3.9817438,5.659232103889578,225.28475859714737
2016,1,29,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,36.82,5.78,0.26,6.86,5.06,36.98,284.251465,101025.3125,-0.00010750151749999999,0.0001152008755,7.18930475,6.1706563,9.474339130572762,229.36015863306602
2016,1,30,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,32.86,8.02,0.43,9.36,4.64,27.33,279.129275,100322.375,-0.00023515254500000002,4.92275535e-05,5.8541178,0.6955142,5.8952892396114445,263.2245807490408
2016,1,31,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,27.82,9.62,0.45,11.18,7.08,32.57,283.63392,100033.53,-0.00010989001000000001,0.00048995043025,5.51370585,3.29927305,6.42543032479386,239.10468132759397
2016,2,1,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,31.22,6.79,0.32,8.08,6.92,47.39,285.134645,100811.405,-0.00013456936,2.248816765e-05,8.206574,5.31561945,9.777712767037816,237.06778049416695
2016,2,2,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,31.23,8.36,0.47,9.78,6.3,41.92,280.86426,100771.4375,-0.00018501083500000002,4.1723250400000004e-05,6.7163839,1.651391,6.916422841835237,256.1864130855756
2016,2,3,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,19.97,11.67,0.57,13.87,7.61,31.83,279.25549,101627.3425,-0.00023504789,0.00042892247400000004,5.8633557,-2.0069303499999998,6.197314700293475,251.10476704044925
2016,2,4,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,20.2,14.42,0.58,16.96,9.14,27.17,284.25653,101782.155,-0.00015125901,0.00011494888195,4.6187309999999995,-0.935022835,4.712424402824138,258.5556235063741
2016,2,5,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,29.49,7.27,0.34,8.67,5.93,16.97,283.20044,100995.97,-0.0001202253625,8.8860999e-05,3.5778315000000003,6.47098065,7.39421860747075,208.9383841832896
2016,2,6,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,33.64,4.62,0.3,5.73,6.44,18.84,284.19324,98898.875,-0.000169616305,0.000244099443,2.2356968,10.3208315,10.560203740123697,192.22255962190582
2016,2,7,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,33.11,5.53,0.29,6.8,4.11,31.39,281.02972,98836.595,-0.00025849219,0.00011371158,5.8174395,6.82206115,8.965663426121882,220.45553051870334
2016,2,8,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,34.83,5.29,0.29,6.55,5.44,55.09,282.003355,98056.0625,-0.00030784519,4.2659229e-05,10.7162115,5.9363677,12.250618367345199,241.01523873220484
2016,2,9,THUR [AQ],51.47707,0.317969,51.44,0.2200000000000006,7.96083442825662,31.74,9.43,0.5,11.35,6.51,39.06,277.92553499999997,97909.185,-0.000163528135,0.00020165235049999998,4.47902635,0.32504895,4.490805480522445,265.84924501164414
