year,month,day,site_id,original_lat,original_lon,nearest_lat,nearest_lon,distance,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,2m_temperature,surface_pressure,evaporation,total_precipitation,u10,v10,wind_speed,wind_angle
2016,1,1,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,23.68,7.36,0.25,8.75,10.66,25.09,276.81641,99799.905,-6.0895224000000005e-05,6.8843365e-05,-4.6885376,3.3154926500000004,5.742375496152945,125.26598579120156
2016,1,2,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,23.5,5.16,0.15,6.31,8.86,20.4,281.39704,98228.6575,-4.2848057e-05,0.000190577715,-5.30002025,1.043690665,5.401805703153179,101.14025987035606
2016,1,3,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,25.47,7.0,0.21,8.0,5.96,9.92,279.60382500000003,96754.595,-7.979944249999999e-05,0.00237458662,-4.130462700000001,3.87729765,5.665170710824769,133.189199171772
2016,1,4,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,19.99,8.81,0.17,10.24,12.7,23.91,279.438535,96387.97,-5.0333095e-05,0.000257544045,-3.50219015,1.5758367,3.8403902343152465,114.2257199467623
2016,1,5,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,13.24,10.59,0.37,12.95,12.66,20.26,280.14239499999996,96852.405,-3.527256161e-05,0.00035585255,-2.4338055,0.5394344325,2.492869575167712,102.4971444783726
2016,1,6,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,11.02,11.27,0.32,13.79,11.14,16.23,279.65106000000003,97807.22,-3.8813916e-05,0.00011216743999999999,-3.2023869,1.6076580150000002,3.5832731057631304,116.65750549755472
2016,1,7,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,24.74,5.16,0.18,6.26,7.21,20.48,278.631165,96651.9075,-0.000138079746,0.0014058947349999999,5.9667968,0.02461481999999998,5.966847571528359,269.7636391272416
2016,1,8,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,23.96,9.57,0.4,11.0,7.89,21.42,277.506105,97623.875,-5.3450698e-05,0.000780458935,1.35374451,3.8952708000000005,4.12380392401091,199.16414925818586
2016,1,9,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,21.77,7.9,0.19,9.22,8.77,13.04,279.444575,96714.75,-1.79106142e-05,0.0021564002,-2.28855755,4.4252405,4.981992487198496,152.65380111416684
2016,1,10,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,27.05,5.89,0.26,6.96,5.15,9.52,277.68982,96213.935,-0.000132624642,0.000308960676,4.2975077,5.2279911,6.767603961021839,219.4208522810456
2016,1,11,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,14.69,11.13,0.32,14.03,16.4,25.96,275.396735,96374.345,-2.96856735e-05,5.319267605e-05,1.92675495,-0.5160217465,1.9946586375143023,255.00695550301074
2016,1,12,YK11 [AQ],53.951889,-1.075861,53.94,-1.2799999999999994,13.469067023003012,18.67,5.56,0.27,7.04,6.92,13.64,277.618165,97806.5625,-9.03691385e-05,0.0008738339,3.83728885,-2.9800401,4.858541418568163,232.16707193358536
