timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,BPLE [AQ],35.08,1.55,0.12,1.78,4.52,19.66,7.38,88.53,1008.02
2016-01-02,BPLE [AQ],36.31,1.58,0.16,1.81,3.81,19.5,10.07,89.85,995.21
2016-01-03,BPLE [AQ],38.95,1.3,0.15,1.5,3.18,17.54,8.84,87.16,986.63
2016-01-04,BPLE [AQ],34.84,1.52,0.18,1.77,3.09,12.65,9.06,89.22,978.9
2016-01-05,BPLE [AQ],28.06,2.83,0.26,3.19,4.74,10.01,8.34,88.96,983.37
2016-01-06,BPLE [AQ],21.85,2.69,0.2,3.17,6.99,15.32,8.45,84.05,992.21
2016-01-07,BPLE [AQ],36.58,1.37,0.18,1.58,3.3,24.55,8.03,78.26,989.78
2016-01-08,BPLE [AQ],34.53,1.83,0.22,2.09,4.06,21.67,6.59,84.76,996.04
2016-01-09,BPLE [AQ],35.06,1.37,0.17,1.59,2.84,9.24,7.87,88.19,984.48
2016-01-10,BPLE [AQ],33.17,1.54,0.21,1.78,3.75,15.94,6.38,83.6,982.66
2016-01-11,BPLE [AQ],28.26,2.2,0.26,2.53,4.59,11.19,6.48,87.23,983.45
2016-01-12,BPLE [AQ],34.14,1.0,0.15,1.22,4.1,41.5,7.11,68.63,1003.99
2016-01-13,BPLE [AQ],36.35,1.72,0.24,1.96,3.89,16.75,5.72,78.6,1012.48
2016-01-14,BPLE [AQ],33.86,1.63,0.2,1.88,4.11,16.86,6.15,67.98,1011.46
2016-01-15,BPLE [AQ],36.68,1.21,0.17,1.43,3.32,23.5,5.89,64.29,1024.47
2016-01-16,BPLE [AQ],25.19,2.55,0.35,2.89,6.44,21.21,4.46,86.24,1029.08
2016-01-17,BPLE [AQ],31.08,2.1,0.19,2.37,6.01,12.13,6.53,95.28,1020.33
2016-01-18,BPLE [AQ],30.18,1.81,0.15,2.11,4.15,8.22,6.15,88.8,1009.13
2016-01-19,BPLE [AQ],21.98,4.16,0.42,4.75,20.12,25.23,1.97,80.01,1015.4
2016-01-20,BPLE [AQ],28.21,3.72,0.27,4.07,18.75,22.27,1.3,82.89,1017.33
2016-01-21,BPLE [AQ],27.56,1.86,0.13,2.16,7.8,13.43,7.7,91.01,1015.09
2016-01-22,BPLE [AQ],33.13,1.67,0.18,1.91,5.09,34.64,10.58,89.76,1014.73
2016-01-23,BPLE [AQ],33.96,1.49,0.15,1.71,5.94,33.04,10.47,89.45,1025.16
2016-01-24,BPLE [AQ],32.16,1.62,0.17,1.85,6.86,20.2,13.1,90.67,1022.89
2016-01-25,BPLE [AQ],32.87,1.63,0.2,1.87,6.09,28.92,11.26,82.77,1017.49
2016-01-26,BPLE [AQ],37.36,1.05,0.14,1.26,3.18,19.59,10.83,87.88,1012.27
2016-01-27,BPLE [AQ],38.36,1.15,0.16,1.37,3.67,26.77,10.64,85.39,1008.98
2016-01-28,BPLE [AQ],40.62,1.29,0.19,1.5,3.86,30.38,8.54,77.58,1022.62
2016-01-29,BPLE [AQ],43.25,0.98,0.13,1.16,4.68,45.79,10.96,91.2,1016.71
2016-01-30,BPLE [AQ],41.41,1.24,0.18,1.43,3.94,32.06,7.26,77.1,1011.47
2016-01-31,BPLE [AQ],38.76,1.09,0.15,1.28,4.82,44.63,10.17,93.25,1010.42
2016-02-01,BPLE [AQ],39.25,1.11,0.16,1.32,5.71,56.39,11.19,84.18,1017.05
2016-02-02,BPLE [AQ],40.31,1.1,0.17,1.31,4.01,38.72,8.06,74.96,1017.08
2016-02-03,BPLE [AQ],37.16,1.19,0.19,1.42,3.74,34.12,7.47,70.35,1025.82
2016-02-04,BPLE [AQ],36.59,1.81,0.23,2.09,4.65,26.03,9.94,95.96,1027.26
2016-02-05,BPLE [AQ],37.67,1.41,0.17,1.66,3.89,13.2,9.96,85.62,1014.91
2016-02-06,BPLE [AQ],39.87,1.09,0.13,1.28,2.45,10.21,8.58,89.29,991.44
2016-02-07,BPLE [AQ],38.98,0.92,0.13,1.13,4.19,41.69,7.98,81.55,989.52
2016-02-08,BPLE [AQ],40.85,0.86,0.13,1.08,5.18,68.99,8.0,75.73,988.78
2016-02-09,BPLE [AQ],40.94,1.13,0.17,1.36,3.99,39.48,6.59,72.84,989.64
