timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,BRAD [AQ],22.35,11.17,0.46,13.39,10.5,26.58,2.13,92.83,983.1
2016-01-02,BRAD [AQ],18.65,8.59,0.22,10.54,10.56,17.84,6.46,100.0,968.36
2016-01-03,BRAD [AQ],22.72,11.25,0.42,12.73,8.3,14.17,5.61,99.52,956.71
2016-01-04,BRAD [AQ],17.13,13.2,0.27,15.76,14.85,27.15,4.55,100.0,949.6
2016-01-05,BRAD [AQ],5.86,16.65,0.66,24.88,18.7,28.79,5.57,100.0,953.66
2016-01-06,BRAD [AQ],8.25,16.42,0.65,21.93,20.8,30.36,5.51,99.86,962.42
2016-01-07,BRAD [AQ],24.99,6.51,0.29,8.19,6.81,22.33,4.07,91.38,954.34
2016-01-08,BRAD [AQ],22.79,13.06,0.58,15.26,10.01,23.44,3.41,93.68,962.75
2016-01-09,BRAD [AQ],20.46,11.67,0.38,13.65,9.29,15.11,5.2,96.96,953.97
2016-01-10,BRAD [AQ],27.57,7.02,0.37,8.34,6.44,12.05,3.16,91.06,946.63
2016-01-11,BRAD [AQ],17.03,12.75,0.5,16.27,16.59,26.77,1.52,98.77,950.56
2016-01-12,BRAD [AQ],20.37,6.01,0.4,7.94,7.25,15.65,3.25,95.37,963.25
2016-01-13,BRAD [AQ],26.08,9.19,0.5,10.93,8.16,24.54,2.22,93.06,976.39
2016-01-14,BRAD [AQ],29.34,6.31,0.41,7.74,7.52,17.72,0.5,87.35,973.86
2016-01-15,BRAD [AQ],30.9,5.54,0.39,6.87,6.5,26.96,0.23,88.34,987.5
2016-01-16,BRAD [AQ],23.94,12.47,1.17,15.36,14.55,31.35,-0.3,84.14,995.66
2016-01-17,BRAD [AQ],17.58,15.96,1.01,18.75,18.42,31.27,-0.52,96.73,991.0
2016-01-18,BRAD [AQ],10.1,17.34,0.61,24.3,26.94,41.81,0.77,100.0,981.96
2016-01-19,BRAD [AQ],7.87,19.03,1.21,29.11,30.5,46.71,2.07,98.4,984.32
2016-01-20,BRAD [AQ],3.28,21.21,1.72,41.0,46.84,63.67,1.36,94.84,987.3
2016-01-21,BRAD [AQ],9.53,17.67,0.79,28.02,31.82,39.65,0.99,98.95,985.35
2016-01-22,BRAD [AQ],24.9,8.93,0.32,10.87,11.2,32.42,6.71,93.77,979.71
2016-01-23,BRAD [AQ],25.7,9.48,0.47,11.2,11.89,43.16,7.07,91.39,991.05
2016-01-24,BRAD [AQ],27.59,6.65,0.35,7.85,8.53,20.1,11.08,96.03,988.75
2016-01-25,BRAD [AQ],26.56,7.67,0.44,9.36,9.01,21.1,9.54,85.42,981.92
2016-01-26,BRAD [AQ],31.63,5.54,0.3,6.77,4.44,14.7,8.2,89.46,973.15
2016-01-27,BRAD [AQ],32.79,4.99,0.31,6.33,4.38,13.9,7.8,89.53,969.64
2016-01-28,BRAD [AQ],35.3,6.15,0.33,7.42,5.52,26.36,4.77,88.11,982.45
2016-01-29,BRAD [AQ],37.03,5.28,0.26,6.37,5.78,32.46,7.95,79.03,974.43
2016-01-30,BRAD [AQ],36.31,3.63,0.25,4.63,4.99,38.06,2.29,82.32,971.54
2016-01-31,BRAD [AQ],32.1,6.16,0.33,7.56,6.24,25.05,4.77,94.96,971.65
2016-02-01,BRAD [AQ],36.25,4.5,0.24,5.64,6.99,52.87,8.58,80.43,973.61
2016-02-02,BRAD [AQ],38.01,3.85,0.25,4.98,5.16,42.09,3.97,76.64,976.18
2016-02-03,BRAD [AQ],28.92,4.54,0.31,6.04,5.51,27.18,3.01,85.96,985.94
2016-02-04,BRAD [AQ],30.78,6.23,0.32,7.56,6.51,18.51,7.22,93.92,988.42
2016-02-05,BRAD [AQ],32.22,6.98,0.31,8.35,5.94,15.45,7.17,88.6,978.5
2016-02-06,BRAD [AQ],30.22,8.09,0.37,9.53,4.78,8.59,4.83,93.57,959.02
2016-02-07,BRAD [AQ],32.42,5.02,0.29,6.3,5.42,32.59,4.06,86.83,950.99
