timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,BRIS [AQ],29.74,6.29,0.38,7.52,6.93,22.87,6.22,89.86,1005.21
2016-01-02,BRIS [AQ],29.51,6.03,0.37,7.22,6.2,16.61,9.7,95.46,988.87
2016-01-03,BRIS [AQ],35.59,4.81,0.33,5.68,4.65,18.76,7.59,89.63,981.47
2016-01-04,BRIS [AQ],30.27,5.57,0.4,6.77,5.5,17.73,8.02,89.17,973.26
2016-01-05,BRIS [AQ],19.25,11.73,0.8,14.12,10.7,18.77,7.45,91.92,976.85
2016-01-06,BRIS [AQ],11.92,11.95,0.91,17.06,13.97,22.39,6.78,92.76,986.36
2016-01-07,BRIS [AQ],31.22,6.12,0.49,7.24,4.97,22.82,7.06,81.77,982.01
2016-01-08,BRIS [AQ],30.24,7.48,0.54,8.69,7.33,27.89,6.11,84.86,990.08
2016-01-09,BRIS [AQ],33.5,3.94,0.32,4.83,4.47,13.79,7.87,89.78,979.24
2016-01-10,BRIS [AQ],30.27,5.71,0.48,6.84,5.93,19.46,5.35,86.1,976.4
2016-01-11,BRIS [AQ],21.52,11.86,0.82,14.66,10.88,19.74,5.34,92.65,976.1
2016-01-12,BRIS [AQ],25.66,5.53,0.55,6.86,6.38,33.17,5.78,79.57,993.79
2016-01-13,BRIS [AQ],31.19,7.02,0.61,8.32,6.87,25.2,4.41,83.3,1005.34
2016-01-14,BRIS [AQ],28.97,7.72,0.7,9.07,6.98,18.77,3.32,78.37,1002.81
2016-01-15,BRIS [AQ],29.56,7.72,0.48,9.04,6.08,22.05,3.42,78.7,1015.57
2016-01-16,BRIS [AQ],12.55,14.13,1.33,18.09,15.26,32.46,2.56,85.08,1021.97
2016-01-17,BRIS [AQ],18.95,8.44,0.65,10.28,14.83,26.54,4.27,96.71,1015.21
2016-01-18,BRIS [AQ],22.77,7.16,0.57,8.76,11.5,20.87,4.19,86.56,1005.35
2016-01-19,BRIS [AQ],5.63,17.49,2.17,30.36,36.89,53.31,-0.06,82.96,1009.63
2016-01-20,BRIS [AQ],10.65,16.15,1.43,26.74,32.65,43.09,-1.16,86.96,1012.33
2016-01-21,BRIS [AQ],22.89,5.76,0.43,7.25,14.64,21.55,4.88,89.92,1011.05
2016-01-22,BRIS [AQ],28.92,5.37,0.35,6.61,7.36,34.15,8.94,93.12,1008.43
2016-01-23,BRIS [AQ],31.14,5.19,0.38,6.2,8.37,42.06,9.09,91.2,1019.48
2016-01-24,BRIS [AQ],27.85,5.12,0.37,6.22,9.78,25.08,13.06,92.26,1017.16
2016-01-25,BRIS [AQ],29.52,4.83,0.37,5.95,7.8,27.8,10.62,83.09,1011.32
2016-01-26,BRIS [AQ],35.04,3.54,0.28,4.45,4.53,20.81,9.96,88.82,1005.91
2016-01-27,BRIS [AQ],34.6,4.83,0.38,5.83,4.87,22.09,10.62,85.76,1001.19
2016-01-28,BRIS [AQ],35.98,5.82,0.47,6.8,5.94,29.6,6.62,80.87,1015.2
2016-01-29,BRIS [AQ],39.34,3.99,0.26,4.87,5.58,36.82,10.53,92.28,1008.66
2016-01-30,BRIS [AQ],37.1,5.2,0.42,6.15,5.14,31.89,6.45,75.46,1003.33
2016-01-31,BRIS [AQ],34.68,4.95,0.31,5.94,6.46,43.75,9.04,94.69,1002.13
2016-02-01,BRIS [AQ],36.93,3.74,0.26,4.66,6.58,56.15,10.7,82.83,1008.17
2016-02-02,BRIS [AQ],36.65,5.02,0.36,6.04,5.51,41.28,7.07,76.88,1008.67
2016-02-03,BRIS [AQ],29.61,6.18,0.56,7.5,6.24,35.22,5.77,75.36,1016.8
2016-02-04,BRIS [AQ],31.58,6.69,0.45,8.06,7.07,28.3,9.48,93.5,1018.66
2016-02-05,BRIS [AQ],35.23,4.6,0.34,5.69,5.52,15.26,9.5,89.01,1008.52
2016-02-06,BRIS [AQ],38.63,3.55,0.26,4.39,4.2,12.56,8.92,93.52,986.04
2016-02-07,BRIS [AQ],35.61,3.61,0.26,4.59,4.75,29.54,6.79,85.17,982.43
2016-02-08,BRIS [AQ],36.95,3.53,0.24,4.58,5.91,60.88,6.85,83.56,979.82
2016-02-09,BRIS [AQ],36.24,6.3,0.55,7.67,5.96,34.77,4.47,83.56,981.61
2016-02-10,BRIS [AQ],23.37,10.06,0.7,12.12,8.39,27.75,5.32,79.88,991.49
2016-02-11,BRIS [AQ],18.98,10.44,0.68,12.88,15.29,31.35,3.31,86.1,995.68
2016-02-12,BRIS [AQ],20.58,8.09,0.34,10.35,12.9,24.27,4.23,87.42,986.83
2016-02-13,BRIS [AQ],22.59,7.9,0.45,9.81,19.56,32.57,3.55,92.67,979.49
2016-02-14,BRIS [AQ],23.11,7.43,0.46,9.1,15.92,30.73,3.16,79.52,992.41
2016-02-15,BRIS [AQ],20.68,12.48,0.85,15.53,12.34,29.99,2.37,70.66,1020.59
2016-02-16,BRIS [AQ],22.24,9.51,0.78,12.11,14.66,31.83,3.0,76.27,1024.51
2016-02-17,BRIS [AQ],36.69,5.46,0.34,6.61,5.77,12.29,5.71,88.88,1006.9
2016-02-18,BRIS [AQ],27.7,10.67,0.73,12.7,10.9,31.52,4.05,80.02,1008.09
2016-02-19,BRIS [AQ],32.62,5.79,0.4,7.04,6.9,28.68,6.29,87.3,1006.66
2016-02-20,BRIS [AQ],37.33,4.45,0.24,5.45,6.13,54.84,9.46,94.68,1003.03
