timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,CARL [AQ],30.34,4.16,0.2,4.56,5.88,21.6,4.37,73.51,1010.4
2016-01-02,CARL [AQ],20.63,4.46,0.13,4.96,6.28,11.36,8.37,84.92,996.73
2016-01-03,CARL [AQ],26.55,4.48,0.21,4.85,4.18,6.75,7.7,87.25,983.82
2016-01-04,CARL [AQ],22.34,5.28,0.18,5.8,7.4,13.24,7.5,83.86,977.25
2016-01-05,CARL [AQ],21.45,4.65,0.13,5.12,3.78,7.59,7.12,90.76,982.36
2016-01-06,CARL [AQ],11.59,6.99,0.29,7.94,8.67,12.36,7.34,85.9,990.11
2016-01-07,CARL [AQ],26.57,3.28,0.13,3.69,5.14,15.52,5.64,82.61,980.98
2016-01-08,CARL [AQ],26.95,3.11,0.24,3.54,4.74,15.29,2.4,94.14,989.55
2016-01-09,CARL [AQ],21.34,5.61,0.17,6.14,6.03,8.56,4.19,94.96,980.83
2016-01-10,CARL [AQ],26.1,3.22,0.15,3.57,4.04,8.71,5.48,82.37,970.21
2016-01-11,CARL [AQ],26.51,3.58,0.25,4.02,5.88,11.88,4.36,86.84,977.27
2016-01-12,CARL [AQ],20.6,2.98,0.17,3.44,4.83,11.33,4.1,90.59,992.07
2016-01-13,CARL [AQ],26.38,4.03,0.28,4.42,5.65,17.77,2.52,90.87,1003.87
2016-01-14,CARL [AQ],28.5,2.93,0.23,3.3,4.12,12.47,1.23,83.79,1004.57
2016-01-15,CARL [AQ],29.66,2.46,0.19,2.75,4.95,22.18,1.03,86.91,1017.25
2016-01-16,CARL [AQ],17.68,12.15,1.06,14.58,15.97,25.85,-1.44,95.22,1025.14
2016-01-17,CARL [AQ],26.98,5.34,0.32,5.86,8.75,13.96,0.97,84.81,1018.94
2016-01-18,CARL [AQ],14.77,9.28,0.68,10.54,19.61,29.06,3.3,87.74,1010.05
2016-01-19,CARL [AQ],11.93,10.53,0.4,11.63,22.21,28.34,2.88,91.76,1013.25
2016-01-20,CARL [AQ],11.19,11.25,0.34,13.61,21.94,25.87,2.48,88.76,1015.84
2016-01-21,CARL [AQ],16.92,9.69,0.41,10.6,21.53,24.92,4.13,83.6,1011.71
2016-01-22,CARL [AQ],30.36,2.67,0.14,3.0,5.12,21.82,8.98,82.75,1004.39
2016-01-23,CARL [AQ],33.72,2.36,0.15,2.61,6.34,35.3,8.9,82.66,1017.07
2016-01-24,CARL [AQ],33.53,1.67,0.1,1.89,4.85,22.51,12.29,87.99,1013.92
2016-01-25,CARL [AQ],31.32,2.21,0.13,2.51,6.82,17.35,11.34,79.51,1006.49
2016-01-26,CARL [AQ],36.26,1.17,0.09,1.4,2.26,14.85,10.02,81.65,996.34
2016-01-27,CARL [AQ],35.68,1.24,0.1,1.51,2.56,15.59,7.94,86.58,994.61
2016-01-28,CARL [AQ],39.95,1.12,0.09,1.34,3.02,26.64,7.34,82.17,1006.99
2016-01-29,CARL [AQ],40.3,1.04,0.08,1.26,4.09,42.4,8.86,74.6,998.48
2016-01-30,CARL [AQ],38.61,0.77,0.08,0.99,2.96,36.16,3.71,72.09,997.38
2016-01-31,CARL [AQ],35.16,1.65,0.13,1.95,2.98,16.37,5.76,91.66,998.02
2016-02-01,CARL [AQ],40.84,0.98,0.08,1.2,4.97,57.06,9.55,76.0,997.17
2016-02-02,CARL [AQ],39.31,0.81,0.08,1.04,3.39,42.56,5.6,71.05,1001.1
2016-02-03,CARL [AQ],29.57,1.16,0.11,1.49,3.09,20.94,4.73,80.76,1013.9
2016-02-04,CARL [AQ],35.6,1.32,0.1,1.57,2.84,11.45,8.15,90.88,1015.57
2016-02-05,CARL [AQ],37.93,1.27,0.09,1.51,2.74,12.68,8.46,84.66,1003.42
2016-02-06,CARL [AQ],34.63,2.52,0.16,2.96,3.59,9.57,6.23,80.63,984.34
2016-02-07,CARL [AQ],35.8,1.09,0.08,1.34,3.56,30.26,5.79,79.6,974.47
2016-02-08,CARL [AQ],35.73,1.16,0.09,1.46,2.89,16.53,6.52,86.96,969.76
2016-02-09,CARL [AQ],31.39,1.33,0.1,1.66,3.97,32.87,4.96,85.29,977.53
2016-02-10,CARL [AQ],30.03,1.52,0.14,1.85,3.05,17.59,3.55,82.17,992.09
2016-02-11,CARL [AQ],28.17,2.82,0.2,3.17,5.14,13.13,2.39,85.28,997.53
2016-02-12,CARL [AQ],19.05,5.09,0.16,6.05,10.58,20.42,2.91,84.12,993.25
2016-02-13,CARL [AQ],22.67,3.16,0.13,3.87,9.71,20.85,2.45,89.91,989.3
2016-02-14,CARL [AQ],28.46,2.25,0.13,2.59,2.7,9.36,1.49,83.45,1001.39
2016-02-15,CARL [AQ],26.82,3.23,0.21,3.64,3.97,16.68,0.88,72.57,1025.6
2016-02-16,CARL [AQ],32.25,3.0,0.21,3.39,5.73,13.77,3.52,74.91,1020.66
2016-02-17,CARL [AQ],34.4,2.38,0.13,2.69,4.84,11.56,4.09,92.57,1007.58
