timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,HARR [AQ],19.63,14.28,0.61,17.58,11.16,31.94,4.72,88.08,1012.2
2016-01-02,HARR [AQ],25.86,7.55,0.28,8.23,7.68,17.87,9.68,91.16,993.95
2016-01-03,HARR [AQ],29.38,9.19,0.44,9.89,6.02,20.15,7.2,89.54,987.05
2016-01-04,HARR [AQ],22.79,12.12,0.59,13.17,9.04,25.75,7.65,88.04,978.67
2016-01-05,HARR [AQ],15.65,14.26,0.6,16.77,11.93,22.92,7.7,90.88,981.03
2016-01-06,HARR [AQ],12.2,12.59,0.46,14.75,18.56,25.77,6.27,93.51,990.23
2016-01-07,HARR [AQ],28.16,6.05,0.31,6.69,5.62,19.34,6.81,80.1,985.13
2016-01-08,HARR [AQ],21.7,12.61,0.67,13.74,8.77,28.24,4.87,87.9,995.09
2016-01-09,HARR [AQ],31.84,5.38,0.25,6.02,5.46,18.04,8.4,87.48,985.71
2016-01-10,HARR [AQ],28.53,8.1,0.47,8.81,5.74,21.9,6.05,81.14,981.01
2016-01-11,HARR [AQ],27.16,6.69,0.23,7.72,7.26,12.03,5.65,91.11,979.02
2016-01-12,HARR [AQ],23.25,4.46,0.21,5.24,6.53,22.36,5.23,80.7,994.21
2016-01-13,HARR [AQ],26.16,8.27,0.49,9.34,7.27,26.49,4.66,77.62,1008.72
2016-01-14,HARR [AQ],29.0,5.66,0.27,6.43,7.08,15.84,3.26,75.16,1003.05
2016-01-15,HARR [AQ],30.84,5.28,0.27,6.01,7.8,25.54,2.54,76.58,1016.4
2016-01-16,HARR [AQ],20.61,10.21,0.65,11.36,15.38,32.28,1.4,83.78,1024.58
2016-01-17,HARR [AQ],6.55,22.08,1.44,40.35,23.65,41.89,2.37,87.28,1020.9
2016-01-18,HARR [AQ],15.15,15.8,0.71,19.51,16.64,30.59,2.93,78.7,1010.73
2016-01-19,HARR [AQ],2.08,18.71,1.62,36.1,35.98,51.79,-1.16,80.97,1013.02
2016-01-20,HARR [AQ],0.59,20.43,1.98,66.02,45.35,66.93,-1.48,86.14,1016.38
2016-01-21,HARR [AQ],13.52,17.34,0.85,23.19,27.74,37.32,2.88,79.76,1016.99
2016-01-22,HARR [AQ],20.57,12.39,0.69,14.14,11.62,27.94,7.28,85.64,1013.58
2016-01-23,HARR [AQ],19.89,12.65,0.49,14.33,15.63,50.53,6.73,91.51,1024.59
2016-01-24,HARR [AQ],21.21,9.87,0.46,11.15,12.03,26.72,12.06,90.85,1022.01
2016-01-25,HARR [AQ],25.89,7.89,0.43,8.88,9.92,24.58,10.95,77.89,1016.21
2016-01-26,HARR [AQ],30.18,6.23,0.38,6.96,5.49,27.84,9.21,86.28,1011.67
2016-01-27,HARR [AQ],32.01,5.83,0.32,6.64,4.79,20.43,11.35,82.88,1004.99
2016-01-28,HARR [AQ],32.69,6.91,0.41,7.84,6.27,28.07,6.47,72.81,1019.0
2016-01-29,HARR [AQ],37.94,4.9,0.22,5.49,5.49,37.72,11.28,79.43,1012.58
