timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,HIL [AQ],14.89,20.18,1.69,30.48,11.96,32.59,5.57,90.39,1013.16
2016-01-02,HIL [AQ],21.24,12.66,0.82,15.18,7.21,17.33,9.85,96.12,994.97
2016-01-03,HIL [AQ],23.19,15.78,1.22,18.75,6.17,20.77,7.8,91.8,988.1
2016-01-04,HIL [AQ],14.08,21.63,1.82,26.14,9.21,25.48,7.9,91.41,979.72
2016-01-05,HIL [AQ],9.03,22.33,1.86,36.86,13.28,24.98,7.86,94.55,982.05
2016-01-06,HIL [AQ],6.87,19.79,1.27,29.2,18.35,25.2,6.35,97.42,991.25
2016-01-07,HIL [AQ],22.19,12.47,0.84,15.11,5.76,19.72,6.96,83.81,986.24
2016-01-08,HIL [AQ],14.1,21.06,1.72,25.65,9.15,28.55,6.0,89.95,996.13
2016-01-09,HIL [AQ],25.3,12.01,0.95,14.28,5.83,18.56,8.73,90.25,986.8
2016-01-10,HIL [AQ],21.48,15.41,1.25,18.28,6.14,22.29,6.16,84.72,982.16
2016-01-11,HIL [AQ],20.53,13.47,0.63,16.88,7.52,12.59,5.83,93.88,980.08
2016-01-12,HIL [AQ],17.4,10.68,0.62,13.85,7.52,24.77,5.43,85.0,995.45
2016-01-13,HIL [AQ],19.99,14.99,1.06,18.64,7.56,26.99,4.75,81.6,1009.89
2016-01-14,HIL [AQ],23.31,11.67,0.63,14.33,7.63,16.76,3.6,77.83,1004.3
2016-01-15,HIL [AQ],24.61,11.39,0.55,13.99,8.12,26.13,2.97,77.65,1017.55
2016-01-16,HIL [AQ],13.73,17.4,1.12,24.64,17.47,35.69,2.29,82.52,1025.67
2016-01-17,HIL [AQ],5.23,25.14,3.74,72.79,27.72,47.1,2.47,90.93,1021.9
2016-01-18,HIL [AQ],13.22,17.33,1.14,25.39,17.36,31.34,2.99,82.05,1011.7
2016-01-19,HIL [AQ],0.85,21.59,2.23,70.08,43.47,67.54,0.49,73.85,1014.05
2016-01-20,HIL [AQ],0.56,21.21,2.73,85.76,49.51,74.26,0.28,85.6,1017.41
2016-01-21,HIL [AQ],12.37,19.07,1.57,26.85,24.32,32.57,3.55,83.53,1018.02
2016-01-22,HIL [AQ],16.66,16.95,1.36,21.46,9.87,26.15,7.58,89.28,1014.64
2016-01-23,HIL [AQ],14.22,19.31,1.51,24.33,14.4,48.96,7.49,94.64,1025.73
2016-01-24,HIL [AQ],15.28,16.32,1.3,20.21,11.8,26.07,12.12,95.98,1023.15
2016-01-25,HIL [AQ],20.59,13.81,1.11,16.86,9.64,24.18,11.04,82.72,1017.35
2016-01-26,HIL [AQ],25.51,11.11,0.88,13.4,5.65,28.33,9.41,91.08,1012.9
2016-01-27,HIL [AQ],27.25,10.72,0.75,13.1,4.99,21.02,11.34,89.28,1006.23
2016-01-28,HIL [AQ],25.86,14.14,1.02,17.0,6.48,28.36,6.5,77.4,1020.22
2016-01-29,HIL [AQ],33.08,9.79,0.67,11.73,5.73,38.35,11.15,86.65,1013.93
2016-01-30,HIL [AQ],30.65,10.21,0.66,12.19,4.61,27.73,7.37,75.44,1006.99
2016-01-31,HIL [AQ],22.25,15.78,1.17,18.99,7.72,35.91,9.29,89.23,1006.32
2016-02-01,HIL [AQ],28.72,9.74,0.66,11.92,6.87,49.27,11.99,75.62,1012.05
2016-02-02,HIL [AQ],27.77,12.17,0.81,14.67,6.12,41.06,7.83,70.82,1012.28
2016-02-03,HIL [AQ],20.05,11.97,0.72,14.97,6.82,30.65,5.16,76.44,1019.43
2016-02-04,HIL [AQ],21.09,14.24,0.83,17.27,8.12,25.51,9.8,84.61,1021.93
2016-02-05,HIL [AQ],23.28,14.2,1.09,17.27,6.97,18.37,10.17,88.31,1014.59
2016-02-06,HIL [AQ],30.81,9.3,0.78,11.28,6.81,20.36,10.16,86.9,994.15
2016-02-07,HIL [AQ],27.72,11.1,0.89,13.46,5.0,29.98,7.37,80.58,988.82
2016-02-08,HIL [AQ],31.9,8.21,0.62,10.38,5.7,54.9,7.75,74.86,984.41
2016-02-09,HIL [AQ],28.35,12.96,0.95,15.86,6.31,38.31,5.22,78.2,985.43
2016-02-10,HIL [AQ],17.07,14.43,0.86,19.3,7.86,24.92,5.57,81.33,994.45
2016-02-11,HIL [AQ],6.75,24.21,2.27,40.01,16.15,31.64,3.58,81.6,1000.62
2016-02-12,HIL [AQ],10.19,16.83,0.66,25.14,18.21,32.11,4.02,88.59,992.53
2016-02-13,HIL [AQ],18.35,13.24,0.78,17.1,19.82,32.57,3.84,90.07,983.89
2016-02-14,HIL [AQ],22.68,7.52,0.39,10.16,13.92,29.73,3.68,76.87,994.95
2016-02-15,HIL [AQ],23.82,8.77,0.39,11.54,6.85,24.01,3.1,76.15,1022.68
2016-02-16,HIL [AQ],10.91,18.07,2.0,34.85,13.67,32.39,2.65,80.34,1030.35
2016-02-17,HIL [AQ],19.13,15.17,1.38,19.26,9.68,18.65,4.38,83.39,1013.1
2016-02-18,HIL [AQ],18.42,17.9,1.27,26.17,12.57,25.99,4.53,76.67,1011.43
2016-02-19,HIL [AQ],17.25,20.13,2.27,31.45,13.13,33.46,5.37,87.26,1012.32
2016-02-20,HIL [AQ],29.55,10.61,0.74,13.05,5.86,36.73,10.6,87.39,1006.37
2016-02-21,HIL [AQ],29.71,10.49,0.74,12.84,7.12,48.67,12.64,86.59,1007.05
2016-02-22,HIL [AQ],30.69,11.63,0.64,14.04,6.43,29.29,8.47,76.25,1006.48
2016-02-23,HIL [AQ],14.01,16.77,0.89,24.0,12.66,36.49,5.54,71.71,1014.35
2016-02-24,HIL [AQ],8.12,19.58,1.07,30.39,21.51,43.91,2.76,71.85,1014.84
2016-02-25,HIL [AQ],8.91,21.97,2.12,49.81,23.4,36.31,2.16,71.75,1013.64
2016-02-26,HIL [AQ],7.06,24.2,2.82,56.29,26.56,40.61,4.03,68.0,1006.85
2016-02-27,HIL [AQ],18.78,12.55,1.0,17.0,24.11,32.43,4.49,63.48,1008.09
2016-02-28,HIL [AQ],30.64,7.48,0.39,9.73,6.99,14.29,4.82,64.38,1018.35
2016-02-29,HIL [AQ],17.84,16.94,1.24,26.91,11.95,23.76,5.14,68.4,1023.29
2016-03-01,HIL [AQ],24.56,13.83,1.03,17.39,7.95,23.78,8.79,88.64,1007.48
2016-03-02,HIL [AQ],29.91,9.98,0.66,12.86,6.13,33.87,5.4,79.17,996.25
2016-03-03,HIL [AQ],24.45,11.72,0.73,15.38,7.35,27.51,6.49,74.08,999.98
2016-03-04,HIL [AQ],23.66,13.04,0.7,16.94,8.28,20.73,4.72,74.9,988.65
2016-03-05,HIL [AQ],19.84,7.76,0.33,11.42,13.34,24.45,2.57,88.07,997.48
2016-03-06,HIL [AQ],19.78,11.88,0.53,16.07,14.57,27.89,3.58,77.1,1002.67
2016-03-07,HIL [AQ],24.64,11.71,0.58,15.11,11.47,21.88,3.94,65.71,1006.98
2016-03-08,HIL [AQ],17.98,19.04,1.53,25.98,16.65,26.67,4.22,80.31,1009.65
2016-03-09,HIL [AQ],26.67,12.15,0.55,16.7,7.04,11.25,7.74,92.54,993.81
2016-03-10,HIL [AQ],20.63,11.18,0.54,15.39,26.38,31.52,6.51,90.02,1016.76
2016-03-11,HIL [AQ],8.53,18.98,0.74,30.24,61.78,67.74,4.67,85.84,1025.25
2016-03-12,HIL [AQ],3.72,24.72,1.27,54.89,67.29,76.4,6.51,83.38,1027.82
2016-03-13,HIL [AQ],19.0,14.02,0.51,19.67,27.9,33.81,5.94,80.98,1031.4
2016-03-14,HIL [AQ],26.8,11.4,0.53,14.88,17.1,27.44,6.9,62.96,1029.47
2016-03-15,HIL [AQ],21.95,10.14,0.37,14.33,18.06,26.34,6.25,86.67,1027.03
2016-03-16,HIL [AQ],23.01,10.29,0.48,14.41,17.3,25.75,7.42,72.61,1026.54
2016-03-17,HIL [AQ],25.09,10.95,0.62,14.69,25.29,30.38,6.62,73.32,1026.86
2016-03-18,HIL [AQ],26.03,10.33,0.38,14.05,12.6,20.2,5.24,87.31,1023.77
2016-03-19,HIL [AQ],32.25,7.96,0.4,10.55,8.02,21.84,6.89,75.39,1023.24
2016-03-20,HIL [AQ],31.57,9.48,0.44,12.19,9.45,18.61,7.4,75.62,1021.92
2016-03-21,HIL [AQ],19.65,15.41,0.89,21.9,26.1,32.98,8.35,72.82,1019.94
2016-03-22,HIL [AQ],18.1,16.18,0.56,21.8,26.75,33.56,7.81,70.06,1014.79
2016-03-23,HIL [AQ],12.44,21.4,1.39,34.22,36.55,42.89,8.36,68.3,1013.72
2016-03-24,HIL [AQ],25.27,14.77,0.96,18.93,15.58,19.8,8.05,86.05,1010.01
2016-03-25,HIL [AQ],27.53,15.42,1.01,19.04,9.23,29.21,10.34,70.8,1010.74
2016-03-26,HIL [AQ],28.45,12.57,1.02,15.81,8.25,19.08,9.55,89.42,1000.9
2016-03-27,HIL [AQ],28.06,11.45,0.95,14.49,5.72,29.0,8.05,84.16,995.9
2016-03-28,HIL [AQ],28.25,10.3,0.76,13.81,4.46,12.05,7.99,79.66,985.95
2016-03-29,HIL [AQ],28.29,12.36,0.97,15.7,5.53,22.27,7.72,77.79,999.91
2016-03-30,HIL [AQ],22.21,16.59,1.23,21.77,8.1,23.52,8.55,72.74,1005.43
2016-03-31,HIL [AQ],19.55,13.6,0.82,20.37,16.28,27.45,8.04,68.15,1012.81
2016-04-01,HIL [AQ],15.98,18.13,2.1,32.71,21.54,31.75,8.03,71.97,1015.85
2016-04-02,HIL [AQ],26.01,14.82,1.19,18.68,15.27,20.65,10.21,68.81,1008.67
2016-04-03,HIL [AQ],27.39,16.68,1.21,20.7,19.39,23.8,11.15,82.7,1001.99
2016-04-04,HIL [AQ],26.26,16.77,1.4,20.53,10.53,17.05,10.51,83.63,999.41
2016-04-05,HIL [AQ],25.61,15.03,0.86,19.05,15.16,20.36,10.76,69.55,1004.61
2016-04-06,HIL [AQ],32.73,12.37,0.83,15.66,9.07,34.0,8.55,74.53,1004.3
2016-04-07,HIL [AQ],29.44,11.24,0.7,14.65,6.83,31.57,7.24,83.7,1006.45
2016-04-08,HIL [AQ],22.23,15.51,0.99,20.66,10.37,20.48,8.92,80.08,1007.9
2016-04-09,HIL [AQ],30.74,14.0,1.08,17.46,7.9,24.62,7.59,80.18,1000.39
2016-04-10,HIL [AQ],29.54,17.45,1.22,20.83,11.38,31.79,8.12,71.28,1004.29
2016-04-11,HIL [AQ],23.82,20.88,1.42,27.0,24.34,33.47,11.33,86.45,1002.75
2016-04-12,HIL [AQ],18.98,21.95,2.17,31.07,16.79,23.93,11.56,71.95,1003.66
2016-04-13,HIL [AQ],17.87,24.12,3.07,50.79,23.16,33.02,11.5,67.78,1005.38
2016-04-14,HIL [AQ],19.69,22.67,2.33,33.21,18.43,26.51,11.91,70.87,1005.86
2016-04-15,HIL [AQ],26.19,14.68,0.83,19.82,8.31,12.52,9.74,94.33,997.41
2016-04-16,HIL [AQ],28.38,9.05,0.41,12.19,9.97,22.03,5.94,80.01,1001.99
