timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,HORE [AQ],17.75,17.63,1.61,23.82,9.13,27.39,4.27,95.28,1008.0
2016-01-02,HORE [AQ],25.42,9.78,0.89,12.83,5.74,16.75,9.73,93.37,990.46
2016-01-03,HORE [AQ],27.47,12.71,1.15,15.72,5.01,20.5,6.79,92.83,983.65
2016-01-04,HORE [AQ],22.2,15.2,1.38,19.07,6.02,17.58,7.24,95.56,975.32
2016-01-05,HORE [AQ],11.44,20.58,2.24,33.03,9.84,20.08,5.95,97.44,977.2
2016-01-06,HORE [AQ],8.07,18.37,1.97,29.33,15.82,21.44,4.92,99.15,986.15
2016-01-07,HORE [AQ],24.51,10.69,1.06,14.1,4.84,18.27,6.68,84.7,981.72
2016-01-08,HORE [AQ],23.29,13.0,1.17,16.48,6.71,27.16,4.65,93.48,991.46
2016-01-09,HORE [AQ],28.18,9.87,0.87,12.73,5.05,17.83,8.55,92.26,982.51
2016-01-10,HORE [AQ],26.32,11.49,1.12,14.75,4.52,19.42,5.21,89.91,977.87
2016-01-11,HORE [AQ],20.9,14.34,1.24,19.07,6.79,11.65,5.55,94.24,975.21
2016-01-12,HORE [AQ],18.94,9.35,0.95,13.39,7.17,25.03,5.09,82.2,990.76
2016-01-13,HORE [AQ],22.52,12.87,1.21,16.68,6.02,24.85,4.5,79.49,1005.04
2016-01-14,HORE [AQ],24.84,10.84,0.97,14.33,6.49,14.7,3.02,79.34,999.3
2016-01-15,HORE [AQ],25.18,10.95,0.97,14.33,7.19,23.61,2.38,76.36,1012.0
2016-01-16,HORE [AQ],12.73,18.01,1.71,24.91,16.7,33.59,1.06,86.07,1020.11
2016-01-17,HORE [AQ],10.56,20.66,3.43,52.03,20.79,33.83,2.07,92.26,1016.5
2016-01-18,HORE [AQ],17.64,13.33,1.27,18.04,13.34,23.23,2.05,83.56,1006.32
2016-01-19,HORE [AQ],3.47,21.11,3.08,52.17,28.67,36.24,-2.2,84.93,1008.52
2016-01-20,HORE [AQ],3.91,21.29,3.24,54.54,35.76,44.09,-2.11,88.04,1011.9
2016-01-21,HORE [AQ],16.96,16.61,1.63,22.35,18.03,23.1,2.07,86.79,1013.0
2016-01-22,HORE [AQ],21.76,12.25,1.11,16.16,9.0,22.75,6.77,92.95,1010.09
2016-01-23,HORE [AQ],16.58,17.01,1.54,22.44,13.06,46.72,6.67,96.42,1020.96
2016-01-24,HORE [AQ],19.93,12.08,1.04,15.89,10.21,21.67,10.92,98.74,1018.66
2016-01-25,HORE [AQ],23.08,11.35,1.06,14.87,9.54,24.79,9.81,87.9,1013.01
2016-01-26,HORE [AQ],27.46,9.3,0.94,12.26,5.12,30.97,8.59,93.32,1009.05
2016-01-27,HORE [AQ],28.59,9.29,0.92,12.23,4.29,19.39,10.38,92.89,1002.36
2016-01-28,HORE [AQ],28.03,12.42,1.25,15.73,5.87,26.81,5.45,81.19,1015.66
2016-01-29,HORE [AQ],34.23,9.34,0.89,11.89,5.31,38.9,10.16,91.64,1010.17
2016-01-30,HORE [AQ],31.85,9.57,0.96,12.35,3.83,24.38,6.94,75.84,1002.46
2016-01-31,HORE [AQ],25.19,13.33,1.24,16.94,6.76,32.45,8.88,91.78,1001.83
2016-02-01,HORE [AQ],28.62,9.74,0.92,12.78,6.86,48.51,11.18,82.51,1008.05
2016-02-02,HORE [AQ],29.98,9.85,0.99,12.81,5.04,39.03,7.6,69.1,1007.79
2016-02-03,HORE [AQ],21.78,10.51,1.09,14.39,5.89,29.02,4.82,75.26,1014.51
2016-02-04,HORE [AQ],22.21,12.79,1.16,16.64,7.37,23.63,9.23,84.51,1017.12
2016-02-05,HORE [AQ],25.92,11.91,1.11,15.34,6.54,17.98,9.53,89.07,1010.22
2016-02-06,HORE [AQ],31.17,8.6,0.9,11.41,6.85,21.24,9.63,85.59,990.26
2016-02-07,HORE [AQ],30.15,9.54,0.97,12.62,4.59,33.13,6.87,83.77,984.92
2016-02-08,HORE [AQ],33.07,8.36,0.86,11.26,5.43,58.59,7.54,73.32,981.03
2016-02-09,HORE [AQ],29.88,11.91,1.17,15.42,5.41,35.61,5.0,78.52,980.79
2016-02-10,HORE [AQ],18.82,12.93,1.35,18.09,6.85,22.99,4.36,83.1,989.46
2016-02-11,HORE [AQ],10.72,20.24,2.47,35.12,13.43,27.36,1.26,87.52,995.5
2016-02-12,HORE [AQ],16.65,13.15,1.15,18.76,12.34,23.29,2.67,93.6,987.06
2016-02-13,HORE [AQ],19.22,13.66,1.32,18.61,16.55,24.34,2.67,94.31,977.99
2016-02-14,HORE [AQ],19.03,11.54,1.1,16.28,14.83,30.57,3.43,79.03,988.9
2016-02-15,HORE [AQ],19.6,13.58,1.23,18.58,7.95,25.76,2.49,77.61,1016.74
2016-02-16,HORE [AQ],10.67,18.54,1.86,28.81,11.95,28.75,1.42,85.08,1025.07
2016-02-17,HORE [AQ],21.19,13.76,1.4,18.37,9.18,17.24,4.5,79.93,1008.18
2016-02-18,HORE [AQ],19.16,17.09,1.61,23.31,10.24,21.68,2.9,85.56,1006.03
2016-02-19,HORE [AQ],20.17,17.18,1.77,24.13,10.42,32.73,3.56,91.24,1007.8
2016-02-20,HORE [AQ],30.44,9.62,0.94,12.77,5.44,35.62,10.14,89.36,1002.15
2016-02-21,HORE [AQ],30.9,9.8,0.91,12.88,7.02,48.94,11.03,91.67,1003.2
2016-02-22,HORE [AQ],28.28,13.28,1.28,17.01,6.81,28.19,7.81,82.06,1001.48
2016-02-23,HORE [AQ],13.07,18.1,2.07,32.03,14.77,37.05,4.12,78.07,1008.92
2016-02-24,HORE [AQ],5.84,25.8,6.2,105.16,30.07,53.59,1.32,78.51,1009.2
2016-02-25,HORE [AQ],7.82,22.35,3.15,49.96,24.27,36.77,0.66,80.14,1008.2
2016-02-26,HORE [AQ],11.6,19.67,2.28,32.99,17.18,24.26,2.65,80.01,1001.45
2016-02-27,HORE [AQ],21.67,13.37,1.56,18.45,16.75,23.64,3.8,65.7,1001.89
2016-02-28,HORE [AQ],28.45,10.31,0.92,13.96,7.67,15.3,4.15,69.23,1012.0
2016-02-29,HORE [AQ],17.2,18.19,1.59,26.9,10.66,21.26,4.48,72.39,1017.68
2016-03-01,HORE [AQ],27.02,11.8,1.14,15.79,7.05,23.19,8.22,89.56,1003.34
2016-03-02,HORE [AQ],30.46,9.69,0.98,13.31,5.36,33.27,5.16,77.06,991.76
2016-03-03,HORE [AQ],25.41,11.29,1.05,16.02,6.82,26.91,6.14,72.74,994.97
2016-03-04,HORE [AQ],26.28,12.28,1.08,16.8,7.7,23.29,3.98,80.79,983.66
2016-03-05,HORE [AQ],14.89,12.77,1.1,20.06,15.79,26.66,2.4,86.21,991.81
2016-03-06,HORE [AQ],16.18,15.23,1.35,22.14,15.7,29.19,3.0,78.66,997.23
2016-03-07,HORE [AQ],18.89,17.18,1.53,23.38,14.27,25.24,3.45,68.18,1001.29
2016-03-08,HORE [AQ],18.43,18.56,2.14,29.75,16.61,25.72,3.04,85.2,1004.79
2016-03-09,HORE [AQ],26.14,13.64,1.05,18.57,7.42,12.11,7.32,89.34,988.27
2016-03-10,HORE [AQ],16.07,17.33,1.52,25.83,30.27,36.17,5.43,90.28,1011.07
2016-03-11,HORE [AQ],7.85,21.48,2.15,36.67,60.63,63.47,3.55,86.04,1019.63
2016-03-12,HORE [AQ],10.51,19.21,2.31,30.19,51.15,52.95,4.02,87.86,1022.27
2016-03-13,HORE [AQ],21.63,13.27,1.08,18.67,23.34,27.17,4.51,85.0,1025.42
2016-03-14,HORE [AQ],26.54,12.99,1.02,17.59,16.27,26.4,5.24,78.15,1023.28
2016-03-15,HORE [AQ],19.22,14.32,0.93,20.6,21.07,28.33,4.95,90.33,1020.92
2016-03-16,HORE [AQ],21.87,11.79,0.94,17.24,18.01,25.37,6.12,79.31,1020.38
2016-03-17,HORE [AQ],21.93,15.71,1.61,21.2,24.13,28.24,4.98,76.2,1020.97
2016-03-18,HORE [AQ],19.2,16.74,1.15,24.29,19.2,25.57,4.57,86.46,1017.93
2016-03-19,HORE [AQ],28.29,12.08,0.96,16.49,8.79,21.23,6.37,75.32,1017.19
