timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,LIN3 [AQ],25.07,5.09,0.31,5.85,9.1,22.89,3.54,90.58,1008.25
2016-01-02,LIN3 [AQ],24.81,3.37,0.12,4.05,8.35,18.43,8.0,95.18,991.52
2016-01-03,LIN3 [AQ],27.59,4.76,0.15,5.35,6.01,10.39,6.6,95.75,980.99
2016-01-04,LIN3 [AQ],23.0,6.33,0.13,7.2,11.99,25.67,5.17,98.37,973.39
2016-01-05,LIN3 [AQ],18.31,6.31,0.24,7.42,10.81,17.93,6.85,97.83,976.69
2016-01-06,LIN3 [AQ],11.99,10.62,0.31,12.56,18.0,24.54,6.1,97.9,985.72
2016-01-07,LIN3 [AQ],25.68,4.6,0.23,5.34,7.13,20.58,5.45,85.23,978.18
2016-01-08,LIN3 [AQ],25.94,6.87,0.39,7.68,7.66,24.49,4.18,86.32,988.01
2016-01-09,LIN3 [AQ],27.79,4.05,0.13,4.72,6.72,13.61,6.17,93.94,979.18
2016-01-10,LIN3 [AQ],27.71,4.84,0.23,5.58,5.74,12.09,4.4,83.61,972.77
2016-01-11,LIN3 [AQ],17.07,9.64,0.31,11.16,14.73,23.12,2.82,95.27,973.64
2016-01-12,LIN3 [AQ],19.2,5.58,0.28,6.81,7.12,15.46,4.65,87.26,986.09
2016-01-13,LIN3 [AQ],25.76,5.41,0.33,6.31,6.67,22.48,3.39,85.53,1001.27
2016-01-14,LIN3 [AQ],28.93,5.34,0.27,6.12,6.93,15.36,2.16,82.78,995.79
2016-01-15,LIN3 [AQ],30.52,5.28,0.3,6.06,5.89,24.55,1.77,76.58,1010.53
2016-01-16,LIN3 [AQ],25.88,8.74,0.67,9.81,10.27,23.33,1.44,78.71,1019.34
2016-01-17,LIN3 [AQ],14.1,12.84,1.04,17.27,22.76,32.19,0.94,88.22,1016.35
2016-01-18,LIN3 [AQ],21.93,6.98,0.62,8.17,14.55,23.26,1.35,88.26,1006.67
2016-01-19,LIN3 [AQ],8.5,14.3,0.34,16.97,26.64,34.96,1.56,92.7,1008.09
2016-01-20,LIN3 [AQ],3.65,18.72,0.87,30.09,33.21,42.96,2.64,95.55,1011.44
2016-01-21,LIN3 [AQ],13.07,12.38,0.54,15.88,31.24,37.18,0.42,93.88,1011.3
2016-01-22,LIN3 [AQ],26.59,6.45,0.31,7.43,12.27,28.5,5.81,88.21,1005.88
2016-01-23,LIN3 [AQ],26.41,5.67,0.13,6.58,12.37,45.46,7.19,89.58,1016.95
2016-01-24,LIN3 [AQ],24.73,5.13,0.15,5.98,9.7,22.37,11.75,91.27,1014.04
2016-01-25,LIN3 [AQ],26.98,4.5,0.23,5.24,8.96,21.42,10.39,83.0,1007.84
2016-01-26,LIN3 [AQ],31.74,3.5,0.17,4.08,4.06,17.14,9.44,82.28,1000.68
2016-01-27,LIN3 [AQ],32.65,3.65,0.18,4.27,4.16,17.09,10.79,77.13,994.92
2016-01-28,LIN3 [AQ],34.76,4.14,0.2,4.8,4.9,26.14,5.79,75.26,1009.31
2016-01-29,LIN3 [AQ],37.58,3.56,0.15,4.07,4.15,25.82,10.68,74.65,1000.88
2016-01-30,LIN3 [AQ],35.65,2.5,0.16,3.02,4.1,36.41,5.08,70.21,996.9
2016-01-31,LIN3 [AQ],30.98,4.05,0.18,4.78,4.96,22.87,6.66,89.28,996.6
2016-02-01,LIN3 [AQ],35.65,2.75,0.13,3.33,5.62,48.09,11.3,66.17,999.26
2016-02-02,LIN3 [AQ],36.79,2.77,0.17,3.32,4.56,39.55,6.1,64.33,1001.29
2016-02-03,LIN3 [AQ],26.6,4.52,0.24,5.44,5.42,25.84,4.04,75.69,1010.45
2016-02-04,LIN3 [AQ],29.53,4.82,0.21,5.54,5.77,17.8,8.54,83.6,1012.9
2016-02-05,LIN3 [AQ],32.32,4.28,0.18,4.99,5.53,14.81,9.42,80.95,1004.55
2016-02-06,LIN3 [AQ],35.92,2.82,0.13,3.36,3.93,8.87,8.49,89.28,984.58
2016-02-07,LIN3 [AQ],32.83,3.24,0.16,3.92,4.46,28.98,6.03,80.75,977.5
2016-02-08,LIN3 [AQ],34.45,2.99,0.14,3.67,3.7,22.73,6.53,78.44,970.99
2016-02-09,LIN3 [AQ],32.39,3.6,0.19,4.34,5.14,42.28,4.33,73.12,976.19
2016-02-10,LIN3 [AQ],25.32,5.16,0.29,6.23,5.7,20.65,4.42,74.38,986.79
2016-02-11,LIN3 [AQ],20.11,8.8,0.45,10.44,12.75,23.98,3.08,79.51,993.77
2016-02-12,LIN3 [AQ],16.69,6.12,0.19,7.78,17.16,28.84,2.19,90.33,988.32
2016-02-13,LIN3 [AQ],23.77,3.81,0.25,4.79,14.6,30.42,2.67,84.35,981.87
2016-02-14,LIN3 [AQ],29.06,3.38,0.18,4.08,7.56,19.82,2.25,75.39,992.08
2016-02-15,LIN3 [AQ],28.82,3.91,0.26,4.71,4.88,21.95,1.52,83.9,1017.84
2016-02-16,LIN3 [AQ],21.59,6.92,0.47,8.02,11.45,28.15,2.6,72.04,1022.34
2016-02-17,LIN3 [AQ],28.17,5.25,0.25,6.2,7.17,12.67,2.93,88.08,1005.82
2016-02-18,LIN3 [AQ],27.88,8.19,0.46,9.4,11.74,26.7,3.36,79.5,1004.8
2016-02-19,LIN3 [AQ],28.99,6.57,0.34,7.58,10.62,29.68,5.06,81.61,1002.74
2016-02-20,LIN3 [AQ],34.45,3.41,0.16,4.04,3.92,18.55,8.19,79.24,995.72
2016-02-21,LIN3 [AQ],35.3,2.98,0.13,3.53,4.34,26.46,11.24,84.12,995.16
2016-02-22,LIN3 [AQ],35.54,4.67,0.21,5.42,5.72,29.77,5.9,70.32,999.15
2016-02-23,LIN3 [AQ],22.02,6.57,0.43,7.78,7.98,32.11,3.95,71.67,1008.38
2016-02-24,LIN3 [AQ],20.93,9.23,0.58,10.92,10.73,22.83,2.15,71.48,1009.12
2016-02-25,LIN3 [AQ],22.21,9.82,0.63,11.24,11.7,19.91,2.6,65.63,1007.12
2016-02-26,LIN3 [AQ],17.5,9.41,0.71,11.09,23.69,29.27,2.55,65.41,1001.87
2016-02-27,LIN3 [AQ],30.1,3.96,0.31,4.71,12.17,19.06,2.65,77.68,1005.59
2016-02-28,LIN3 [AQ],30.44,4.46,0.3,5.22,6.04,11.86,2.98,76.54,1015.42
2016-02-29,LIN3 [AQ],27.85,5.54,0.31,6.64,7.32,14.47,3.18,79.47,1017.22
2016-03-01,LIN3 [AQ],32.39,3.99,0.19,4.94,5.33,13.12,8.23,82.81,996.73
2016-03-02,LIN3 [AQ],34.64,3.33,0.17,4.18,5.14,32.0,4.2,77.71,986.09
2016-03-03,LIN3 [AQ],27.21,5.65,0.29,7.0,7.62,25.53,4.52,79.17,992.86
2016-03-04,LIN3 [AQ],28.61,4.48,0.14,5.57,8.06,15.58,3.05,81.05,981.49
2016-03-05,LIN3 [AQ],26.81,3.56,0.14,4.5,13.45,29.52,3.35,84.86,992.62
2016-03-06,LIN3 [AQ],31.43,4.57,0.23,5.59,6.5,17.42,2.28,82.48,996.65
2016-03-07,LIN3 [AQ],31.48,4.77,0.32,5.65,6.24,16.68,2.27,73.54,1001.29
2016-03-08,LIN3 [AQ],27.96,7.63,0.47,9.11,12.45,20.19,3.44,83.65,1001.59
