timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,PLYM [AQ],34.36,4.59,0.33,5.29,6.3,28.13,8.32,89.14,1002.48
2016-01-02,PLYM [AQ],37.35,2.88,0.22,3.51,3.81,24.18,9.79,91.08,990.88
2016-01-03,PLYM [AQ],39.79,2.8,0.22,3.4,3.41,24.5,9.82,87.9,982.7
2016-01-04,PLYM [AQ],34.63,2.54,0.23,3.31,3.68,29.89,9.09,89.85,975.82
2016-01-05,PLYM [AQ],27.9,5.21,0.42,6.24,5.36,12.82,8.23,90.47,979.35
2016-01-06,PLYM [AQ],23.82,4.5,0.35,5.75,6.62,16.1,8.42,88.34,987.72
2016-01-07,PLYM [AQ],34.71,3.54,0.3,4.3,4.02,26.8,8.05,84.94,986.13
2016-01-08,PLYM [AQ],38.27,3.09,0.27,3.76,3.4,22.01,9.3,80.51,991.55
2016-01-09,PLYM [AQ],36.68,2.54,0.22,3.19,2.89,16.28,8.96,88.66,980.42
2016-01-10,PLYM [AQ],35.93,2.89,0.27,3.59,3.38,19.86,7.28,82.09,978.68
2016-01-11,PLYM [AQ],29.05,6.18,0.59,7.33,5.44,12.65,6.78,89.0,979.02
2016-01-12,PLYM [AQ],34.09,3.1,0.29,3.84,4.72,36.97,6.38,72.99,1000.16
2016-01-13,PLYM [AQ],33.24,6.32,0.52,7.26,5.37,21.93,5.23,83.07,1008.46
2016-01-14,PLYM [AQ],30.49,5.83,0.57,6.78,6.68,21.99,4.7,81.03,1006.76
2016-01-15,PLYM [AQ],33.74,4.3,0.42,5.13,5.26,25.06,4.12,75.41,1019.52
2016-01-16,PLYM [AQ],19.88,11.4,1.25,13.15,14.26,32.98,4.48,83.32,1024.03
2016-01-17,PLYM [AQ],30.28,5.72,0.48,6.61,6.62,14.7,7.04,90.51,1015.13
2016-01-18,PLYM [AQ],28.85,3.71,0.3,4.68,3.82,10.1,6.12,93.96,1003.11
2016-01-19,PLYM [AQ],27.7,6.54,0.59,7.74,12.93,19.02,3.73,84.29,1009.37
2016-01-20,PLYM [AQ],30.19,5.55,0.55,6.57,13.08,17.1,3.1,83.93,1011.5
2016-01-21,PLYM [AQ],27.59,3.28,0.23,4.18,6.79,16.67,8.72,94.91,1010.58
2016-01-22,PLYM [AQ],32.04,3.97,0.34,4.77,5.38,34.35,10.67,92.68,1010.78
2016-01-23,PLYM [AQ],33.41,3.6,0.3,4.3,5.61,34.46,10.13,96.22,1020.97
2016-01-24,PLYM [AQ],30.94,3.78,0.33,4.6,7.47,24.41,11.95,96.56,1018.89
2016-01-25,PLYM [AQ],32.96,3.19,0.3,3.93,6.11,34.02,10.78,88.71,1013.73
2016-01-26,PLYM [AQ],37.89,2.38,0.24,3.04,4.34,37.81,10.61,92.06,1009.48
2016-01-27,PLYM [AQ],36.39,3.28,0.32,4.03,4.68,32.94,10.03,90.81,1005.39
2016-01-28,PLYM [AQ],36.09,5.43,0.45,6.21,5.63,31.87,7.15,85.09,1019.12
2016-01-29,PLYM [AQ],42.63,2.4,0.22,3.02,5.41,53.02,10.34,97.38,1013.98
2016-01-30,PLYM [AQ],40.24,3.23,0.3,3.89,4.26,27.75,7.4,86.42,1007.5
2016-01-31,PLYM [AQ],36.38,3.37,0.27,4.04,5.58,44.68,10.89,93.1,1007.08
2016-02-01,PLYM [AQ],37.0,2.83,0.26,3.54,6.22,54.79,10.83,91.9,1013.91
2016-02-02,PLYM [AQ],37.55,3.15,0.29,3.89,4.78,39.75,7.97,81.41,1013.27
2016-02-03,PLYM [AQ],35.25,3.49,0.31,4.28,4.42,32.24,6.43,76.08,1021.85
2016-02-04,PLYM [AQ],34.34,4.16,0.33,5.08,5.64,26.35,10.1,96.12,1023.18
2016-02-05,PLYM [AQ],38.93,2.84,0.26,3.54,3.9,17.13,9.94,94.43,1011.07
2016-02-06,PLYM [AQ],40.42,2.52,0.23,3.16,3.21,19.76,9.22,94.65,987.64
2016-02-07,PLYM [AQ],38.43,2.26,0.21,2.93,4.53,45.56,7.65,87.05,987.11
2016-02-08,PLYM [AQ],41.89,2.36,0.22,3.05,5.3,61.36,7.72,76.91,987.09
2016-02-09,PLYM [AQ],37.98,3.99,0.34,4.86,5.03,37.86,5.7,80.29,985.9
2016-02-10,PLYM [AQ],28.23,7.86,0.72,9.65,8.09,29.44,5.28,84.46,995.32
2016-02-11,PLYM [AQ],24.58,8.47,0.77,10.1,9.14,26.09,5.06,88.0,997.05
2016-02-12,PLYM [AQ],34.56,5.29,0.38,6.38,5.52,13.8,6.72,90.6,985.55
2016-02-13,PLYM [AQ],29.5,5.74,0.41,6.96,9.59,15.6,5.63,91.68,977.91
2016-02-14,PLYM [AQ],22.89,6.05,0.39,7.52,16.66,27.98,4.18,81.41,992.31
2016-02-15,PLYM [AQ],28.26,7.51,0.71,8.72,8.42,21.41,2.96,69.36,1022.24
2016-02-16,PLYM [AQ],32.43,6.06,0.52,6.95,7.1,18.76,4.7,76.85,1025.76
2016-02-17,PLYM [AQ],40.23,3.59,0.35,4.43,4.13,15.72,6.66,90.15,1008.25
