timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,WEYB [AQ],28.25,2.62,0.11,2.71,9.01,25.45,5.11,87.3,1015.8
2016-01-02,WEYB [AQ],27.65,2.51,0.1,2.62,8.29,23.4,8.75,92.93,998.87
2016-01-03,WEYB [AQ],30.45,2.12,0.05,2.18,4.76,10.6,7.65,94.92,988.39
2016-01-04,WEYB [AQ],24.91,3.67,0.08,3.85,11.36,22.14,6.57,96.35,980.5
2016-01-05,WEYB [AQ],23.52,3.1,0.15,3.22,6.52,10.96,7.48,96.01,983.33
2016-01-06,WEYB [AQ],19.54,2.92,0.18,3.1,9.93,13.48,7.13,96.17,991.93
2016-01-07,WEYB [AQ],28.53,1.9,0.06,1.99,4.3,15.59,6.02,89.74,984.26
2016-01-08,WEYB [AQ],28.31,3.23,0.15,3.37,6.49,24.69,4.94,84.33,995.03
2016-01-09,WEYB [AQ],30.85,1.91,0.05,1.98,5.96,15.05,7.92,91.29,987.43
2016-01-10,WEYB [AQ],30.8,1.8,0.13,1.86,3.58,14.26,5.6,81.89,980.43
2016-01-11,WEYB [AQ],24.82,3.87,0.08,3.97,7.52,12.85,4.8,94.17,979.32
2016-01-12,WEYB [AQ],20.91,2.73,0.05,2.93,6.85,17.6,4.94,90.48,990.62
2016-01-13,WEYB [AQ],25.73,2.97,0.16,3.09,6.24,21.81,4.1,86.38,1007.54
2016-01-14,WEYB [AQ],33.8,1.59,0.04,1.72,5.2,17.65,3.21,94.21,999.03
2016-01-15,WEYB [AQ],35.26,1.25,0.1,1.3,3.56,26.08,3.59,84.21,1014.18
2016-01-16,WEYB [AQ],40.81,0.53,0.02,0.55,2.3,23.12,4.15,82.57,1023.77
2016-01-17,WEYB [AQ],35.82,1.52,0.16,1.58,2.74,8.89,2.17,74.06,1023.08
2016-01-18,WEYB [AQ],24.46,4.3,0.61,4.5,12.81,20.76,1.83,76.47,1013.42
2016-01-19,WEYB [AQ],18.63,4.27,0.29,4.98,18.75,24.29,1.62,90.61,1013.65
2016-01-20,WEYB [AQ],19.01,4.67,0.24,5.0,19.69,24.21,3.11,92.6,1017.18
2016-01-21,WEYB [AQ],23.46,5.44,0.41,5.83,20.53,25.48,2.86,85.6,1018.97
2016-01-22,WEYB [AQ],30.1,3.21,0.12,3.37,9.02,19.05,5.83,85.57,1013.38
2016-01-23,WEYB [AQ],30.06,2.59,0.02,2.71,10.56,45.67,7.33,89.9,1023.95
2016-01-24,WEYB [AQ],25.67,2.66,0.04,2.78,10.48,25.66,11.41,93.36,1021.0
2016-01-25,WEYB [AQ],28.82,2.56,0.09,2.73,9.31,19.78,10.95,82.62,1015.39
2016-01-26,WEYB [AQ],32.35,1.54,0.06,1.65,4.04,22.39,9.2,84.95,1008.99
2016-01-27,WEYB [AQ],34.04,1.4,0.04,1.49,3.01,14.1,11.48,81.53,1001.99
2016-01-28,WEYB [AQ],35.28,1.63,0.09,1.73,4.31,24.62,6.13,76.53,1016.27
2016-01-29,WEYB [AQ],39.19,0.98,0.02,1.03,3.94,32.74,10.95,82.11,1008.08
2016-01-30,WEYB [AQ],36.69,0.9,0.05,0.95,2.93,29.64,5.91,76.62,1002.87
2016-01-31,WEYB [AQ],32.47,1.57,0.05,1.65,4.57,23.71,6.96,88.42,1003.02
2016-02-01,WEYB [AQ],35.69,1.06,0.03,1.13,5.36,48.03,11.36,75.35,1005.96
2016-02-02,WEYB [AQ],38.08,0.96,0.05,1.01,3.48,38.47,6.57,68.99,1007.21
2016-02-03,WEYB [AQ],29.23,1.6,0.07,1.72,3.99,24.7,3.67,82.18,1015.85
2016-02-04,WEYB [AQ],30.0,2.04,0.07,2.14,4.78,14.19,7.0,90.87,1018.79
2016-02-05,WEYB [AQ],32.33,2.02,0.06,2.11,5.67,14.34,9.65,84.49,1012.21
2016-02-06,WEYB [AQ],35.14,1.3,0.06,1.37,5.86,17.4,10.01,82.56,993.4
2016-02-07,WEYB [AQ],34.28,1.27,0.06,1.35,3.59,24.78,6.54,80.35,985.76
2016-02-08,WEYB [AQ],35.98,1.03,0.04,1.1,3.37,28.6,7.38,79.86,977.98
2016-02-09,WEYB [AQ],33.91,1.51,0.05,1.64,4.69,40.39,4.37,78.43,982.48
2016-02-10,WEYB [AQ],27.81,2.14,0.11,2.32,4.37,20.18,4.38,85.11,991.64
2016-02-11,WEYB [AQ],26.08,3.02,0.19,3.26,9.98,19.55,3.01,85.29,999.88
2016-02-12,WEYB [AQ],19.36,4.44,0.29,4.81,16.8,28.54,3.04,87.3,994.69
2016-02-13,WEYB [AQ],25.86,2.96,0.33,3.28,15.32,32.92,4.36,80.82,987.23
2016-02-14,WEYB [AQ],31.43,0.83,0.03,0.89,8.32,30.09,4.27,76.69,995.83
2016-02-15,WEYB [AQ],34.6,0.35,0.01,0.38,1.85,21.32,3.85,81.7,1021.54
2016-02-16,WEYB [AQ],26.95,1.71,0.15,1.84,4.4,16.24,2.72,85.29,1029.84
2016-02-17,WEYB [AQ],28.84,2.48,0.27,2.72,10.45,15.23,3.72,77.82,1013.58
2016-02-18,WEYB [AQ],29.97,2.6,0.11,2.7,8.26,17.22,3.03,87.87,1010.3
2016-02-19,WEYB [AQ],31.37,3.55,0.18,3.76,11.48,30.2,4.79,81.98,1010.23
2016-02-20,WEYB [AQ],35.83,1.3,0.03,1.41,3.28,16.81,8.69,86.23,1001.9
2016-02-21,WEYB [AQ],35.79,1.13,0.02,1.22,4.19,29.93,11.75,87.28,1001.36
2016-02-22,WEYB [AQ],38.83,1.49,0.07,1.6,4.21,26.64,6.22,80.32,1004.46
2016-02-23,WEYB [AQ],29.97,1.27,0.05,1.33,5.28,33.25,4.52,83.88,1013.36
2016-02-24,WEYB [AQ],26.51,2.91,0.29,3.2,8.05,19.64,1.56,85.13,1014.89
2016-02-25,WEYB [AQ],31.78,2.49,0.28,2.69,6.56,12.37,2.75,73.17,1012.52
2016-02-26,WEYB [AQ],23.8,3.74,0.4,4.13,19.28,24.56,3.06,63.3,1008.37
