location,longitude,latitude
SOM [AQ],-2.735253,51.03572
HRL [AQ],-0.441614,51.48879
THUR [AQ],0.317969,51.47707
WC [AQ],-2.468931,54.616238
BPLE [AQ],-4.041924,51.074793
HARR [AQ],-0.352051,51.57389
MACK [AQ],-2.68345,51.05625
SWAN [AQ],-3.943329,51.62114
BRS8 [AQ],-2.584482,51.462839
LINC [AQ],-0.537895,53.22889
HORE [AQ],-0.167734,51.165865
BRAD [AQ],-1.748694,53.79339
BRS [AQ],-2.578496,51.45365
ESK [AQ],-3.206111,55.31531
NWBV [AQ],-1.188851,52.969377
WTHG [AQ],-0.379916,50.832947
CARL [AQ],-2.945307,54.894834
PLYM [AQ],-4.142361,50.37167
WEYB [AQ],1.122017,52.95049
BRS2 [AQ],-2.583519,51.45603
DUMB [AQ],-4.55973,55.943197
BR11 [AQ],-2.583975,51.457968
CHBR [AQ],-1.780888,50.735454
BORN [AQ],-1.826744,50.73957
BRIS [AQ],-2.585622,51.45718
SWA1 [AQ],-3.947374,51.632696
PLYR [AQ],-4.130288,50.411058
LIN3 [AQ],-0.534189,53.221373
HIL [AQ],-0.460861,51.49633
SV [AQ],-4.776583,57.734456
